age,checking_status,credit_amount,duration,installment_commitment,property_magnitude,purpose,residence_since
47.0,<0,8335.0,36.0,3.0,no known property,used car,4.0
38.0,0<=X<200,6681.0,48.0,4.0,no known property,business,4.0
44.0,no checking,2375.0,24.0,4.0,car,business,2.0
23.0,<0,1216.0,18.0,4.0,car,new car,3.0
29.0,<0,11816.0,45.0,2.0,car,business,4.0
42.0,0<=X<200,5084.0,24.0,2.0,car,radio/tv,4.0
25.0,>=200,2327.0,15.0,2.0,real estate,radio/tv,3.0
48.0,<0,1082.0,12.0,4.0,car,new car,4.0
21.0,no checking,886.0,12.0,4.0,car,radio/tv,2.0
23.0,no checking,601.0,4.0,1.0,real estate,furniture/equipment,3.0
63.0,<0,2957.0,24.0,4.0,life insurance,used car,4.0
46.0,no checking,2611.0,24.0,4.0,real estate,radio/tv,3.0
29.0,<0,5179.0,36.0,4.0,life insurance,furniture/equipment,2.0
28.0,no checking,2993.0,21.0,3.0,real estate,used car,2.0
23.0,no checking,1943.0,18.0,4.0,real estate,repairs,4.0
50.0,no checking,1559.0,24.0,4.0,car,business,4.0
47.0,no checking,3422.0,18.0,4.0,life insurance,furniture/equipment,4.0
35.0,0<=X<200,3976.0,21.0,2.0,car,furniture/equipment,3.0
68.0,no checking,6761.0,18.0,2.0,car,new car,4.0
28.0,no checking,1249.0,24.0,4.0,real estate,new car,2.0
59.0,<0,1364.0,9.0,3.0,real estate,radio/tv,4.0
57.0,<0,709.0,12.0,4.0,real estate,radio/tv,4.0
33.0,<0,2235.0,20.0,4.0,life insurance,new car,2.0
43.0,no checking,4042.0,24.0,3.0,life insurance,used car,4.0
35.0,no checking,1471.0,15.0,4.0,no known property,radio/tv,4.0
32.0,<0,1442.0,18.0,4.0,no known property,new car,4.0
45.0,no checking,10875.0,36.0,2.0,car,new car,2.0
33.0,no checking,1474.0,24.0,4.0,real estate,new car,3.0
40.0,no checking,894.0,10.0,4.0,life insurance,retraining,3.0
28.0,no checking,3343.0,15.0,4.0,no known property,furniture/equipment,2.0
29.0,<0,3959.0,15.0,3.0,life insurance,new car,2.0
26.0,no checking,3577.0,9.0,1.0,real estate,new car,2.0
27.0,no checking,5804.0,24.0,4.0,real estate,used car,2.0
28.0,no checking,2169.0,18.0,4.0,car,business,2.0
35.0,<0,2439.0,24.0,4.0,real estate,radio/tv,4.0
32.0,no checking,4526.0,27.0,4.0,real estate,furniture/equipment,2.0
25.0,no checking,2210.0,10.0,2.0,real estate,furniture/equipment,2.0
20.0,no checking,2221.0,15.0,2.0,car,furniture/equipment,4.0
27.0,<0,2389.0,18.0,4.0,car,radio/tv,1.0
42.0,no checking,3331.0,12.0,2.0,life insurance,furniture/equipment,4.0
37.0,no checking,7409.0,36.0,3.0,life insurance,business,2.0
24.0,<0,652.0,12.0,4.0,life insurance,furniture/equipment,4.0
40.0,no checking,7678.0,36.0,2.0,car,furniture/equipment,4.0
46.0,>=200,1343.0,6.0,1.0,real estate,new car,4.0
26.0,<0,1382.0,24.0,4.0,real estate,business,1.0
24.0,no checking,874.0,15.0,4.0,real estate,domestic appliance,1.0
29.0,<0,3590.0,12.0,2.0,life insurance,furniture/equipment,2.0
40.0,0<=X<200,1322.0,11.0,4.0,car,new car,4.0
36.0,<0,1940.0,18.0,3.0,no known property,radio/tv,4.0
28.0,no checking,3595.0,36.0,4.0,car,radio/tv,2.0
27.0,<0,1422.0,9.0,3.0,no known property,new car,2.0
36.0,no checking,6742.0,30.0,2.0,life insurance,radio/tv,3.0
38.0,no checking,7814.0,24.0,3.0,car,used car,3.0
48.0,no checking,9277.0,24.0,2.0,no known property,used car,4.0
36.0,0<=X<200,2181.0,30.0,4.0,real estate,new car,4.0
65.0,no checking,1098.0,18.0,4.0,car,radio/tv,4.0
43.0,0<=X<200,4057.0,24.0,3.0,car,furniture/equipment,3.0
53.0,<0,795.0,12.0,4.0,life insurance,education,4.0
34.0,0<=X<200,2825.0,24.0,4.0,no known property,business,3.0
23.0,0<=X<200,15672.0,48.0,2.0,car,business,2.0
34.0,no checking,6614.0,36.0,4.0,car,new car,4.0
40.0,no checking,7824.0,28.0,3.0,real estate,used car,4.0
43.0,<0,2442.0,27.0,4.0,car,business,4.0
46.0,no checking,1829.0,15.0,4.0,car,radio/tv,4.0
38.0,<0,2171.0,12.0,4.0,life insurance,new car,4.0
34.0,0<=X<200,5800.0,36.0,3.0,car,used car,4.0
29.0,no checking,1169.0,18.0,4.0,life insurance,radio/tv,3.0
31.0,no checking,8947.0,36.0,3.0,car,used car,2.0
28.0,<0,2606.0,21.0,4.0,life insurance,radio/tv,4.0
35.0,no checking,1592.0,12.0,3.0,life insurance,furniture/equipment,2.0
33.0,no checking,2186.0,15.0,1.0,real estate,furniture/equipment,4.0
42.0,<0,4153.0,18.0,2.0,car,furniture/equipment,3.0
43.0,<0,2625.0,16.0,2.0,life insurance,new car,4.0
44.0,no checking,3485.0,20.0,2.0,real estate,new car,4.0
42.0,no checking,10477.0,36.0,2.0,no known property,used car,4.0
40.0,no checking,1386.0,15.0,4.0,real estate,radio/tv,2.0
36.0,no checking,1278.0,24.0,4.0,real estate,radio/tv,1.0
20.0,<0,1107.0,12.0,2.0,real estate,radio/tv,2.0
24.0,<0,3763.0,21.0,2.0,real estate,new car,2.0
27.0,0<=X<200,3711.0,36.0,2.0,car,education,2.0
46.0,no checking,3594.0,15.0,1.0,life insurance,used car,2.0
33.0,0<=X<200,3195.0,9.0,1.0,real estate,new car,2.0
34.0,no checking,4454.0,36.0,4.0,real estate,radio/tv,4.0
25.0,0<=X<200,4736.0,24.0,2.0,car,furniture/equipment,4.0
25.0,0<=X<200,2991.0,30.0,2.0,car,radio/tv,4.0
28.0,no checking,2142.0,11.0,1.0,real estate,business,2.0
31.0,<0,3161.0,24.0,4.0,life insurance,business,2.0
32.0,0<=X<200,18424.0,48.0,1.0,life insurance,other,2.0
32.0,no checking,2848.0,10.0,1.0,real estate,used car,2.0
68.0,<0,14896.0,6.0,1.0,no known property,new car,4.0
33.0,<0,2359.0,24.0,1.0,life insurance,furniture/equipment,1.0
39.0,<0,3345.0,24.0,4.0,life insurance,furniture/equipment,2.0
28.0,no checking,1817.0,18.0,4.0,no known property,furniture/equipment,2.0
37.0,no checking,12749.0,48.0,4.0,car,radio/tv,1.0
22.0,<0,1366.0,9.0,3.0,life insurance,radio/tv,4.0
30.0,0<=X<200,2002.0,12.0,3.0,life insurance,new car,4.0
55.0,<0,6872.0,24.0,2.0,life insurance,furniture/equipment,1.0
46.0,<0,697.0,12.0,4.0,car,new car,2.0
21.0,<0,1049.0,18.0,4.0,life insurance,furniture/equipment,4.0
39.0,<0,10297.0,48.0,4.0,no known property,used car,4.0
58.0,no checking,1867.0,30.0,4.0,car,radio/tv,4.0
43.0,<0,1344.0,12.0,4.0,real estate,new car,2.0
24.0,<0,1747.0,24.0,4.0,life insurance,furniture/equipment,1.0
22.0,0<=X<200,1670.0,9.0,4.0,car,radio/tv,2.0
30.0,no checking,1224.0,9.0,3.0,real estate,new car,1.0
42.0,no checking,522.0,12.0,4.0,life insurance,radio/tv,4.0
23.0,<0,1498.0,12.0,4.0,car,radio/tv,1.0
30.0,0<=X<200,1919.0,30.0,4.0,no known property,radio/tv,3.0
28.0,>=200,745.0,9.0,3.0,real estate,radio/tv,2.0
30.0,0<=X<200,2063.0,6.0,4.0,car,radio/tv,3.0
42.0,0<=X<200,6288.0,60.0,4.0,no known property,education,4.0
46.0,no checking,6842.0,24.0,2.0,life insurance,used car,4.0
45.0,no checking,3527.0,12.0,2.0,life insurance,new car,3.0
31.0,no checking,1546.0,10.0,3.0,real estate,new car,2.0
31.0,no checking,929.0,24.0,4.0,car,furniture/equipment,2.0
42.0,no checking,1455.0,4.0,2.0,real estate,new car,1.0
46.0,<0,1845.0,15.0,4.0,life insurance,furniture/equipment,1.0
30.0,0<=X<200,8358.0,48.0,1.0,car,new car,1.0
30.0,<0,3349.0,24.0,4.0,no known property,furniture/equipment,4.0
38.0,no checking,2859.0,12.0,4.0,no known property,new car,4.0
43.0,no checking,1533.0,18.0,4.0,life insurance,furniture/equipment,1.0
31.0,no checking,3621.0,24.0,2.0,car,radio/tv,4.0
40.0,0<=X<200,3590.0,18.0,3.0,car,business,3.0
24.0,<0,2145.0,36.0,2.0,car,business,1.0
28.0,0<=X<200,4113.0,24.0,3.0,car,used car,4.0
26.0,no checking,10974.0,36.0,4.0,car,furniture/equipment,2.0
29.0,<0,1893.0,12.0,4.0,life insurance,new car,4.0
57.0,<0,1231.0,24.0,4.0,life insurance,radio/tv,4.0
49.0,>=200,3656.0,30.0,4.0,life insurance,radio/tv,4.0
37.0,0<=X<200,1154.0,9.0,2.0,real estate,radio/tv,4.0
45.0,<0,4006.0,28.0,3.0,car,new car,2.0
30.0,0<=X<200,3069.0,24.0,4.0,no known property,furniture/equipment,4.0
30.0,no checking,1740.0,6.0,2.0,real estate,radio/tv,2.0
47.0,0<=X<200,2353.0,21.0,1.0,life insurance,new car,4.0
29.0,no checking,3556.0,15.0,3.0,no known property,new car,2.0
35.0,no checking,2397.0,24.0,3.0,car,radio/tv,2.0
22.0,0<=X<200,454.0,6.0,3.0,life insurance,repairs,1.0
26.0,0<=X<200,1715.0,30.0,4.0,car,radio/tv,1.0
23.0,0<=X<200,2520.0,27.0,4.0,life insurance,radio/tv,2.0
54.0,no checking,3568.0,15.0,4.0,car,radio/tv,2.0
29.0,no checking,7166.0,42.0,2.0,life insurance,radio/tv,4.0
40.0,<0,3939.0,11.0,1.0,real estate,new car,2.0
22.0,0<=X<200,1514.0,15.0,4.0,real estate,repairs,2.0
43.0,no checking,7393.0,24.0,1.0,life insurance,new car,4.0
29.0,<0,1193.0,24.0,1.0,no known property,new car,4.0
36.0,<0,7297.0,60.0,4.0,no known property,business,4.0
33.0,no checking,2831.0,30.0,4.0,car,radio/tv,2.0
57.0,>=200,1258.0,24.0,3.0,car,radio/tv,3.0
64.0,0<=X<200,753.0,6.0,2.0,real estate,radio/tv,3.0
42.0,0<=X<200,2427.0,18.0,4.0,life insurance,business,2.0
47.0,no checking,2538.0,24.0,4.0,car,new car,4.0
25.0,0<=X<200,1264.0,15.0,2.0,life insurance,new car,2.0
49.0,0<=X<200,8386.0,30.0,2.0,life insurance,furniture/equipment,2.0
33.0,no checking,4844.0,48.0,3.0,car,business,2.0
28.0,>=200,2923.0,21.0,1.0,car,new car,1.0
26.0,<0,8229.0,36.0,2.0,life insurance,used car,2.0
30.0,no checking,2028.0,24.0,2.0,life insurance,furniture/equipment,2.0
25.0,<0,1433.0,15.0,4.0,life insurance,furniture/equipment,3.0
33.0,>=200,6289.0,42.0,2.0,life insurance,business,1.0
64.0,no checking,1409.0,13.0,2.0,real estate,radio/tv,4.0
29.0,<0,6579.0,24.0,4.0,no known property,used car,2.0
48.0,0<=X<200,1743.0,24.0,4.0,life insurance,radio/tv,2.0
37.0,no checking,3565.0,12.0,2.0,life insurance,education,1.0
34.0,no checking,1569.0,15.0,4.0,car,radio/tv,4.0
23.0,<0,1936.0,18.0,2.0,car,radio/tv,4.0
30.0,<0,3959.0,36.0,4.0,life insurance,furniture/equipment,3.0
50.0,no checking,2390.0,12.0,4.0,car,new car,3.0
31.0,no checking,1736.0,12.0,3.0,real estate,furniture/equipment,4.0
40.0,<0,3857.0,30.0,4.0,life insurance,used car,4.0
38.0,no checking,804.0,12.0,4.0,car,radio/tv,4.0
23.0,<0,1845.0,45.0,4.0,no known property,radio/tv,4.0
27.0,0<=X<200,4576.0,45.0,3.0,car,used car,4.0
