Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
08/2018,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction Procurement,09/04/2014,03/15/2021
01/2019,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,05/24/2021
05/2019,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,07/25/2021
09/2019,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,
01/2020,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,
05/2020,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,
10/2020,"Replace finger joints and drainage troughs on the south upper roadway and repair miscellaneous components, including steel structures.",Construction,09/04/2014,07/25/2021
04/2017,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Design,04/09/2015,05/08/2019
09/2017,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Design,04/09/2015,04/08/2019
03/2018,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Design,04/09/2015,10/21/2019
08/2018,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,11/04/2022
01/2019,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,10/28/2022
05/2019,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,10/28/2022
09/2019,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,11/04/2022
01/2020,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,06/29/2023
05/2020,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,10/28/2022
10/2020,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.",Construction,04/09/2015,12/01/2023
08/2018,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,06/30/2027
01/2019,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,12/30/2027
05/2019,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,12/31/2027
09/2019,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,
01/2020,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,12/01/2028
05/2020,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,
10/2020,Design and build arrestors at seven ferry passenger slips (three at Whitehall and four at St. George).,Design,08/01/2018,
08/2018,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Design,08/15/2018,03/09/2024
01/2019,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Design,08/15/2018,12/06/2024
05/2019,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Design,08/15/2018,12/06/2024
09/2019,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Construction,08/15/2018,
10/2020,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Design,08/15/2018,05/08/2025
09/2017,Repair current and install new traffic signal equipment in all five boroughs.,Construction Procurement,06/05/2017,06/12/2020
03/2018,Repair current and install new traffic signal equipment in all five boroughs.,Construction Procurement,06/05/2017,06/12/2020
08/2018,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,06/12/2020
01/2019,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,06/12/2020
05/2019,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,06/12/2020
09/2019,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,
01/2020,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,
05/2020,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,
10/2020,Repair current and install new traffic signal equipment in all five boroughs.,Construction,06/05/2017,
09/2017,"RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK",Design,07/01/2016,09/25/2020
03/2018,"RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK",Construction Procurement,07/01/2016,08/25/2021
08/2018,"RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK",Construction Procurement,07/01/2016,08/25/2021
01/2019,"RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK",Construction Procurement,07/01/2016,05/12/2021
05/2019,"Replacement of Water Mains in Avenue S between Coney Island Avenue and E18th street, Borough of Brooklyn.",Construction Procurement,07/01/2016,09/21/2021
09/2019,"Replacement of Water Mains in Avenue S between Coney Island Avenue and E18th street, Borough of Brooklyn.",Construction,07/01/2016,09/21/2021
09/2017,"New 2-story, pre-cast concrete firehouse is located in the Crown Heights neighborhood of Brooklyn.  The building will garage several vehicles, provide training amenities, and space for equipment storage.",Construction,04/10/2014,05/10/2018
03/2018,"New 2-story, pre-cast concrete firehouse is located in the Crown Heights neighborhood of Brooklyn.  The building will garage several vehicles, provide training amenities, and space for equipment storage.",Construction,04/10/2014,11/01/2018
08/2018,"New 2-story, pre-cast concrete firehouse is located in the Crown Heights neighborhood of Brooklyn.  The building will garage several vehicles, provide training amenities, and space for equipment storage.",Construction,04/10/2014,01/31/2019
01/2019,"New 2-story, pre-cast concrete firehouse is located in the Crown Heights neighborhood of Brooklyn.  The building will garage several vehicles, provide training amenities, and space for equipment storage.",Construction,04/10/2014,07/01/2019
05/2019,"The Stair and Elevator towers are being completed. The CMU walls in Cellar under construction. Placing rebars to Pour concrete to stairs at lower level. Backfilling along perimeter of building foundation walls.Electrical roughing in cellar. Removal of braces in  cellar. Installation of door frames in cellar.  All Precast panel walls, precast beams, precast slabs have been installed.",Construction,04/10/2014,10/18/2019
09/2019,"The Stair and Elevator towers are being completed. The CMU walls in Cellar under construction. Placing rebars to Pour concrete to stairs at lower level. Backfilling along perimeter of building foundation walls.Electrical roughing in cellar. Removal of braces in  cellar. Installation of door frames in cellar.  All Precast panel walls, precast beams, precast slabs have been installed.",Construction,04/10/2014,11/12/2019
01/2019,"Gi - Dsgn & Const Of Bioswales & Greenstreets, Que (GQTI10-02)",Design,02/15/2016,11/03/2021
05/2019,"GI - DESIGN & CONSTUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Design,05/04/2016,11/03/2021
09/2019,"GI - DESIGN & CONSTUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Design,05/04/2016,02/08/2022
01/2019,"Gi - Dsgn & Const Of Bioswales & Greenstreets, Que (GQTI10-03)",Design,02/14/2017,10/13/2021
05/2019,"GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Design,05/04/2016,10/13/2021
09/2019,"GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Design,05/04/2016,02/02/2022
09/2017,"New 20"" Sub-Aqueous Water Main to City Island, Bronx",Construction Procurement,12/28/2011,06/02/2019
03/2018,"New 20"" Sub-Aqueous Water Main to City Island, Bronx",Construction Procurement,12/28/2011,12/05/2019
08/2018,"New 20"" Sub-Aqueous Water Main to City Island, Bronx",Construction Procurement,12/28/2011,05/15/2020
01/2019,"New 20"" Sub-Aqueous Water Main to City Island, Bronx",Construction,12/28/2011,06/14/2021
05/2019,"New 20"""" sub-aqueous water mains on City Island Road (City Island Bridge) between Park Road and City Island Avenue",Construction,12/28/2011,06/14/2021
09/2019,"New 20"" sub-aqueous water mains on City Island Road (City Island Bridge) between Park Road and City Island Avenue",Construction,12/28/2011,06/14/2021
09/2017,"New 20"" sub-aqueous water main extension to Randall's Island, Bronx",Construction,04/19/2012,09/14/2018
03/2018,"New 20"" sub-aqueous water main extension to Randall's Island, Bronx",Construction,04/19/2012,09/14/2018
08/2018,"New 20"" sub-aqueous water main extension to Randall's Island, Bronx",Construction,04/19/2012,06/24/2019
01/2019,"New 20"" sub-aqueous water main extension to Randall's Island, Bronx",Construction,04/19/2012,08/30/2019
05/2019,"NEW 20"""" SUB-AQUEOUS WATER MAIN EXTENSION TO RANDALL'S ISLAND",Construction,04/19/2012,11/04/2019
09/2019,"NEW 20"" SUB-AQUEOUS WATER MAIN EXTENSION TO RANDALL'S ISLAND",Construction,04/19/2012,11/04/2019
09/2017,"Reconstruction of West 14, 15, 16, 17, 18 and 19th Streets from Crossbay Blvd to to Dead End",Design,06/01/2015,08/27/2024
03/2018,"Reconstruction of West 14, 15, 16, 17, 18 and 19th Streets from Crossbay Blvd to to Dead End",Design,06/01/2015,08/27/2024
08/2018,"Reconstruction of West 14, 15, 16, 17, 18 and 19th Streets from Crossbay Blvd to to Dead End",Design,06/01/2015,11/12/2024
01/2019,"Reconstruction of West 14, 15, 16, 17, 18 and 19th Streets from Crossbay Blvd to to Dead End",Design,06/01/2015,01/10/2025
05/2019,West 14th Rd. from Cross Bay Blvd. to Dead end (water side)  West 15th Rd. from Cross Bay Blvd. to Dead end (water side)  West 16th Rd. from Cross Bay Blvd. to Dead end (water side)  West 17th Rd. from Cross Bay Blvd. to Dead end (water side)  West 18th Rd. from Cross Bay Blvd. to Dead end (water side)  West 19th Rd. from Cross Bay Blvd. to Dead end (water side),Construction Procurement,06/01/2015,05/25/2023
09/2019,West 14th Rd. from Cross Bay Blvd. to Dead end (water side) West 15th Rd. from Cross Bay Blvd. to Dead end (water side) West 16th Rd. from Cross Bay Blvd. to Dead end (water side) West 17th Rd. from Cross Bay Blvd. to Dead end (water side),Construction Procurement,06/01/2015,05/25/2023
09/2017,Reconstruction of Queens Blvd between Roosevelt Ave and 73rd St. (Segment 1) Great Streets Vision Zero.,Design,08/11/2016,11/14/2023
03/2018,Reconstruction of Queens Blvd between Roosevelt Ave and 73rd St. (Segment 1) Great Streets Vision Zero.,Design,08/11/2016,11/14/2023
08/2018,Reconstruction of Queens Blvd between Roosevelt Ave and 73rd St. (Segment 1) Great Streets Vision Zero.,Design,08/11/2016,01/27/2024
01/2019,Reconstruction of Queens Blvd between Roosevelt Ave and 73rd St. (Segment 1) Great Streets Vision Zero.,Design,08/11/2016,11/28/2024
05/2019,Vision Zero - Queens Boulevard - Segment 1: Roosevelt Avenue to 73rd Street. Variety of safety and streetscape improvements including partial street reconstruction and resurfacing to address roadway conditions,Design,08/11/2016,06/03/2025
09/2019,Vision Zero - Queens Boulevard - Segment 1: Roosevelt Avenue to 73rd Street. Variety of safety and streetscape improvements including partial street reconstruction and resurfacing to address roadway conditions,Design,08/11/2016,05/01/2026
09/2017,Reconstruction of Queens Blvd  between 73rd St and Eliot Avenue (Segment 2). Great Streets Vision Zero,Design,10/20/2016,04/12/2023
03/2018,Reconstruction of Queens Blvd  between 73rd St and Eliot Avenue (Segment 2). Great Streets Vision Zero,Design,10/20/2016,04/12/2023
08/2018,Reconstruction of Queens Blvd  between 73rd St and Eliot Avenue (Segment 2). Great Streets Vision Zero,Design,10/20/2016,04/12/2023
01/2019,Reconstruction of Queens Blvd  between 73rd St and Eliot Avenue (Segment 2). Great Streets Vision Zero,Design,10/20/2016,08/27/2024
05/2019,Vision Zero - Queens Boulevard - Segment 2: 73rd Street to Eliot Avenue. Variety of safety and streetscape improvements including partial street reconstruction and resurfacing to address roadway conditions,Design,10/26/2016,09/13/2025
09/2019,Vision Zero - Queens Boulevard - Segment 2: 73rd Street to Eliot Avenue. Variety of safety and streetscape improvements including partial street reconstruction and resurfacing to address roadway conditions,Design,10/26/2016,05/14/2026
09/2017,"Reconstruction of E 177th Street /Devoe Ave etc., Bronx",Design,09/03/2009,08/14/2021
03/2018,"Reconstruction of E 177th Street /Devoe Ave etc., Bronx",Design,09/03/2009,08/14/2021
08/2018,"Reconstruction of E 177th Street /Devoe Ave etc., Bronx",Design,09/03/2009,08/14/2022
01/2019,"Reconstruction of E 177th Street /Devoe Ave etc., Bronx",Design,09/03/2009,08/14/2022
05/2019,"Road Reconstruction, Water Main and Combined Sewer Work    E 177th Street from Devoe Ave to Bronx Park Ave     East Tremont Ave from Bronx Park Ave to Boston Rd    Devoe Ave from E 177th Street to East Tremont Ave",Design,09/03/2009,11/15/2022
09/2019,"Road Reconstruction, Water Main and Combined Sewer Work    E 177th Street from Devoe Ave to Bronx Park Ave     East Tremont Ave from Bronx Park Ave to Boston Rd    Devoe Ave from E 177th Street to East Tremont Ave",Design,09/03/2009,11/15/2022
09/2017,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in the Borough of Manhattan,Construction,11/15/2012,07/20/2018
03/2018,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in the Borough of Manhattan,Construction,11/15/2012,07/20/2018
08/2018,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in the Borough of Manhattan,Construction,11/15/2012,12/24/2018
01/2019,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in the Borough of Manhattan,Construction,11/15/2012,08/30/2019
05/2019,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in Manhattan.,Construction,11/15/2012,08/31/2019
09/2019,Distribution Water Main Extension and/or Replacement (New Buildings) at various locations in Manhattan.,Construction,11/15/2012,10/18/2019
09/2017,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,05/30/2015,06/20/2021
03/2018,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,05/30/2015,06/20/2021
08/2018,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,05/30/2015,06/20/2021
01/2019,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,05/30/2015,06/20/2021
05/2019,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,03/30/2015,06/20/2021
09/2019,Distribution water main replacement at various locations from W. 170th St. to W. 190th St. between Broadway and Amsterdam Ave. - Borough of Manhattan,Construction,03/30/2015,06/20/2021
09/2017,"Starlight Park - Phase II, Stage II  - Construction of Two Pedestrain Bridges and Shorline Restoration between Westchester Ave and East 172nd Street, Bronx",Design,06/24/2015,12/29/2020
03/2018,"Starlight Park - Phase II, Stage II  - Construction of Two Pedestrain Bridges and Shorline Restoration between Westchester Ave and East 172nd Street, Bronx",Construction Procurement,06/24/2015,12/30/2020
08/2018,"Starlight Park - Phase II, Stage II  - Construction of Two Pedestrain Bridges and Shorline Restoration between Westchester Ave and East 172nd Street, Bronx",Construction Procurement,06/24/2015,06/08/2021
01/2019,"Starlight Park - Phase II, Stage II  - Construction of Two Pedestrain Bridges and Shorline Restoration between Westchester Ave and East 172nd Street, Bronx",Construction,06/24/2015,06/01/2021
05/2019,"BRONX RIVER GREENWAY -  STARLIGHT PARK PHASE II, STAGE 2, BRONX",Construction,06/24/2015,06/01/2021
09/2019,"BRONX RIVER GREENWAY -  STARLIGHT PARK PHASE II, STAGE 2, BRONX",Construction,06/24/2015,06/01/2021
09/2017,"New 40th Precinct at 567 E 149 Street, Bronx, NY 10455.  Design and build of a 43,000 SF on an existing City-owned property.",Construction Procurement,09/30/2014,06/25/2021
03/2018,"New 40th Precinct at 567 E 149 Street, Bronx, NY 10455.  Design and build of a 43,000 SF on an existing City-owned property.",Construction Procurement,09/30/2014,06/12/2021
08/2018,"New 40th Precinct at 567 E 149 Street, Bronx, NY 10455.  Design and build of a 45,000 SF on an existing City-owned property.",Construction,09/30/2014,06/21/2021
01/2019,"New 40th Precinct at 567 E 149 Street, Bronx, NY 10455.  Design and build of a 45,000 SF on an existing City-owned property.",Construction,09/30/2014,06/25/2021
05/2019,"Design and build a new Police Precinct with full basement totaling 43,000 sq. ft. on an existing City owned property in the Bronx.",Construction,09/30/2014,06/25/2021
09/2019,"Design and build a new Police Precinct with full basement totaling 43,000 sq. ft. on an existing City owned property in the Bronx.",Construction,09/30/2014,06/25/2021
09/2017,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",Construction,01/23/2013,10/08/2018
03/2018,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",Construction,01/23/2013,04/19/2019
08/2018,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",Construction,01/23/2013,12/31/2019
01/2019,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",Construction,01/23/2013,06/01/2020
05/2019,"Renovate 4 floors of the building to create new office space for the Landmarks Preservation Commission, including new hearing room.",Construction,01/23/2013,06/30/2020
09/2019,"Renovate 4 floors of the building to create new office space for the Landmarks Preservation Commission, including new hearing room.",Construction,01/23/2013,02/26/2021
09/2017,"WaterMain replacement in Former JWS Area Van Wyck Service Road between Atlantic Ave and Liberty Ave, Queens",Construction Procurement,09/15/2015,12/23/2019
03/2018,"WaterMain replacement in Former JWS Area Van Wyck Service Road between Atlantic Ave and Liberty Ave, Queens",Construction,09/15/2015,06/27/2020
08/2018,"WaterMain replacement in Former JWS Area Van Wyck Service Road between Atlantic Ave and Liberty Ave, Queens",Construction,09/15/2015,06/27/2020
01/2019,"WaterMain replacement in Former JWS Area Van Wyck Service Road between Atlantic Ave and Liberty Ave, Queens",Construction,09/15/2015,06/27/2020
05/2019,"Replace 8"""" and 12"""" water main in Area: betyween 108th Street and Van Wyck Expwy West Service Road, and Atlantic Avenue and 103rd Avenue.Queens Destribution (BWSO) recommends the replacement of these main to improve Water Quality and residual pressure",Construction,09/15/2015,06/27/2020
09/2019,"Replace 8"" and 12"" water main in Area: betyween 108th Street and Van Wyck Expwy West Service Road, and Atlantic Avenue and 103rd Avenue.Queens Destribution (BWSO) recommends the replacement of these main to improve Water Quality and residual pressure",Construction,09/15/2015,06/27/2020
09/2017,Construction of new 92nd Street ramp for E. 91st Street Marine Transfer Station (MTS) facility over FDR Drive,Design,05/02/2016,11/30/2020
03/2018,Construction of new 92nd Street ramp for E. 91st Street Marine Transfer Station (MTS) facility over FDR Drive,Design,05/02/2016,12/30/2021
08/2018,Construction of new 92nd Street ramp for E. 91st Street Marine Transfer Station (MTS) facility over FDR Drive,Design,05/02/2016,12/30/2021
01/2019,Construction of new 92nd Street ramp for E. 91st Street Marine Transfer Station (MTS) facility over FDR Drive,Design,05/02/2016,04/01/2022
05/2019,"Construction of E. 92nd Street Ramp to E. 91st Street MTS, Manhattan",Design,05/02/2016,04/01/2022
09/2019,"Construction of E. 92nd Street Ramp to E. 91st Street MTS, Manhattan",Design,05/02/2016,10/02/2023
09/2017,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity",Construction,05/02/2011,10/21/2018
03/2018,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity",Construction,05/02/2011,10/21/2108
08/2018,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity",Construction,05/02/2011,06/30/2019
01/2019,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity",Construction,05/02/2011,06/30/2019
05/2019,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity in Borough of Staten Island",Construction,05/02/2011,06/30/2019
09/2019,"Construction of sanitary sewers, storm sewers, water mains, two storm sewer outfalls and appurtenances in Robinson Avenue and vicinity in Borough of Staten Island",Construction,05/02/2011,12/31/2019
09/2017,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity. * JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2019
03/2018,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity. * JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2019
08/2018,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity. * JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2020
01/2019,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity. * JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2020
05/2019,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity.    *  JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2020
09/2019,"Installation of storm sewers, sanitary sewers and water mains including Best Management Practice (BMP) work in Ramble Road and Vicinity.    *  JP-1, JP-2 & JP-4",Construction,01/15/2014,06/24/2020
09/2017,"Whitestone Area, Willets Point Blvd, Queens",Design,03/15/2013,08/27/2021
03/2018,"Whitestone Area, Willets Point Blvd, Queens",Construction Procurement,03/15/2013,08/27/2021
08/2018,"Whitestone Area, Willets Point Blvd, Queens",Construction Procurement,03/15/2013,09/15/2021
01/2019,"Whitestone Area, Willets Point Blvd, Queens",Construction,03/15/2013,09/15/2022
05/2019,"Installation of Storm sewers, Sanitary sewers, & Water mains in Whitestone Area.",Construction,03/15/2013,09/15/2022
09/2019,"Installation of Storm sewers, Sanitary sewers, & Water mains in Whitestone Area.",Construction,03/15/2013,09/15/2022
09/2017,Whitestone Area Storm and Sanitary Sewers Phase 3,Design,07/15/2016,10/07/2022
03/2018,Whitestone Area Storm and Sanitary Sewers Phase 3,Design,07/15/2016,10/07/2022
08/2018,Whitestone Area Storm and Sanitary Sewers Phase 3,Design,07/15/2016,10/07/2022
01/2019,Whitestone Area Storm and Sanitary Sewers Phase 3,Design,07/15/2016,10/07/2022
05/2019,"Installation of  Storm sewers, Sanitary sewers, & Water mains in Whitestone Area-Phase 3",Design,07/15/2016,08/16/2023
09/2019,"Installation of  Storm sewers, Sanitary sewers, & Water mains in Whitestone Area-Phase 3",Design,07/15/2016,08/16/2023
09/2017,"Construction of Storm and Sanitary sewers in Pave Avenue between Amboy Road and Estella Place, Including contruction of (Best Management Practice) BMP MC-3 & MC-5",Construction,04/15/2013,09/16/2020
03/2018,"Construction of Storm and Sanitary sewers in Pave Avenue between Amboy Road and Estella Place, Including contruction of (Best Management Practice) BMP MC-3 & MC-5",Construction,04/15/2013,09/16/2020
08/2018,"Construction of Storm and Sanitary sewers in Pave Avenue between Amboy Road and Estella Place, Including contruction of (Best Management Practice) BMP MC-3 & MC-5",Construction,04/15/2013,09/16/2020
01/2019,"Construction of Storm and Sanitary sewers in Pave Avenue between Amboy Road and Estella Place, Including contruction of (Best Management Practice) BMP MC-3 & MC-5",Construction,04/15/2013,09/16/2020
05/2019,"Sanitary and storm sewer in Page Avenue bet. Amboy Road and Estella Place, etc..",Construction,04/15/2013,09/16/2020
09/2019,"Sanitary and storm sewer in Page Avenue bet. Amboy Road and Estella Place, etc..",Construction,04/15/2013,09/16/2020
09/2017,"Installation of H.L.S.S, storm, combined and sanitary sewers, and water main work in Fresh Creek Basin area, Louisiana Ave between Stanley Ave and Flatland Ave, etc., 26th Ward, Borough of Brooklyn",Construction Procurement,04/15/2015,03/30/2021
03/2018,"Installation of H.L.S.S, storm, combined and sanitary sewers, and water main work in Fresh Creek Basin area, Louisiana Ave between Stanley Ave and Flatland Ave, etc., 26th Ward, Borough of Brooklyn",Construction,04/15/2015,06/03/2021
08/2018,"Installation of H.L.S.S, storm, combined and sanitary sewers, and water main work in Fresh Creek Basin area, Louisiana Ave between Stanley Ave and Flatland Ave, etc., 26th Ward, Borough of Brooklyn",Construction,04/15/2015,06/03/2021
01/2019,"Installation of H.L.S.S, storm, combined and sanitary sewers, and water main work in Fresh Creek Basin area, Louisiana Ave between Stanley Ave and Flatland Ave, etc., 26th Ward, Borough of Brooklyn",Construction,04/15/2015,06/03/2021
05/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 2A, Brooklyn.",Construction,04/15/2015,06/03/2021
09/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 2A, Brooklyn.",Construction,04/15/2015,06/03/2021
09/2017,"Installation of H.L.S.S., Storm & Combined Sewers & WM work in Fresh Creek Basin Area, Flatlands Ave Between Geogia Ave and Van Siclen Ave, etc., 26th Ward",Design,04/10/2017,07/01/2022
03/2018,"Installation of H.L.S.S., Storm & Combined Sewers & WM work in Fresh Creek Basin Area, Flatlands Ave Between Geogia Ave and Van Siclen Ave, etc., 26th Ward",Design,04/10/2017,09/18/2022
08/2018,"Installation of H.L.S.S., Storm & Combined Sewers & WM work in Fresh Creek Basin Area, Flatlands Ave Between Geogia Ave and Van Siclen Ave, etc., 26th Ward",Design,04/10/2017,04/19/2023
01/2019,"Installation of H.L.S.S., Storm & Combined Sewers & WM work in Fresh Creek Basin Area, Flatlands Ave Between Geogia Ave and Van Siclen Ave, etc., 26th Ward",Design,04/10/2017,09/18/2023
05/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 3A, Brooklyn.",Design,04/10/2017,09/01/2024
09/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 3A, Brooklyn.",Design,04/10/2017,09/01/2024
09/2017,Storm and Sanitary Sewers in 111th Ave between Colfax St and 204th Street.,Design,01/19/2016,07/25/2020
03/2018,Storm and Sanitary Sewers in 111th Avenue Bet Colfax St and 204th St. Storm sewer extension in 91st Road and 221st Place,Construction Procurement,01/19/2016,07/24/2020
08/2018,Storm and Sanitary Sewers in 111th Avenue Bet Colfax St and 204th St. Storm sewer extension in 91st Road and 221st Place,Construction,01/19/2016,06/19/2021
01/2019,Storm and Sanitary Sewers in 111th Avenue Bet Colfax St and 204th St. Storm sewer extension in 91st Road and 221st Place,Construction,01/19/2016,06/19/2021
05/2019,"Storm and sanitary sewers in 111th Avenue b/t Colfax Street and 204 Street, etc. This storm sewer are needed to alleviate ponding condition in the area and provide residents with adequate storm sewer.  New sanitary sewers have been included to service adjoining houses.  There is water main work associated with this sewer project.",Construction,02/01/2016,06/19/2021
09/2019,"Storm and sanitary sewers in 111th Avenue b/t Colfax Street and 204 Street, etc. This storm sewer are needed to alleviate ponding condition in the area and provide residents with adequate storm sewer.  New sanitary sewers have been included to service adjoining houses.  There is water main work associated with this sewer project.",Construction,02/01/2016,06/19/2021
09/2017,"Combined Sewer and Watermain replacement in Penelope Ave between 71st St and 74th Street, Queens",Construction,03/25/2013,12/30/2018
