school/pe.Borough,school/pe.Admin District,school/pe.Geographical District,school/pe.Location Code,school/pe.School Level ,school/pe.Student Enrollment,school/pe.Full Time Licensed PE Teachers,school/pe.F Status PE Teachers*,school/pe.Itinerant PE Teachers*,school/pe.Sum of F Status and Itinerant*,school/pe.Total Part Time and Full Time PE Teachers*,school/pe.Shared PE teachers with another school*,school/pe.Ratio of Full Time Licensed PE Teachers to Students*,DBN
Staten Island,31,31,R038,Elementary                         ,339,0,0,0,0,0,0,0,31R038
Manhattan,2,2,M896,Junior High-Intermediate-Middle    ,380,1,0,0,0,1,0,1:380,02M896
Bronx,10,10,X228,Junior High-Intermediate-Middle    ,266,1,0,0,0,1,0,1:266,10X228
Brooklyn,19,19,K311,Junior High-Intermediate-Middle    ,102,1,0,0,0,1,0,1:102,19K311
Queens,25,25,Q029,Elementary                         ,639,1,0,0,0,1,0,1:639,25Q029
Brooklyn,14,14,K582,Junior High-Intermediate-Middle    ,254,1,0,0,0,1,0,1:254,14K582
Staten Island,31,31,R042,Elementary                         ,951,0,0,0,0,0,0,0,31R042
Brooklyn,18,18,K066,K-8                                ,772,1,1,0,1,2,0,1:772,18K066
Brooklyn,14,14,K454,High School                        ,210,1,0,0,0,1,0,1:210,14K454
Bronx,10,10,X439,High School                        ,318,2,0,0,0,2,1,1:159,10X439
Manhattan,3,3,M404,High School                        ,112,1,0,0,0,1,0,1:112,03M404
Brooklyn,75,19,K004,Elementary                         ,299,8,0,0,0,8,0,1:37,75K004
Brooklyn,13,13,K527,Secondary School                   ,451,3,0,0,0,3,0,1:150,13K527
Staten Island,31,31,R445,High School                        ,1415,6,0,0,0,6,0,1:236,31R445
Queens,24,24,Q028,Early Childhood                    ,495,1,0,0,0,1,0,1:495,24Q028
Queens,24,24,Q744,High School                        ,152,1,0,0,0,1,0,1:152,24Q744
Brooklyn,21,21,K329,Elementary                         ,366,0,0,0,0,0,0,0,21K329
Bronx,75,12,X186,K-12 All Grades                    ,618,5,0,0,0,5,0,1:124,75X186
Manhattan,1,1,M134,Elementary                         ,302,1,0,0,0,1,0,1:302,01M134
Brooklyn,20,20,K310,Elementary                         ,404,0,0,0,0,0,0,0,20K310
Brooklyn,13,13,K009,Elementary                         ,751,0,0,0,0,0,0,0,13K009
Queens,26,26,Q435,High School                        ,1108,7,0,0,0,7,0,1:158,26Q435
Bronx,8,8,X138,Elementary                         ,640,1,0,0,0,1,0,1:640,08X138
Brooklyn,20,20,K180,K-8                                ,1107,1,0,0,0,1,0,1:1107,20K180
Brooklyn,15,15,K529,High School                        ,145,1,0,0,0,1,0,1:145,15K529
Brooklyn,14,14,K488,High School                        ,507,2,0,0,0,2,0,1:254,14K488
Bronx,7,7,X473,High School                        ,356,2,0,0,0,2,0,1:178,07X473
Queens,24,24,Q073,Junior High-Intermediate-Middle    ,2005,6,0,0,0,6,0,1:334,24Q073
Brooklyn,20,20,K187,Junior High-Intermediate-Middle    ,889,3,0,0,0,3,0,1:296,20K187
Brooklyn,20,20,K030,K-8                                ,767,3,0,0,0,3,0,1:256,20K030
Queens,26,26,Q186,Elementary                         ,353,1,0,0,0,1,0,1:353,26Q186
Queens,25,25,Q240,High School                        ,530,2,0,0,0,2,0,1:265,25Q240
Manhattan,6,6,M098,Elementary                         ,435,0,0,0,0,0,0,0,06M098
Brooklyn,21,21,K100,Elementary                         ,703,0,0,0,0,0,0,0,21K100
Queens,27,27,Q090,Elementary                         ,781,0,0,0,0,0,0,0,27Q090
Bronx,8,8,X333,Elementary                         ,368,0,0,0,0,0,0,0,08X333
Queens,29,29,Q095,Elementary                         ,1405,1,0,0,0,1,0,1:1405,29Q095
Bronx,9,9,X128,Junior High-Intermediate-Middle    ,360,1,0,0,0,1,0,1:360,09X128
Manhattan,2,2,M630,High School                        ,1388,5,0,0,0,5,0,1:278,02M630
Bronx,10,10,X360,Elementary                         ,425,0,0,0,0,0,0,0,10X360
Queens,26,26,Q046,Elementary                         ,568,1,0,0,0,1,0,1:568,26Q046
Manhattan,5,5,M157,High School                        ,226,1,0,0,0,1,0,1:226,05M157
Queens,25,25,Q250,Junior High-Intermediate-Middle    ,375,2,0,0,0,2,0,1:188,25Q250
Queens,75,24,Q721,High School                        ,457,4,0,0,0,4,0,1:114,75Q721
Bronx,9,9,X313,Junior High-Intermediate-Middle    ,284,1,0,0,0,1,0,1:284,09X313
Bronx,10,10,X390,Junior High-Intermediate-Middle    ,491,1,0,0,0,1,0,1:491,10X390
Queens,27,27,Q297,Junior High-Intermediate-Middle    ,388,2,0,0,0,2,0,1:194,27Q297
Manhattan,5,5,M123,K-8                                ,426,1,0,0,0,1,0,1:426,05M123
Brooklyn,23,23,K644,Secondary School                   ,605,1,0,0,0,1,0,1:605,23K644
Manhattan,5,5,M129,K-8                                ,386,1,0,0,0,1,0,1:386,05M129
Queens,29,29,Q131,Elementary                         ,838,1,0,0,0,1,0,1:838,29Q131
Queens,29,29,Q268,K-8                                ,594,1,0,0,0,1,0,1:594,29Q268
Manhattan,4,4,M406,Junior High-Intermediate-Middle    ,128,1,0,0,0,1,0,1:128,04M406
Brooklyn,18,18,K563,High School                        ,681,4,1,0,1,5,0,1:170,18K563
Manhattan,2,2,M305,High School                        ,287,2,0,0,0,2,0,1:144,02M305
Manhattan,3,3,M075,Elementary                         ,552,1,0,0,0,1,0,1:552,03M075
Brooklyn,16,16,K669,High School                        ,142,1,0,0,0,1,0,1:142,16K669
Brooklyn,21,21,K468,Secondary School                   ,628,2,0,0,0,2,0,1:314,21K468
Queens,30,30,Q230,Junior High-Intermediate-Middle    ,1278,4,0,0,0,4,0,1:320,30Q230
Brooklyn,13,13,K046,Elementary                         ,261,0,0,0,0,0,0,0,13K046
Queens,26,26,Q221,Elementary                         ,595,1,0,0,0,1,0,1:595,26Q221
Bronx,11,11,X068,Elementary                         ,665,1,0,0,0,1,0,1:665,11X068
Manhattan,2,2,M177,Junior High-Intermediate-Middle    ,204,1,0,0,0,1,0,1:204,02M177
Manhattan,2,2,M560,High School                        ,446,0,0,0,0,0,0,0,02M560
Queens,25,25,Q185,Junior High-Intermediate-Middle    ,1473,4,0,0,0,4,0,1:368,25Q185
Brooklyn,19,19,K504,High School                        ,238,1,0,0,0,1,0,1:238,19K504
Queens,30,30,Q227,Junior High-Intermediate-Middle    ,1558,3,0,0,0,3,0,1:519,30Q227
Brooklyn,17,17,K092,Elementary                         ,402,0,0,0,0,0,0,0,17K092
Bronx,9,9,X088,Early Childhood                    ,155,1,0,0,0,1,0,1:155,09X088
Bronx,8,8,X305,High School                        ,271,1,0,0,0,1,0,1:271,08X305
Bronx,10,10,X264,High School                        ,418,2,0,0,0,2,0,1:209,10X264
Queens,28,28,Q312,Elementary                         ,106,0,0,0,0,0,0,0,28Q312
Bronx,10,10,X244,Junior High-Intermediate-Middle    ,693,4,0,0,0,4,0,1:173,10X244
Queens,30,30,Q204,Junior High-Intermediate-Middle    ,480,3,0,0,0,3,0,1:160,30Q204
Bronx,8,8,X075,Elementary                         ,549,1,0,0,0,1,0,1:549,08X075
Queens,30,30,Q148,Elementary                         ,857,1,0,0,0,1,0,1:857,30Q148
Bronx,8,8,X448,Junior High-Intermediate-Middle    ,368,1,0,0,0,1,0,1:368,08X448
Brooklyn,21,21,K344,High School                        ,547,3,0,0,0,3,0,1:182,21K344
Brooklyn,18,18,K598,Junior High-Intermediate-Middle    ,152,1,0,0,0,1,0,1:152,18K598
Brooklyn,17,17,K189,K-8                                ,1001,1,0,0,0,1,0,1:1001,17K189
Staten Island,31,31,R450,High School                        ,2347,10,0,0,0,10,0,1:235,31R450
Bronx,10,10,X033,Elementary                         ,853,3,0,0,0,3,0,1:284,10X033
Queens,24,24,Q068,Elementary                         ,613,0,0,0,0,0,0,0,24Q068
Bronx,12,12,X463,Elementary                         ,241,0,0,0,0,0,0,0,12X463
Manhattan,3,3,M307,High School                        ,382,1,0,0,0,1,0,1:382,03M307
Manhattan,2,2,M047,High School                        ,173,2,0,0,0,2,0,1:87,02M047
Brooklyn,14,14,K059,Elementary                         ,273,0,0,0,0,0,0,0,14K059
Manhattan,2,2,M393,High School                        ,421,2,0,0,0,2,1,1:211,02M393
Brooklyn,75,13,K140,K-8                                ,256,4,0,0,0,4,0,1:64,75K140
Brooklyn,18,18,K219,Elementary                         ,434,0,0,0,0,0,0,0,18K219
Brooklyn,23,23,K041,K-8                                ,439,1,0,0,0,1,0,1:439,23K041
Brooklyn,23,23,K327,K-8                                ,344,2,0,0,0,2,0,1:172,23K327
Manhattan,75,5,M138,K-12 All Grades                    ,526,2,0,0,0,2,0,1:263,75M138
Bronx,10,10,X225,Secondary School                   ,583,3,0,0,0,3,0,1:194,10X225
Bronx,7,7,X600,High School                        ,422,2,0,0,0,2,0,1:211,07X600
Manhattan,1,1,M839,Junior High-Intermediate-Middle    ,367,1,0,0,0,1,0,1:367,01M839
Brooklyn,22,22,K251,Elementary                         ,487,0,0,0,0,0,0,0,22K251
Staten Island,31,31,R011,Elementary                         ,250,1,0,0,0,1,0,1:250,31R011
Brooklyn,19,19,K662,Junior High-Intermediate-Middle    ,430,2,0,0,0,2,0,1:215,19K662
Manhattan,3,3,M258,Junior High-Intermediate-Middle    ,211,1,0,0,0,1,0,1:211,03M258
Brooklyn,19,19,K190,Elementary                         ,133,0,0,0,0,0,0,0,19K190
Bronx,10,10,X118,Junior High-Intermediate-Middle    ,1108,3,0,0,0,3,0,1:369,10X118
Brooklyn,20,20,K048,Elementary                         ,547,1,0,0,0,1,0,1:547,20K048
Brooklyn,21,21,K620,High School                        ,469,3,0,0,0,3,0,1:156,21K620
Bronx,11,11,X288,High School                        ,593,3,0,0,0,3,0,1:198,11X288
Brooklyn,15,15,K032,Elementary                         ,463,1,0,0,0,1,0,1:463,15K032
Bronx,12,12,X521,High School                        ,376,2,0,0,0,2,0,1:188,12X521
Manhattan,5,5,M175,Elementary                         ,269,1,0,0,0,1,0,1:269,05M175
Brooklyn,14,14,K474,High School                        ,776,6,0,0,0,6,1,1:129,14K474
Queens,25,25,Q163,Elementary                         ,646,1,0,0,0,1,0,1:646,25Q163
Queens,28,28,Q080,Elementary                         ,456,0,0,0,0,0,0,0,28Q080
Brooklyn,19,19,K507,High School                        ,416,2,0,0,0,2,0,1:208,19K507
Manhattan,2,2,M432,High School                        ,286,1,0,0,0,1,0,1:286,02M432
Bronx,11,11,X112,Elementary                         ,319,1,0,0,0,1,0,1:319,11X112
Brooklyn,18,18,K578,High School                        ,127,1,0,0,0,1,0,1:127,18K578
Brooklyn,19,19,K677,Elementary                         ,478,1,0,0,0,1,0,1:478,19K677
Brooklyn,22,22,K203,Elementary                         ,688,0,0,0,0,0,0,0,22K203
Brooklyn,23,23,K137,K-8                                ,252,1,0,0,0,1,0,1:252,23K137
Brooklyn,18,18,K366,Junior High-Intermediate-Middle    ,420,1,0,0,0,1,0,1:420,18K366
Queens,28,28,Q687,High School                        ,458,2,0,0,0,2,0,1:229,28Q687
Brooklyn,17,17,K528,High School                        ,185,1,0,0,0,1,0,1:185,17K528
Brooklyn,14,14,K478,High School                        ,844,3,0,0,0,3,1,1:281,14K478
Brooklyn,14,14,K120,Elementary                         ,375,1,0,0,0,1,0,1:375,14K120
Bronx,9,9,X413,Secondary School                   ,399,3,0,0,0,3,0,1:133,09X413
Manhattan,6,6,M152,Elementary                         ,524,0,0,0,0,0,0,0,06M152
Manhattan,2,2,M296,High School                        ,365,2,0,0,0,2,0,1:183,02M296
Bronx,9,9,X327,Secondary School                   ,695,2,0,1,1,3,1,1:348,09X327
Bronx,8,8,X562,Junior High-Intermediate-Middle    ,320,2,0,0,0,2,0,1:160,08X562
Manhattan,3,3,M403,High School                        ,392,2,0,0,0,2,0,1:196,03M403
Brooklyn,22,22,K152,Elementary                         ,734,0,0,0,0,0,0,0,22K152
Queens,29,29,Q498,High School                        ,422,2,0,0,0,2,0,1:211,29Q498
Queens,24,24,Q077,Junior High-Intermediate-Middle    ,983,3,0,0,0,3,0,1:328,24Q077
Queens,25,25,Q020,Elementary                         ,1184,1,0,0,0,1,0,1:1184,25Q020
Bronx,11,11,X418,High School                        ,433,2,0,0,0,2,0,1:217,11X418
Manhattan,2,2,M217,K-8                                ,527,1,0,0,0,1,0,1:527,02M217
Brooklyn,18,18,K135,Elementary                         ,553,0,0,0,0,0,0,0,18K135
Queens,25,25,Q244,Early Childhood                    ,410,0,0,0,0,0,0,0,25Q244
Staten Island,31,31,R065,Elementary                         ,385,0,0,0,0,0,0,0,31R065
Manhattan,6,6,M311,K-8                                ,418,2,0,0,0,2,0,1:209,06M311
Manhattan,2,2,M041,Elementary                         ,650,0,0,0,0,0,0,0,02M041
Bronx,12,12,X684,High School                        ,419,2,0,0,0,2,0,1:210,12X684
Staten Island,31,31,R001,Elementary                         ,453,1,0,0,0,1,0,1:453,31R001
Staten Island,31,31,R054,Elementary                         ,688,0,0,0,0,0,0,0,31R054
Brooklyn,20,20,K223,Junior High-Intermediate-Middle    ,975,3,0,0,0,3,0,1:325,20K223
Brooklyn,14,14,K577,Junior High-Intermediate-Middle    ,501,2,0,0,0,2,0,1:251,14K577
Manhattan,4,4,M007,K-8                                ,333,1,0,0,0,1,0,1:333,04M007
Brooklyn,19,19,K290,Elementary                         ,487,1,0,0,0,1,0,1:487,19K290
Bronx,9,9,X449,Elementary                         ,406,1,0,0,0,1,0,1:406,09X449
Brooklyn,13,13,K093,Elementary                         ,239,0,0,0,0,0,0,0,13K093
Brooklyn,15,15,K130,Elementary                         ,713,0,0,0,0,0,0,0,15K130
Staten Island,31,31,R002,Junior High-Intermediate-Middle    ,838,2,0,0,0,2,0,1:419,31R002
Brooklyn,14,14,K380,Elementary                         ,527,1,0,0,0,1,0,1:527,14K380
Bronx,9,9,X117,Junior High-Intermediate-Middle    ,539,1,0,0,0,1,0,1:539,09X117
Brooklyn,23,23,K647,High School                        ,138,1,0,0,0,1,0,1:138,23K647
Brooklyn,17,17,K138,K-8                                ,535,1,0,0,0,1,0,1:535,17K138
Bronx,12,12,X047,Elementary                         ,1065,0,0,0,0,0,0,0,12X047
Manhattan,2,2,M459,High School                        ,309,1,0,0,0,1,0,1:309,02M459
Bronx,9,9,X163,Elementary                         ,477,1,0,0,0,1,0,1:477,09X163
Brooklyn,32,32,K151,Elementary                         ,288,0,0,0,0,0,0,0,32K151
Brooklyn,20,20,K186,Elementary                         ,971,0,0,0,0,0,0,0,20K186
Bronx,11,11,X513,High School                        ,364,2,0,0,0,2,0,1:182,11X513
Brooklyn,32,32,K347,Junior High-Intermediate-Middle    ,286,1,0,0,0,1,0,1:286,32K347
Manhattan,2,2,M392,High School                        ,403,2,0,0,0,2,0,1:202,02M392
Brooklyn,17,17,K489,High School                        ,68,1,0,0,0,1,0,1:68,17K489
Queens,26,26,Q162,Elementary                         ,661,1,0,0,0,1,0,1:661,26Q162
Brooklyn,32,32,K299,Elementary                         ,257,1,0,0,0,1,0,1:257,32K299
Brooklyn,15,15,K051,Junior High-Intermediate-Middle    ,1117,2,0,0,0,2,0,1:559,15K051
Bronx,10,10,X213,High School                        ,359,2,0,0,0,2,0,1:180,10X213
Manhattan,1,1,M188,K-8                                ,374,1,0,0,0,1,0,1:374,01M188
Bronx,9,9,X004,K-8                                ,472,2,0,0,0,2,0,1:236,09X004
Manhattan,6,6,M328,Junior High-Intermediate-Middle    ,224,1,0,0,0,1,0,1:224,06M328
Brooklyn,22,22,K361,Early Childhood                    ,375,0,0,0,0,0,0,0,22K361
Brooklyn,13,13,K412,High School                        ,383,1,0,0,0,1,0,1:383,13K412
Queens,28,28,Q099,Elementary                         ,787,0,0,0,0,0,0,0,28Q099
Staten Island,31,31,R062,Elementary                         ,121,0,0,0,0,0,0,0,31R062
Brooklyn,13,13,K351,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136,13K351
Brooklyn,17,17,K531,Secondary School                   ,336,2,0,0,0,2,0,1:168,17K531
Manhattan,3,3,M191,K-8                                ,333,1,0,0,0,1,0,1:333,03M191
Brooklyn,18,18,K617,High School                        ,258,2,0,0,0,2,0,1:129,18K617
Staten Island,31,31,R004,Elementary                         ,689,0,0,0,0,0,0,0,31R004
Manhattan,6,6,M052,Junior High-Intermediate-Middle    ,316,2,0,0,0,2,0,1:158,06M052
Bronx,7,7,X548,High School                        ,497,3,0,0,0,3,0,1:166,07X548
Staten Island,31,31,R068,Elementary                         ,54,0,0,0,0,0,1,0,31R068
Brooklyn,22,22,K119,Elementary                         ,388,0,0,0,0,0,0,0,22K119
Bronx,10,10,X308,Junior High-Intermediate-Middle    ,268,1,0,0,0,1,0,1:268,10X308
Brooklyn,21,21,K228,Junior High-Intermediate-Middle    ,1371,5,0,0,0,5,0,1:274,21K228
Brooklyn,15,15,K261,Elementary                         ,720,1,0,0,0,1,0,1:720,15K261
Queens,30,30,Q070,Elementary                         ,774,0,0,0,0,0,0,0,30Q070
Brooklyn,15,15,K131,Elementary                         ,960,1,0,0,0,1,0,1:960,15K131
Queens,25,26,Q130,Early Childhood                    ,303,0,0,0,0,0,0,0,25Q130
Staten Island,75,31,R373,K-8                                ,482,2,0,0,0,2,0,1:241,75R373
Bronx,10,10,X342,Secondary School                   ,487,4,0,0,0,4,0,1:122,10X342
Manhattan,1,1,M458,High School                        ,104,1,0,0,0,1,0,1:104,01M458
Bronx,8,8,X131,Junior High-Intermediate-Middle    ,448,2,0,0,0,2,0,1:224,08X131
Queens,29,29,Q037,Elementary                         ,434,1,0,0,0,1,0,1:434,29Q037
Bronx,8,8,X014,Elementary                         ,554,1,0,0,0,1,0,1:554,08X014
Bronx,9,9,X252,High School                        ,356,1,0,0,0,1,0,1:356,09X252
Bronx,10,10,X024,Elementary                         ,937,2,0,0,0,2,0,1:469,10X024
Manhattan,4,4,M555,High School                        ,468,1,0,0,0,1,0,1:468,04M555
Brooklyn,19,19,K171,Junior High-Intermediate-Middle    ,426,1,0,0,0,1,0,1:426,19K171
Queens,27,27,Q308,High School                        ,598,3,0,0,0,3,0,1:199,27Q308
Brooklyn,21,21,K215,Elementary                         ,815,2,0,0,0,2,0,1:408,21K215
Brooklyn,75,21,K721,High School                        ,471,5,0,0,0,5,0,1:94,75K721
Manhattan,2,2,M399,High School                        ,382,3,0,0,0,3,0,1:127,02M399
Brooklyn,21,21,K199,Elementary                         ,472,1,0,0,0,1,0,1:472,21K199
Brooklyn,22,22,K535,High School                        ,1014,4,0,0,0,4,0,1:254,22K535
Brooklyn,23,23,K518,Junior High-Intermediate-Middle    ,197,1,0,0,0,1,0,1:197,23K518
Brooklyn,13,13,K499,High School                        ,219,2,0,0,0,2,0,1:110,13K499
Queens,30,30,Q300,K-8                                ,365,1,0,0,0,1,0,1:365,30Q300
Brooklyn,21,21,K095,K-8                                ,884,1,0,0,0,1,0,1:884,21K095
Manhattan,3,3,M149,K-8                                ,219,1,0,0,0,1,0,1:219,03M149
Brooklyn,23,23,K664,Junior High-Intermediate-Middle    ,88,1,0,0,0,1,0,1:88,23K664
Queens,30,30,Q141,Junior High-Intermediate-Middle    ,1092,4,0,0,0,4,0,1:273,30Q141
Bronx,75,11,X723,K-12 All Grades                    ,382,1,0,0,0,1,0,1:382,75X723
Brooklyn,15,15,K698,High School                        ,143,1,0,0,0,1,0,1:143,15K698
Bronx,11,11,X194,K-8                                ,1279,4,0,0,0,4,0,1:320,11X194
Brooklyn,13,13,K670,High School                        ,836,3,0,0,0,3,0,1:279,13K670
Queens,28,28,Q358,Junior High-Intermediate-Middle    ,257,0,0,0,0,0,0,0,28Q358
Bronx,10,10,X086,Elementary                         ,1597,2,0,0,0,2,0,1:799,10X086
Bronx,11,11,X087,Elementary                         ,583,0,0,0,0,0,0,0,11X087
Queens,24,24,Q296,High School                        ,439,2,0,0,0,2,0,1:220,24Q296
Queens,24,24,Q087,K-8                                ,504,0,0,0,0,0,0,0,24Q087
Brooklyn,16,16,K243,Elementary                         ,202,1,0,0,0,1,0,1:202,16K243
Bronx,10,10,X291,Elementary                         ,635,0,0,0,0,0,0,0,10X291
Bronx,12,12,X242,Secondary School                   ,647,2,0,0,0,2,0,1:324,12X242
Queens,25,25,Q193,Elementary                         ,488,1,0,0,0,1,0,1:488,25Q193
Queens,30,30,Q258,High School                        ,428,3,0,0,0,3,0,1:143,30Q258
Queens,24,24,Q520,High School                        ,473,1,0,0,0,1,0,1:473,24Q520
Brooklyn,15,15,K821,Junior High-Intermediate-Middle    ,491,2,0,0,0,2,0,1:246,15K821
Manhattan,2,2,M489,High School                        ,723,2,0,0,0,2,0,1:362,02M489
Brooklyn,14,14,K586,Secondary School                   ,472,1,0,0,0,1,0,1:472,14K586
Brooklyn,23,23,K184,K-8                                ,451,0,0,0,0,0,0,0,23K184
Brooklyn,17,17,K221,Elementary                         ,308,0,0,0,0,0,0,0,17K221
Manhattan,2,2,M519,High School                        ,476,1,0,0,0,1,0,1:476,02M519
Bronx,12,12,X511,High School                        ,352,2,0,0,0,2,0,1:176,12X511
Brooklyn,32,32,K116,Elementary                         ,438,1,0,0,0,1,0,1:438,32K116
Bronx,12,12,X251,High School                        ,304,2,0,0,0,2,0,1:152,12X251
Bronx,8,8,X312,High School                        ,403,2,0,0,0,2,0,1:202,08X312
Manhattan,6,6,M187,K-8                                ,788,1,0,0,0,1,0,1:788,06M187
Bronx,12,12,X480,High School                        ,138,1,0,0,0,1,0,1:138,12X480
Brooklyn,19,19,K510,High School                        ,221,1,0,0,0,1,0,1:221,19K510
Brooklyn,17,17,K091,Elementary                         ,271,2,0,0,0,2,0,1:136,17K091
Brooklyn,17,17,K751,High School                        ,356,1,0,1,1,2,1,1:356,17K751
Manhattan,2,2,M116,Elementary                         ,509,1,0,0,0,1,0,1:509,02M116
Queens,29,26,Q208,K-8                                ,720,3,0,0,0,3,0,1:240,29Q208
Brooklyn,20,20,K682,Elementary                         ,357,1,0,0,0,1,0,1:357,20K682
Brooklyn,18,18,K233,Elementary                         ,403,0,0,0,0,0,0,0,18K233
Brooklyn,15,15,K442,Junior High-Intermediate-Middle    ,206,1,0,0,0,1,0,1:206,15K442
Bronx,75,12,X811,Secondary School                   ,583,3,0,0,0,3,0,1:194,75X811
Manhattan,1,1,M063,Elementary                         ,171,0,0,0,0,0,0,0,01M063
Brooklyn,21,21,K121,K-8                                ,317,1,0,0,0,1,0,1:317,21K121
Queens,29,29,Q289,Junior High-Intermediate-Middle    ,223,2,0,0,0,2,0,1:112,29Q289
Manhattan,6,6,M143,Junior High-Intermediate-Middle    ,298,1,0,0,0,1,0,1:298,06M143
Queens,27,27,Q123,Elementary                         ,616,0,0,0,0,0,0,0,27Q123
Staten Island,31,31,R023,Elementary                         ,480,0,0,0,0,0,0,0,31R023
Bronx,9,9,X325,Junior High-Intermediate-Middle    ,239,1,0,0,0,1,0,1:239,09X325
Brooklyn,21,21,K101,Elementary                         ,866,0,0,0,0,0,0,0,21K101
Brooklyn,23,23,K155,K-8                                ,368,0,0,0,0,0,0,0,23K155
Brooklyn,17,17,K352,Junior High-Intermediate-Middle    ,161,1,0,0,0,1,0,1:161,17K352
Queens,30,30,Q286,Secondary School                   ,548,1,0,0,0,1,0,1:548,30Q286
Bronx,7,7,X030,Elementary                         ,510,1,0,0,0,1,0,1:510,07X030
Queens,29,29,Q326,High School                        ,326,2,0,0,0,2,0,1:163,29Q326
Bronx,7,7,X162,Junior High-Intermediate-Middle    ,362,1,0,0,0,1,0,1:362,07X162
Manhattan,3,3,M076,K-8                                ,440,1,0,0,0,1,0,1:440,03M076
Queens,24,24,Q455,High School                        ,1733,8,0,0,0,8,0,1:217,24Q455
Queens,26,26,Q115,Elementary                         ,646,0,0,0,0,0,0,0,26Q115
Bronx,11,11,X169,Elementary                         ,360,0,0,0,0,0,0,0,11X169
Manhattan,2,2,M131,Junior High-Intermediate-Middle    ,439,1,0,0,0,1,0,1:439,02M131
Queens,27,27,Q063,Elementary                         ,1230,0,0,0,0,0,0,0,27Q063
Brooklyn,14,14,K318,Junior High-Intermediate-Middle    ,1337,3,0,0,0,3,0,1:446,14K318
Brooklyn,17,17,K249,Elementary                         ,837,1,0,0,0,1,0,1:837,17K249
Queens,24,24,Q071,Elementary                         ,727,2,0,0,0,2,0,1:364,24Q071
Queens,25,25,Q079,Elementary                         ,1030,1,0,0,0,1,0,1:1030,25Q079
Bronx,10,10,X015,K-8                                ,488,1,0,0,0,1,0,1:488,10X015
Brooklyn,20,20,K192,K-8                                ,628,1,0,0,0,1,0,1:628,20K192
Bronx,12,12,X478,High School                        ,302,2,0,0,0,2,0,1:151,12X478
Bronx,9,9,X028,Elementary                         ,670,0,0,0,0,0,0,0,09X028
Bronx,10,10,X284,High School                        ,347,1,0,0,0,1,0,1:347,10X284
Bronx,7,7,X296,Junior High-Intermediate-Middle    ,273,1,0,0,0,1,0,1:273,07X296
Manhattan,1,1,M378,Junior High-Intermediate-Middle    ,275,2,0,0,0,2,0,1:138,01M378
Brooklyn,13,13,K301,Junior High-Intermediate-Middle    ,104,1,0,0,0,1,0,1:104,13K301
Manhattan,2,2,M040,Elementary                         ,609,0,0,0,0,0,0,0,02M040
Brooklyn,18,18,K763,Junior High-Intermediate-Middle    ,222,1,0,0,0,1,0,1:222,18K763
Brooklyn,17,17,K181,K-8                                ,722,2,0,0,0,2,0,1:361,17K181
Queens,30,30,Q361,Elementary                         ,130,0,0,0,0,0,0,0,30Q361
Bronx,9,9,X073,Elementary                         ,652,1,0,0,0,1,0,1:652,09X073
Brooklyn,19,19,K292,Junior High-Intermediate-Middle    ,533,2,0,0,0,2,0,1:267,19K292
Bronx,10,10,X437,High School                        ,357,1,0,0,0,1,1,1:357,10X437
Brooklyn,15,15,K118,Elementary                         ,213,0,0,0,0,0,0,0,15K118
Brooklyn,22,22,K278,Junior High-Intermediate-Middle    ,1009,5,0,0,0,5,0,1:202,22K278
Queens,25,25,Q499,K-8                                ,456,1,0,0,0,1,0,1:456,25Q499
Manhattan,5,5,M369,High School                        ,311,0,0,0,0,0,0,0,05M369
Queens,24,24,Q119,K-8                                ,1196,3,0,0,0,3,0,1:399,24Q119
Brooklyn,15,15,K592,High School                        ,243,2,1,0,1,3,0,1:122,15K592
Bronx,10,10,X094,Elementary                         ,1196,1,0,0,0,1,0,1:1196,10X094
Manhattan,3,3,M163,Elementary                         ,526,0,0,0,0,0,0,0,03M163
Brooklyn,20,20,K160,Elementary                         ,1252,0,0,0,0,0,0,0,20K160
Brooklyn,17,17,K533,Secondary School                   ,197,2,0,0,0,2,0,1:99,17K533
Bronx,12,12,X150,Elementary                         ,825,0,0,0,0,0,0,0,12X150
Brooklyn,13,13,K305,Elementary                         ,122,0,0,0,0,0,0,0,13K305
Bronx,11,11,X121,Elementary                         ,869,0,0,0,0,0,0,0,11X121
Brooklyn,32,32,K123,Elementary                         ,616,0,0,0,0,0,0,0,32K123
Manhattan,1,1,M363,Elementary                         ,280,1,0,0,0,1,0,1:280,01M363
Manhattan,2,2,M543,High School                        ,385,1,0,1,1,2,1,1:385,02M543
Queens,75,24,Q075,K-8                                ,457,7,0,0,0,7,0,1:65,75Q075
Brooklyn,19,19,K364,Junior High-Intermediate-Middle    ,306,2,0,0,0,2,0,1:153,19K364
Brooklyn,20,20,K247,Elementary                         ,826,1,0,0,0,1,0,1:826,20K247
Manhattan,75,3,M811,K-8                                ,311,3,0,0,0,3,0,1:104,75M811
Manhattan,3,3,M862,Junior High-Intermediate-Middle    ,337,0,0,0,0,0,0,0,03M862
Queens,24,24,Q290,Elementary                         ,502,1,0,0,0,1,0,1:502,24Q290
Brooklyn,20,20,K686,K-8                                ,576,1,0,0,0,1,0,1:576,20K686
Manhattan,75,5,M079,Secondary School                   ,242,3,0,0,0,3,0,1:81,75M079
