school/qr.School Year,school/qr.Overall Rating,DBN
SY06-07,P,27Q155
SY09-10,WD,20K445
SY06-07,P,24Q560
SY07-08,WD,09X028
SY07-08,UPF,31R014
SY06-07,WD,26Q205
SY09-10,P,04M409
SY09-10,P,12X684
SY06-07,WD,06M468
SY10-11,P,23K647
SY06-07,WD,02M347
SY06-07,P,02M425
SY07-08,WD,27Q262
SY07-08,WD,30Q145
SY06-07,U,16K534
SY05-06,WD,13K670
SY07-08,P,09X414
SY06-07,WD,29Q132
SY07-08,WD,31R038
SY06-07,P,03M172
SY09-10,P,05M197
SY10-11,D,11X087
SY07-08,P,30Q126
SY09-10,P,28Q030
SY06-07,P,10X207
SY06-07,P,32K549
SY10-11,D,31R004
SY08-09,P,75K771
SY06-07,P,08X138
SY06-07,P,19K213
SY06-07,P,27Q260
SY07-08,P,01M539
SY06-07,WD,11X178
SY07-08,P,27Q475
SY06-07,P,06M098
SY07-08,WD,75K004
SY06-07,P,24Q267
SY08-09,UPF,11X142
SY10-11,P,21K238
SY06-07,P,02M126
SY09-10,WD,23K493
SY07-08,WD,08X036
SY06-07,U,11X326
SY06-07,WD,26Q415
SY06-07,P,06M322
SY07-08,WD,75Q721
SY08-09,WD,14K449
SY06-07,P,13K492
SY09-10,WD,28Q303
SY09-10,P,02M198
SY06-07,P,13K307
SY07-08,UPF,05M469
SY10-11,U,10X391
SY10-11,P,32K145
SY07-08,WD,22K312
SY10-11,D,27Q475
SY07-08,P,32K145
SY06-07,P,11X180
SY07-08,P,03M256
SY06-07,WD,15K230
SY07-08,WD,75K141
SY07-08,P,01M315
SY06-07,WD,02M130
SY07-08,P,30Q580
SY07-08,P,75Q009
SY10-11,P,08X119
SY07-08,P,28Q687
SY07-08,WD,10X319
SY06-07,WD,13K439
SY07-08,WD,08X119
SY06-07,P,31R013
SY09-10,WD,07X029
SY 11-12,D,02M131
SY06-07,P,04M057
SY10-11,P,75R373
SY09-10,P,31R014
SY 11-12,P,75K141
SY10-11,P,23K634
SY 11-12,WD,19K404
SY10-11,D,20K180
SY06-07,P,12X102
SY07-08,P,13K350
SY07-08,WD,11X153
SY10-11,P,18K219
SY08-09,P,13K093
SY07-08,P,23K332
SY08-09,P,23K284
SY07-08,WD,07X179
SY07-08,P,24Q560
SY07-08,WD,24Q019
SY08-09,P,12X245
SY07-08,WD,27Q480
SY06-07,U,10X430
SY10-11,P,32K123
SY06-07,P,09X230
SY09-10,WD,04M372
SY09-10,WD,01M696
SY10-11,U,07X655
SY07-08,WD,02M542
SY07-08,WD,04M057
SY08-09,P,09X324
SY07-08,WD,22K194
SY06-07,P,09X323
SY10-11,WD,10X308
SY07-08,P,27Q045
SY07-08,WD,24Q530
SY09-10,P,21K410
SY07-08,WD,26Q159
SY 11-12,P,01M839
SY08-09,WD,75Q255
SY06-07,P,09X035
SY09-10,WD,27Q306
SY06-07,WD,27Q232
SY06-07,WD,25Q032
SY07-08,P,10X399
SY07-08,WD,19K345
SY05-06,P,05M304
SY06-07,P,18K415
SY06-07,WD,26Q162
SY10-11,D,17K022
SY06-07,P,09X110
SY06-07,P,09X218
SY07-08,P,26Q435
SY05-06,P,02M305
SY06-07,WD,30Q234
SY08-09,P,10X085
SY06-07,P,27Q253
SY10-11,P,15K001
SY06-07,P,07X655
SY07-08,WD,19K158
SY05-06,P,02M313
SY07-08,WD,19K065
SY09-10,P,27Q260
SY06-07,P,19K089
SY06-07,P,07X334
SY07-08,WD,11X544
SY09-10,UPF,11X326
SY 11-12,P,31R053
SY10-11,P,01M315
SY07-08,WD,11X272
SY09-10,P,07X379
SY07-08,WD,20K247
SY06-07,P,12X242
SY06-07,P,10X434
SY07-08,WD,03M149
SY06-07,P,06M115
SY10-11,U,05M285
SY08-09,P,31R047
SY07-08,WD,06M348
SY06-07,P,28Q140
SY09-10,P,31R063
SY06-07,WD,24Q016
SY06-07,P,14K071
SY05-06,WD,18K115
SY10-11,WD,15K321
SY08-09,P,11X189
SY07-08,WD,02M655
SY06-07,WD,30Q092
SY07-08,P,12X341
SY07-08,WD,31R058
SY10-11,D,28Q050
SY07-08,WD,21K199
SY07-08,P,17K489
SY07-08,WD,06M115
SY06-07,WD,75Q811
SY 11-12,WD,03M859
SY07-08,P,17K138
SY07-08,WD,10X340
SY09-10,P,19K618
SY 11-12,WD,28Q157
SY05-06,WD,01M696
SY07-08,WD,17K524
SY07-08,WD,04M112
SY10-11,D,03M415
SY07-08,P,10X085
SY07-08,WD,12X684
SY10-11,WD,14K034
SY10-11,P,01M110
SY06-07,WD,27Q065
SY 11-12,P,31R021
SY08-09,WD,09X028
SY06-07,P,11X455
SY 11-12,WD,10X374
SY06-07,WD,29Q131
SY09-10,P,02M408
SY07-08,WD,18K211
SY07-08,WD,22K197
SY06-07,P,24Q007
SY07-08,P,09X163
SY09-10,WD,28Q080
SY07-08,WD,28Q161
SY07-08,WD,01M020
SY06-07,P,31R051
SY 11-12,D,23K634
SY06-07,P,09X297
SY07-08,WD,15K032
SY06-07,P,27Q045
SY09-10,P,01M019
SY09-10,P,02M296
SY07-08,WD,01M650
SY10-11,P,05M499
SY 11-12,D,31R039
SY07-08,O,28Q121
SY08-09,P,75X168
SY06-07,P,27Q223
SY09-10,P,05M175
SY06-07,P,32K377
SY07-08,WD,09X204
SY 11-12,P,11X180
SY08-09,UPF,05M197
SY06-07,U,02M429
SY06-07,P,19K452
SY06-07,P,21K228
SY 11-12,P,04M406
SY06-07,WD,22K052
SY10-11,D,23K298
SY07-08,WD,01M363
SY10-11,WD,05M161
SY06-07,WD,11X068
SY07-08,P,02M429
SY07-08,P,12X190
SY10-11,D,11X068
SY06-07,WD,13K282
SY09-10,WD,13K527
SY08-09,P,01M063
SY06-07,WD,20K200
SY07-08,WD,31R007
SY06-07,P,09X204
SY07-08,WD,14K478
SY06-07,WD,22K206
SY06-07,P,02M411
SY06-07,P,02M605
SY06-07,P,23K178
SY06-07,P,13K256
SY06-07,P,17K539
SY07-08,P,01M361
SY06-07,P,26Q216
SY09-10,WD,06M463
SY06-07,P,27Q053
SY10-11,P,32K564
SY07-08,WD,02M116
SY 11-12,D,08X282
SY06-07,P,09X252
SY09-10,P,12X384
SY07-08,P,16K534
SY10-11,P,24Q077
SY06-07,WD,20K185
SY07-08,WD,31R053
SY06-07,P,04M038
SY08-09,P,09X250
SY06-07,WD,02M545
SY06-07,WD,17K249
SY08-09,WD,19K583
SY06-07,P,09X028
SY07-08,WD,14K018
SY 11-12,P,27Q223
SY05-06,P,17K524
SY08-09,UPF,09X230
SY07-08,P,12X480
SY06-07,P,26Q172
SY08-09,WD,02M407
SY10-11,P,06M115
SY07-08,WD,08X071
SY05-06,P,03M307
SY06-07,WD,22K312
SY10-11,WD,20K112
SY06-07,P,13K103
SY08-09,P,02M429
SY08-09,P,04M146
SY06-07,WD,11X105
SY08-09,WD,17K221
SY09-10,UPF,02M260
SY06-07,P,10X015
SY07-08,WD,30Q122
SY07-08,P,11X249
SY09-10,P,17K600
SY08-09,P,12X212
SY06-07,P,06M321
SY10-11,WD,26Q186
SY06-07,P,06M173
SY07-08,WD,75K036
SY06-07,P,17K382
SY08-09,P,02M615
SY06-07,P,28Q190
SY07-08,WD,31R002
SY 11-12,P,31R023
SY 11-12,D,19K190
SY07-08,WD,09X215
SY09-10,P,07X321
SY06-07,U,01M509
SY06-07,P,26Q067
SY07-08,WD,22K109
SY 11-12,WD,10X549
SY08-09,P,18K563
SY06-07,P,16K040
SY06-07,WD,05M197
SY06-07,P,18K276
SY06-07,P,75K368
SY10-11,D,09X117
SY 11-12,WD,14K449
SY09-10,P,02M605
SY07-08,P,32K552
SY06-07,WD,22K381
SY06-07,WD,01M450
SY06-07,WD,28Q690
SY 11-12,D,27Q253
SY09-10,P,22K277
SY05-06,P,04M495
SY07-08,WD,19K159
SY 11-12,WD,31R005
SY 11-12,WD,20K682
SY06-07,WD,07X005
SY07-08,WD,09X035
SY06-07,P,11X144
SY10-11,WD,22K312
SY08-09,WD,05M362
SY07-08,WD,31R004
SY07-08,P,21K096
SY07-08,P,13K412
SY 11-12,P,01M142
SY10-11,P,32K086
SY07-08,P,17K528
SY06-07,WD,21K281
SY06-07,U,16K143
SY06-07,P,12X316
SY05-06,P,15K429
SY07-08,WD,19K108
SY09-10,WD,31R013
SY09-10,P,05M304
SY08-09,P,01M292
SY08-09,P,18K285
SY08-09,WD,24Q264
SY10-11,D,14K126
SY07-08,WD,25Q219
SY07-08,WD,11X105
SY08-09,P,15K497
SY06-07,P,75K004
SY10-11,D,04M825
SY06-07,P,17K091
SY06-07,WD,15K010
SY10-11,P,02M104
SY 11-12,P,04M206
SY10-11,WD,08X304
SY09-10,P,08X650
SY09-10,P,29Q118
SY10-11,D,19K202
SY 11-12,U,09X313
SY05-06,WD,30Q166
SY06-07,WD,75X168
SY 11-12,WD,02M158
SY06-07,P,84Q705
SY10-11,D,75K811
SY07-08,WD,10X439
SY07-08,P,03M860
SY07-08,P,13K113
SY06-07,WD,17K061
SY07-08,P,29Q135
SY06-07,P,17K547
SY10-11,D,02M429
SY10-11,WD,28Q220
SY 11-12,P,75K371
SY09-10,WD,14K018
SY07-08,P,19K452
SY 11-12,P,11X153
SY06-07,P,02M625
SY07-08,WD,20K503
SY10-11,D,19K507
SY09-10,P,32K403
SY10-11,P,13K266
SY05-06,P,13K336
SY06-07,WD,05M685
SY07-08,WD,10X307
SY07-08,WD,09X252
SY09-10,P,08X130
SY05-06,WD,12X682
SY06-07,P,08X305
SY10-11,U,09X412
SY07-08,WD,12X550
SY08-09,P,21K225
SY06-07,P,15K107
SY09-10,WD,09X263
SY07-08,P,09X324
SY07-08,P,02M459
SY10-11,D,04M146
SY06-07,U,19K072
SY05-06,WD,02M114
SY10-11,D,22K269
SY09-10,UPF,12X278
SY10-11,D,18K272
SY06-07,P,05M369
SY08-09,P,23K298
SY06-07,WD,10X445
SY07-08,WD,21K690
SY 11-12,D,17K382
SY10-11,D,18K285
SY07-08,WD,19K202
SY 11-12,P,10X331
SY06-07,P,02M418
SY 11-12,P,29Q259
SY08-09,P,05M369
SY08-09,WD,04M038
SY10-11,P,31R069
SY07-08,WD,21K337
SY08-09,P,20K609
SY06-07,P,19K502
SY08-09,P,19K302
SY07-08,WD,02M411
SY10-11,WD,02M006
SY07-08,P,27Q210
SY06-07,WD,03M166
SY06-07,P,32K086
SY06-07,P,02M529
SY10-11,P,29Q036
SY09-10,P,13K265
SY07-08,WD,05M499
SY09-10,WD,08X424
SY07-08,WD,21K226
SY06-07,P,05M129
SY06-07,P,09X525
SY08-09,UPF,04M635
SY08-09,P,12X214
SY07-08,WD,23K327
SY08-09,UPF,30Q151
SY10-11,D,09X126
SY08-09,P,02M116
SY05-06,P,02M316
SY06-07,U,10X433
SY07-08,P,02M544
SY07-08,P,29Q059
SY08-09,P,12X196
SY08-09,UPF,13K350
SY10-11,P,28Q040
SY09-10,WD,27Q480
SY07-08,WD,09X236
SY08-09,P,07X030
SY07-08,P,03M505
SY06-07,WD,14K478
SY09-10,P,07X500
SY07-08,P,04M435
SY07-08,WD,11X068
SY08-09,P,10X660
SY06-07,U,12X262
SY07-08,P,15K497
SY 11-12,P,29Q135
SY09-10,WD,13K575
SY06-07,P,10X268
SY06-07,P,17K167
SY07-08,P,09X145
SY06-07,WD,15K821
SY07-08,WD,08X107
SY08-09,WD,08X371
SY08-09,P,10X054
SY07-08,O,10X477
SY06-07,P,02M542
SY 11-12,P,02M399
SY07-08,WD,02M630
SY07-08,WD,08X269
SY08-09,P,10X225
SY07-08,WD,10X440
SY06-07,U,01M137
SY06-07,WD,12X267
SY06-07,U,27Q465
SY 11-12,D,12X190
SY 11-12,P,27Q318
SY09-10,P,31R051
SY07-08,WD,02M059
SY08-09,P,03M165
SY 11-12,P,31R034
SY08-09,P,12X480
SY06-07,WD,24Q153
SY 11-12,P,24Q058
SY06-07,U,07X224
SY06-07,P,25Q189
SY 11-12,P,04M825
SY07-08,O,26Q203
SY07-08,P,21K153
SY 11-12,D,16K308
SY08-09,UPF,07X065
SY10-11,D,07X369
SY06-07,WD,02M439
SY 11-12,D,16K028
SY08-09,WD,28Q072
SY06-07,P,02M586
SY09-10,P,28Q217
SY07-08,WD,02M158
SY10-11,P,10X159
SY08-09,P,22K278
SY09-10,P,09X230
SY06-07,WD,21K690
SY05-06,P,11X103
SY 11-12,P,07X551
SY06-07,P,12X273
SY 11-12,P,29Q034
SY06-07,P,25Q163
SY09-10,P,16K636
SY 11-12,P,23K327
SY08-09,P,31R036
SY07-08,P,28Q082
SY06-07,WD,30Q010
SY06-07,P,13K270
SY07-08,WD,02M442
SY07-08,UPF,01M301
SY06-07,WD,25Q201
SY06-07,WD,27Q063
SY 11-12,D,02M111
SY06-07,WD,26Q158
SY07-08,P,11X041
SY06-07,WD,20K102
SY06-07,U,22K078
SY07-08,WD,20K112
SY06-07,U,16K498
SY07-08,P,07X065
SY10-11,D,20K127
SY 11-12,P,17K397
SY06-07,P,07X277
SY08-09,P,31R005
SY06-07,P,09X004
SY 11-12,D,08X107
SY09-10,P,02M217
SY06-07,P,09X236
SY10-11,P,17K587
SY10-11,D,29Q494
SY10-11,P,16K534
SY08-09,P,08X519
SY08-09,P,75X723
SY 11-12,P,07X029
SY08-09,P,26Q415
SY06-07,P,18K268
SY07-08,P,13K509
SY07-08,WD,10X008
SY07-08,WD,03M307
SY07-08,WD,02M308
SY07-08,WD,02M006
SY 11-12,D,19K171
SY06-07,WD,22K251
SY06-07,WD,26Q074
SY08-09,P,24Q119
SY 11-12,P,15K261
SY09-10,P,21K690
SY06-07,P,11X112
SY10-11,P,12X129
SY09-10,P,02M544
SY09-10,P,10X213
SY07-08,WD,24Q014
SY09-10,P,18K635
SY07-08,P,26Q094
SY07-08,P,02M089
SY07-08,WD,16K057
SY06-07,P,24Q013
SY06-07,P,29Q036
SY05-06,WD,03M862
SY08-09,WD,02M059
SY09-10,WD,20K104
SY07-08,WD,05M129
SY 11-12,P,30Q148
SY10-11,WD,25Q022
SY07-08,P,19K328
SY08-09,P,10X440
SY07-08,WD,27Q043
SY06-07,P,10X033
SY06-07,P,29Q259
SY07-08,P,11X078
SY10-11,D,30Q017
SY08-09,WD,25Q020
SY08-09,WD,09X263
SY06-07,P,07X500
SY07-08,WD,12X211
SY06-07,WD,30Q002
SY 11-12,P,10X279
SY08-09,P,26Q178
SY09-10,UPF,03M283
SY08-09,WD,75X188
SY06-07,P,17K221
SY 11-12,P,17K568
SY06-07,WD,20K445
SY10-11,D,10X386
SY07-08,WD,24Q229
SY07-08,WD,12X316
SY07-08,WD,02M519
SY09-10,WD,15K442
SY06-07,P,03M494
SY06-07,WD,25Q209
SY10-11,D,08X014
SY07-08,WD,30Q150
SY06-07,P,27Q262
SY08-09,P,09X170
SY07-08,WD,15K447
SY10-11,WD,15K130
SY06-07,P,16K267
SY07-08,WD,11X160
SY06-07,P,10X439
SY07-08,P,75K370
SY06-07,WD,31R052
SY07-08,WD,08X048
SY06-07,WD,18K285
SY09-10,WD,75X188
SY06-07,U,13K054
SY06-07,P,06M349
SY09-10,P,18K588
SY06-07,P,31R605
SY06-07,P,24Q091
SY06-07,P,27Q226
SY 11-12,P,31R048
SY06-07,P,10X079
SY07-08,WD,24Q088
SY07-08,WD,10X310
SY06-07,P,02M296
SY06-07,P,30Q286
SY05-06,WD,28Q196
SY06-07,P,20K220
SY07-08,P,30Q111
SY 11-12,P,13K412
SY07-08,O,02M042
SY09-10,WD,28Q072
SY 11-12,P,13K350
SY06-07,P,09X114
SY07-08,P,05M285
SY05-06,P,05M030
SY 11-12,D,11X112
SY10-11,D,13K113
SY10-11,D,75X186
SY06-07,P,75M811
SY06-07,WD,30Q122
SY 11-12,P,06M278
SY06-07,WD,25Q194
SY07-08,P,12X278
SY09-10,UPF,25Q250
SY07-08,WD,24Q520
SY 11-12,WD,06M052
SY 11-12,D,07X162
SY10-11,D,21K209
SY06-07,P,17K352
SY10-11,P,08X036
SY 11-12,D,23K178
SY06-07,P,06M018
SY07-08,WD,25Q184
SY 11-12,D,12X278
SY06-07,P,29Q192
SY09-10,WD,12X383
SY 11-12,P,22K203
SY07-08,WD,29Q270
SY09-10,P,02M313
SY06-07,P,20K127
SY08-09,P,12X134
SY06-07,WD,08X304
SY08-09,P,02M316
SY09-10,P,05M302
SY07-08,WD,08X304
SY07-08,P,02M150
SY06-07,WD,26Q191
SY07-08,WD,31R001
SY06-07,P,03M087
SY07-08,P,02M002
SY10-11,D,10X660
SY08-09,WD,14K319
SY08-09,P,04M409
SY06-07,P,10X118
SY07-08,WD,31R060
SY07-08,WD,22K254
SY09-10,P,21K540
SY09-10,P,06M115
SY10-11,P,28Q160
SY08-09,P,15K261
SY07-08,WD,23K514
SY06-07,U,75X754
SY08-09,WD,75K077
SY10-11,P,14K071
SY09-10,P,32K299
SY09-10,P,23K298
SY09-10,UPF,02M429
SY08-09,UPF,30Q222
SY05-06,P,02M570
SY06-07,P,30Q445
SY07-08,P,01M140
SY09-10,WD,18K633
SY06-07,P,05M154
SY08-09,P,75Q009
SY10-11,D,09X325
SY06-07,WD,15K029
SY10-11,P,15K698
SY08-09,P,13K571
SY08-09,P,09X114
SY06-07,U,09X324
SY08-09,P,24Q007
SY06-07,WD,21K303
SY 11-12,D,09X145
SY09-10,P,02M420
SY07-08,P,08X332
SY06-07,P,24Q068
SY07-08,P,17K246
SY09-10,UPF,08X125
SY08-09,P,02M580
SY06-07,P,27Q254
SY08-09,P,12X372
SY 11-12,D,23K298
SY10-11,D,18K578
SY07-08,P,28Q072
SY 11-12,D,02M347
SY07-08,WD,31R032
SY06-07,P,19K311
SY07-08,WD,75Q255
SY06-07,WD,19K290
SY 11-12,D,12X061
SY 11-12,P,10X095
SY06-07,P,02M460
SY08-09,P,10X118
SY10-11,WD,02M114
SY 11-12,D,13K067
SY10-11,D,75K368
SY09-10,UPF,14K071
SY05-06,WD,22K425
SY07-08,WD,21K303
SY07-08,WD,75M751
SY 11-12,P,11X468
SY07-08,P,17K600
SY06-07,P,28Q030
SY09-10,P,13K287
SY 11-12,P,10X091
SY07-08,P,12X691
SY07-08,P,12X262
SY05-06,WD,10X477
SY10-11,D,16K455
SY06-07,WD,15K032
SY09-10,P,10X475
SY08-09,P,75K372
SY07-08,P,27Q410
SY07-08,WD,02M560
SY10-11,P,16K308
SY09-10,WD,21K098
SY10-11,D,07X321
SY08-09,WD,07X221
SY 11-12,P,30Q076
SY09-10,UPF,07X547
SY08-09,P,05M195
SY07-08,P,30Q151
SY07-08,P,03M087
SY07-08,P,25Q163
SY06-07,U,28Q054
SY08-09,UPF,09X227
SY07-08,P,04M146
SY08-09,P,19K224
SY 11-12,P,02M393
SY08-09,WD,23K493
SY07-08,P,01M015
SY07-08,P,13K270
SY06-07,WD,75K721
SY09-10,P,27Q215
SY07-08,WD,06M005
SY07-08,P,09X219
SY07-08,P,25Q130
SY06-07,P,07X221
SY07-08,WD,75Q233
SY06-07,WD,29Q208
SY09-10,P,06M173
SY08-09,P,02M625
SY08-09,WD,27Q051
SY06-07,P,08X014
SY10-11,D,08X405
SY07-08,P,11X142
SY07-08,WD,24Q089
SY06-07,P,13K412
SY06-07,WD,28Q174
SY06-07,WD,11X194
SY06-07,WD,21K540
SY07-08,P,05M369
SY10-11,P,24Q119
SY07-08,WD,22K315
SY 11-12,D,11X370
SY10-11,P,27Q202
SY09-10,P,28Q054
SY07-08,P,13K044
SY07-08,WD,12X150
SY07-08,P,06M321
SY07-08,P,31R026
SY07-08,P,12X195
SY07-08,WD,18K285
SY 11-12,P,31R031
SY07-08,WD,02M217
SY08-09,P,29Q251
SY07-08,WD,25Q032
SY09-10,P,10X094
SY06-07,WD,24Q061
SY07-08,WD,02M294
SY 11-12,P,06M178
SY08-09,WD,75Q004
SY06-07,P,11X181
SY07-08,UPF,30Q076
SY07-08,P,10X308
SY06-07,WD,26Q266
SY07-08,WD,26Q074
SY 11-12,D,17K489
SY06-07,WD,31R001
SY07-08,WD,03M054
SY07-08,WD,31R069
SY09-10,P,09X239
SY09-10,P,07X520
SY08-09,P,20K200
SY09-10,P,30Q227
SY06-07,WD,05M175
SY06-07,WD,11X288
SY07-08,WD,04M012
SY07-08,WD,29Q248
SY07-08,WD,31R039
SY07-08,WD,24Q016
SY06-07,P,31R026
SY07-08,WD,13K483
SY 11-12,P,18K578
SY06-07,WD,14K034
SY10-11,P,25Q021
SY09-10,WD,03M166
SY05-06,WD,31R035
SY09-10,P,23K634
SY08-09,P,17K408
SY07-08,WD,02M439
SY 11-12,P,02M316
SY06-07,P,02M500
SY06-07,P,08X282
SY08-09,P,19K190
SY07-08,U,75K811
SY07-08,WD,26Q213
SY10-11,P,10X051
SY06-07,P,24Q119
SY10-11,WD,22K217
SY10-11,P,22K495
SY06-07,P,09X412
SY07-08,WD,02M003
SY 11-12,D,17K528
SY08-09,P,01M015
SY09-10,P,15K448
SY06-07,P,11X289
SY07-08,WD,12X092
SY 11-12,D,24Q296
SY07-08,P,10X207
SY10-11,WD,25Q079
SY09-10,P,02M419
SY06-07,P,23K332
SY07-08,WD,04M108
SY06-07,P,32K274
SY10-11,WD,24Q550
SY10-11,D,09X070
SY07-08,P,28Q284
SY07-08,WD,22K207
SY10-11,P,23K323
SY06-07,P,09X011
SY09-10,WD,10X024
SY09-10,P,04M224
SY 11-12,WD,10X209
SY09-10,P,30Q445
SY07-08,WD,03M166
SY08-09,UPF,13K670
SY07-08,WD,02M290
SY 11-12,P,02M422
SY10-11,WD,31R063
SY07-08,P,28Q440
SY 11-12,D,27Q043
SY06-07,P,12X318
SY06-07,WD,20K259
SY07-08,P,20K223
SY09-10,WD,11X265
SY 11-12,P,11X096
SY07-08,WD,06M462
SY08-09,P,18K589
SY07-08,P,27Q105
SY07-08,WD,19K290
SY07-08,WD,03M165
SY06-07,WD,22K195
SY10-11,D,09X230
SY07-08,P,04M409
SY06-07,P,01M361
SY06-07,P,30Q150
SY09-10,P,09X412
SY07-08,WD,25Q201
SY07-08,P,09X166
SY08-09,P,75K373
SY10-11,P,15K592
SY 11-12,P,10X244
SY06-07,P,13K044
SY07-08,P,05M125
SY07-08,P,14K577
SY07-08,O,15K172
SY06-07,P,13K258
SY06-07,P,06M278
SY07-08,WD,30Q017
SY10-11,D,09X132
SY06-07,P,01M063
SY07-08,WD,24Q071
SY06-07,P,15K015
SY06-07,WD,03M009
SY06-07,P,23K155
SY06-07,WD,05M499
SY 11-12,U,32K296
SY08-09,P,32K347
SY06-07,WD,09X042
SY07-08,O,17K002
SY07-08,P,25Q425
SY10-11,P,07X157
SY09-10,P,16K309
SY07-08,WD,27Q106
SY07-08,P,09X002
SY08-09,P,25Q200
SY06-07,P,08X560
SY07-08,WD,10X442
SY06-07,WD,24Q089
SY06-07,P,32K116
SY07-08,O,14K034
SY07-08,WD,08X182
SY06-07,P,30Q204
SY07-08,P,06M326
SY07-08,WD,10X081
SY07-08,WD,22K234
SY08-09,P,14K558
SY06-07,P,13K020
SY06-07,WD,03M245
SY07-08,WD,05M030
SY05-06,WD,22K152
SY05-06,P,30Q580
SY07-08,WD,13K439
SY06-07,P,23K522
SY09-10,P,15K463
SY05-06,P,14K330
SY06-07,WD,07X179
SY06-07,U,30Q171
SY07-08,WD,08X140
SY06-07,P,19K159
SY06-07,WD,31R024
SY07-08,WD,08X130
SY06-07,WD,20K176
SY08-09,P,17K590
SY06-07,P,04M101
SY06-07,P,09X063
SY08-09,P,19K306
SY09-10,P,07X381
SY07-08,P,18K235
SY07-08,P,25Q540
SY10-11,U,75K396
SY09-10,P,06M366
SY08-09,P,75K371
SY09-10,UPF,17K547
SY07-08,WD,10X095
SY07-08,P,11X253
SY07-08,WD,18K115
SY07-08,P,18K208
SY 11-12,D,17K334
SY07-08,WD,26Q221
SY07-08,P,08X305
SY10-11,U,11X144
SY06-07,P,10X279
SY09-10,P,14K632
SY10-11,P,14K120
SY 11-12,P,17K249
SY07-08,WD,25Q281
SY07-08,WD,75M226
SY09-10,UPF,01M361
SY07-08,WD,14K449
SY07-08,P,07X343
SY 11-12,P,23K284
SY07-08,WD,31R080
SY10-11,D,01M292
SY07-08,P,23K073
SY07-08,WD,28Q040
SY06-07,P,09X073
SY 11-12,D,11X142
SY06-07,WD,20K163
SY05-06,WD,27Q480
SY07-08,WD,22K206
SY08-09,P,08X375
SY09-10,P,27Q226
SY06-07,P,16K028
SY06-07,U,12X251
SY07-08,P,02M234
SY 11-12,P,04M038
SY 11-12,D,75X176
SY07-08,UPF,02M500
SY08-09,P,29Q138
SY 11-12,U,07X655
SY09-10,P,17K167
SY10-11,U,08X650
SY07-08,P,10X660
SY06-07,P,25Q169
SY07-08,WD,22K255
SY06-07,P,13K313
SY08-09,P,10X391
SY07-08,WD,75Q004
SY10-11,P,25Q193
SY06-07,WD,02M003
SY05-06,WD,24Q049
SY06-07,P,04M224
SY06-07,WD,21K239
SY07-08,P,07X473
SY06-07,P,25Q168
SY07-08,P,01M448
SY09-10,WD,28Q620
SY10-11,P,26Q266
SY08-09,UPF,17K334
SY07-08,P,75Q177
SY07-08,WD,30Q149
SY07-08,P,28Q190
SY07-08,WD,15K429
SY07-08,P,06M210
SY10-11,P,31R054
SY08-09,P,29Q268
SY07-08,WD,28Q505
SY06-07,WD,02M001
SY10-11,U,16K393
SY08-09,U,29Q295
SY10-11,D,29Q492
SY07-08,WD,02M212
SY06-07,U,23K645
SY06-07,P,02M308
SY10-11,P,31R055
SY07-08,WD,06M052
SY08-09,WD,10X331
SY06-07,WD,21K216
SY07-08,P,17K354
SY08-09,UPF,15K592
SY06-07,P,30Q148
SY 11-12,P,03M208
SY06-07,P,75M721
SY07-08,WD,04M102
SY10-11,P,02M615
SY10-11,D,32K151
SY10-11,WD,24Q239
SY10-11,D,18K135
SY07-08,P,12X134
SY10-11,WD,31R007
SY08-09,WD,02M416
SY09-10,WD,28Q117
SY08-09,P,22K109
SY09-10,WD,05M092
SY06-07,P,23K041
SY07-08,WD,27Q064
SY07-08,WD,28Q008
SY08-09,P,07X025
SY10-11,D,11X016
SY06-07,P,09X303
SY06-07,U,09X166
SY07-08,WD,75R721
SY06-07,U,09X339
SY06-07,P,08X301
SY07-08,WD,26Q031
SY07-08,P,02M896
SY10-11,P,06M143
SY06-07,P,12X190
SY08-09,P,08X367
SY09-10,P,14K322
SY08-09,P,13K020
SY07-08,WD,75K721
SY08-09,P,05M499
SY06-07,WD,22K361
SY06-07,P,19K166
SY06-07,WD,31R042
SY07-08,WD,02M255
SY10-11,P,05M030
SY06-07,WD,24Q005
SY07-08,P,28Q048
SY06-07,WD,06M319
SY06-07,U,23K184
SY07-08,WD,19K174
SY09-10,P,17K544
SY07-08,WD,06M528
SY07-08,WD,14K561
SY06-07,P,05M469
SY 11-12,P,01M020
SY07-08,WD,02M420
SY10-11,D,31R056
SY07-08,WD,09X325
SY 11-12,D,11X089
SY07-08,WD,15K029
SY07-08,P,23K284
SY07-08,P,10X433
SY07-08,P,02M300
SY06-07,P,16K385
SY06-07,P,32K349
SY 11-12,D,10X080
SY07-08,WD,29Q033
SY07-08,WD,21K239
SY 11-12,D,06M192
SY10-11,P,17K531
SY10-11,D,29Q496
SY06-07,P,15K154
SY07-08,WD,24Q077
SY08-09,P,25Q499
SY07-08,P,32K564
SY 11-12,P,23K392
SY06-07,WD,29Q034
SY08-09,P,17K316
SY07-08,P,15K027
SY07-08,WD,02M167
SY07-08,P,21K620
SY06-07,P,19K190
SY 11-12,D,10X003
SY07-08,WD,23K184
SY08-09,P,19K659
SY06-07,WD,29Q176
SY10-11,P,08X305
SY07-08,WD,07X029
SY09-10,P,12X692
SY10-11,WD,75Q233
SY07-08,P,07X527
SY06-07,WD,06M028
SY07-08,P,10X396
