school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
PSMS 147 RONALD MCNAIR,All Grades,2016,Male,195,298.0,56.0,28.7,87.0,44.6,43.0,22.1,9.0,4.6,52.0,26.7,29Q147
MS 053 BRIAN PICCOLO,8,2016,Female,44,292.0,12.0,27.3,25.0,56.8,6.0,13.6,1.0,2.3,7.0,15.9,27Q053
PS 146 ANN M SHORT,All Grades,2013,Male,109,271.0,78.0,71.6,25.0,22.9,6.0,5.5,0.0,0.0,6.0,5.5,04M146
PS 018 EDWARD BUSH,All Grades,2016,Male,44,286.0,19.0,43.2,21.0,47.7,4.0,9.1,0.0,0.0,4.0,9.1,14K018
PSIS 210  TWENTY FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,4,2014,Male,23,290.0,10.0,43.5,9.0,39.1,2.0,8.7,2.0,8.7,4.0,17.4,06M210
MS K394,3,2014,Male,23,280.0,14.0,60.9,4.0,17.4,5.0,21.7,0.0,0.0,5.0,21.7,17K394
PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,7,2015,Female,43,295.0,16.0,37.2,17.0,39.5,9.0,20.9,1.0,2.3,10.0,23.3,04M108
MILTON FEIN SCHOOL,5,2015,Female,81,307.0,22.0,27.2,31.0,38.3,15.0,18.5,13.0,16.0,28.0,34.6,10X007
MS 324  PATRIA MIRABAL,7,2016,Female,58,301.0,13.0,22.4,29.0,50.0,15.0,25.9,1.0,1.7,16.0,27.6,06M324
PS 192  THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,7,2013,Female,31,291.0,11.0,35.5,10.0,32.3,8.0,25.8,2.0,6.5,10.0,32.3,20K192
PS 199 MAURICE A FITZGERALD,4,2013,Female,103,306.0,21.0,20.4,44.0,42.7,24.0,23.3,14.0,13.6,38.0,36.9,24Q199
PS 191 PAUL ROBESON,5,2016,Male,7,288.0,4.0,57.1,3.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,17K191
NEW DIRECTIONS SECONDARY SCHOOL,6,2015,Female,10,262.0,9.0,90.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,09X350
MUSCOTA,3,2014,Female,23,308.0,5.0,21.7,8.0,34.8,9.0,39.1,1.0,4.3,10.0,43.5,06M314
PS 175 HENRY H GARNET,4,2015,Male,34,275.0,19.0,55.9,14.0,41.2,0.0,0.0,1.0,2.9,1.0,2.9,05M175
IS 125 THOM J MCCANN WOODSIDE,6,2013,Male,182,294.0,56.0,30.8,88.0,48.4,25.0,13.7,13.0,7.1,38.0,20.9,24Q125
JHS 234 ARTHUR W CUNNINGHAM,7,2013,Male,308,312.0,53.0,17.2,102.0,33.1,121.0,39.3,32.0,10.4,153.0,49.7,22K234
THE LEXINGTON ACADEMY,3,2013,Male,29,294.0,13.0,44.8,12.0,41.4,4.0,13.8,0.0,0.0,4.0,13.8,04M072
RED HOOK NEIGHBORHOOD SCHOOL,5,2014,Female,12,281.0,6.0,50.0,5.0,41.7,1.0,8.3,0.0,0.0,1.0,8.3,15K676
PS 203 FLOYD BENNETT SCHOOL,All Grades,2013,Male,199,289.0,85.0,42.7,80.0,40.2,26.0,13.1,8.0,4.0,34.0,17.1,22K203
PS 125 RALPH BUNCHE,4,2015,Female,10,322.0,0.0,0.0,4.0,40.0,4.0,40.0,2.0,20.0,6.0,60.0,05M125
IS 219 NEW VENTURE SCHOOL,All Grades,2013,Male,189,264.0,140.0,74.1,46.0,24.3,2.0,1.1,1.0,0.5,3.0,1.6,09X219
PS 253,4,2014,Male,37,276.0,21.0,56.8,13.0,35.1,3.0,8.1,0.0,0.0,3.0,8.1,27Q253
PS 019 JUDITH K WEISS,6,2016,Male,25,288.0,8.0,32.0,14.0,56.0,1.0,4.0,2.0,8.0,3.0,12.0,11X019
PS 146 EDWARD COLLINS,All Grades,2015,Female,78,292.0,29.0,37.2,34.0,43.6,15.0,19.2,0.0,0.0,15.0,19.2,08X146
IS 093 RIDGEWOOD,6,2015,Male,183,291.0,64.0,35.0,86.0,47.0,22.0,12.0,11.0,6.0,33.0,18.0,24Q093
PS 147 ISAAC REMSEN,5,2013,Male,15,287.0,8.0,53.3,7.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,14K147
PS 079 FRANCIS LEWIS,4,2015,Female,76,317.0,11.0,14.5,29.0,38.2,13.0,17.1,23.0,30.3,36.0,47.4,25Q079
PS 160 WALTER FRANCIS BISHOP,4,2016,Male,53,300.0,14.0,26.4,26.0,49.1,9.0,17.0,4.0,7.5,13.0,24.5,28Q160
PS 156 WAVERLY,4,2013,Male,55,294.0,22.0,40.0,17.0,30.9,14.0,25.5,2.0,3.6,16.0,29.1,23K156
IS 007 ELIAS BERNSTEIN,8,2017,Male,176,317.0,28.0,15.9,46.0,26.1,67.0,38.1,35.0,19.9,102.0,58.0,31R007
PS 307 DANIEL HALE WILLIAMS,3,2015,Female,30,278.0,18.0,60.0,11.0,36.7,1.0,3.3,0.0,0.0,1.0,3.3,13K307
PS 183 DR RICHARD R GREEN,8,2013,Female,24,280.0,13.0,54.2,8.0,33.3,2.0,8.3,1.0,4.2,3.0,12.5,27Q183
PS 004 MAURICE WOLLIN,All Grades,2015,Female,180,313.0,30.0,16.7,73.0,40.6,52.0,28.9,25.0,13.9,77.0,42.8,31R004
PS 042 CLAREMONT,5,2017,Female,31,292.0,11.0,35.5,12.0,38.7,7.0,22.6,1.0,3.2,8.0,25.8,09X042
COMMUNITY MATH & SCIENCE PREP,7,2014,Female,39,278.0,24.0,61.5,13.0,33.3,2.0,5.1,0.0,0.0,2.0,5.1,06M328
PS 019 JUDITH K WEISS,5,2015,Female,24,322.0,3.0,12.5,8.0,33.3,5.0,20.8,8.0,33.3,13.0,54.2,11X019
MS 442 CARROLL GARDENS SCHOOL FOR INNOVATION,7,2014,Female,23,285.0,10.0,43.5,10.0,43.5,3.0,13.0,0.0,0.0,3.0,13.0,15K442
PS 203 OAKLAND GARDENS,5,2014,Female,67,339.0,1.0,1.5,13.0,19.4,21.0,31.3,32.0,47.8,53.0,79.1,26Q203
PS 108 PHILIP J ABINANTI,5,2013,Female,57,316.0,5.0,8.8,25.0,43.9,22.0,38.6,5.0,8.8,27.0,47.4,11X108
PS IS 384 FRANCES E CARTER,8,2013,Female,30,297.0,10.0,33.3,11.0,36.7,9.0,30.0,0.0,0.0,9.0,30.0,32K384
PS 013 CLEMENT C MOORE,3,2014,Female,123,309.0,28.0,22.8,46.0,37.4,42.0,34.1,7.0,5.7,49.0,39.8,24Q013
URBAN SCHOLARS COMMUNITY SCHOOL,4,2016,Male,14,285.0,6.0,42.9,7.0,50.0,0.0,0.0,1.0,7.1,1.0,7.1,12X463
PS 232 LINDENWOOD,All Grades,2014,Female,328,319.0,45.0,13.7,108.0,32.9,114.0,34.8,61.0,18.6,175.0,53.4,27Q232
PS 100 THE CONEY ISLAND SCHOOL,4,2016,Male,36,326.0,4.0,11.1,4.0,11.1,17.0,47.2,11.0,30.6,28.0,77.8,21K100
PS 226 ALFRED DE BMASON,7,2015,Male,35,297.0,10.0,28.6,15.0,42.9,10.0,28.6,0.0,0.0,10.0,28.6,21K226
PS 183 ROBERT L STEVENSON,3,2016,Male,40,327.0,4.0,10.0,11.0,27.5,19.0,47.5,6.0,15.0,25.0,62.5,02M183
PS 232 LINDENWOOD,7,2016,Male,51,311.0,11.0,21.6,14.0,27.5,20.0,39.2,6.0,11.8,26.0,51.0,27Q232
PS 112 DUTCH KILLS,3,2016,Female,41,305.0,10.0,24.4,18.0,43.9,13.0,31.7,0.0,0.0,13.0,31.7,30Q112
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,7,2013,Male,52,315.0,6.0,11.5,24.0,46.2,16.0,30.8,6.0,11.5,22.0,42.3,15K443
IS 318 EUGENIO MARIA DE HOSTOS,All Grades,2015,Male,754,295.0,253.0,33.6,300.0,39.8,157.0,20.8,44.0,5.8,201.0,26.7,14K318
PS 005 ELLEN LURIE,All Grades,2013,Male,184,274.0,117.0,63.6,52.0,28.3,14.0,7.6,1.0,0.5,15.0,8.2,06M005
PS 039 HENRY BRISTOW,All Grades,2013,Male,77,322.0,11.0,14.3,15.0,19.5,37.0,48.1,14.0,18.2,51.0,66.2,15K039
PS 291,4,2017,Female,61,312.0,11.0,18.0,19.0,31.1,20.0,32.8,11.0,18.0,31.0,50.8,10X291
MS M245 THE COMPUTER SCHOOL,8,2013,Female,74,321.0,6.0,8.1,21.0,28.4,35.0,47.3,12.0,16.2,47.0,63.5,03M245
PS 053 BASHEER QUISIM,5,2016,Female,82,312.0,25.0,30.5,19.0,23.2,21.0,25.6,17.0,20.7,38.0,46.3,09X053
YOUNG WOMEN S LEADERSHIP SCHOOL OF THE BRONX,7,2015,Female,80,305.0,9.0,11.3,50.0,62.5,17.0,21.3,4.0,5.0,21.0,26.3,09X568
PS 130 ABRAM STEVENS HEWITT,3,2017,Male,45,271.0,33.0,73.3,9.0,20.0,3.0,6.7,0.0,0.0,3.0,6.7,08X130
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2016,Female,123,296.0,38.0,30.9,58.0,47.2,22.0,17.9,5.0,4.1,27.0,22.0,09X241
PS 054 CHARLES W LENG,4,2013,Female,78,310.0,15.0,19.2,29.0,37.2,24.0,30.8,10.0,12.8,34.0,43.6,31R054
IS 218 SALOME URENA,8,2017,Female,46,304.0,7.0,15.2,26.0,56.5,7.0,15.2,6.0,13.0,13.0,28.3,06M218
PS 145 ANDREW JACKSON,4,2015,Male,52,278.0,30.0,57.7,14.0,26.9,6.0,11.5,2.0,3.8,8.0,15.4,32K145
JHS 202 ROBERT H GODDARD,7,2015,Female,158,302.0,46.0,29.1,52.0,32.9,50.0,31.6,10.0,6.3,60.0,38.0,27Q202
PS 099 KEW GARDENS,4,2017,Male,64,302.0,18.0,28.1,23.0,35.9,15.0,23.4,8.0,12.5,23.0,35.9,28Q099
JHS 383 PHILIPPA SCHUYLER,5,2016,Female,21,327.0,2.0,9.5,4.0,19.0,10.0,47.6,5.0,23.8,15.0,71.4,32K383
PS 120 QUEENS,5,2016,Female,73,307.0,16.0,21.9,27.0,37.0,21.0,28.8,9.0,12.3,30.0,41.1,25Q120
PS 101 THE VERRAZANO,5,2016,Female,71,320.0,15.0,21.1,12.0,16.9,26.0,36.6,18.0,25.4,44.0,62.0,21K101
PS 209 MARGARET MEAD,5,2016,Male,38,291.0,15.0,39.5,11.0,28.9,7.0,18.4,5.0,13.2,12.0,31.6,21K209
PS 184 FLUSHING MANOR,5,2015,Male,36,315.0,4.0,11.1,17.0,47.2,8.0,22.2,7.0,19.4,15.0,41.7,25Q184
NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,8,2014,Male,65,350.0,0.0,0.0,4.0,6.2,18.0,27.7,43.0,66.2,61.0,93.8,01M539
RED HOOK NEIGHBORHOOD SCHOOL,5,2016,Female,9,291.0,5.0,55.6,2.0,22.2,2.0,22.2,0.0,0.0,2.0,22.2,15K676
PS 021 CRISPUS ATTUCKS,5,2015,Male,36,287.0,16.0,44.4,18.0,50.0,1.0,2.8,1.0,2.8,2.0,5.6,16K021
LINDEN TREE ELEMENTARY SCHOOL,All Grades,2017,Male,46,296.0,16.0,34.8,17.0,37.0,10.0,21.7,3.0,6.5,13.0,28.3,11X567
JHS 008 RICHARD S GROSSLEY,7,2015,Female,53,270.0,37.0,69.8,13.0,24.5,3.0,5.7,0.0,0.0,3.0,5.7,28Q008
PS 399 STANLEY EUGENE CLARK,4,2016,Male,44,302.0,11.0,25.0,20.0,45.5,10.0,22.7,3.0,6.8,13.0,29.5,17K399
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,6,2015,Female,70,313.0,7.0,10.0,30.0,42.9,18.0,25.7,15.0,21.4,33.0,47.1,28Q167
JHS 190 RUSSELL SAGE,All Grades,2016,Female,444,321.0,49.0,11.0,130.0,29.3,144.0,32.4,121.0,27.3,265.0,59.7,28Q190
PS 211,6,2015,Male,21,282.0,11.0,52.4,6.0,28.6,4.0,19.0,0.0,0.0,4.0,19.0,12X211
CHANNEL VIEW SCHOOL FOR RESEARCH,8,2017,Male,40,298.0,12.0,30.0,17.0,42.5,9.0,22.5,2.0,5.0,11.0,27.5,27Q262
IS 339,7,2014,Female,85,274.0,59.0,69.4,23.0,27.1,3.0,3.5,0.0,0.0,3.0,3.5,09X339
PSMS 20 POGEORGE J WERDANN III,5,2013,Male,61,291.0,26.0,42.6,22.0,36.1,11.0,18.0,2.0,3.3,13.0,21.3,10X020
IS 059 SPRINGFIELD GARDENS,All Grades,2017,Female,258,304.0,52.0,20.2,118.0,45.7,63.0,24.4,25.0,9.7,88.0,34.1,29Q059
CHOLARS  ACADEMY,8,2016,Female,127,350.0,2.0,1.6,2.0,1.6,33.0,26.0,90.0,70.9,123.0,96.9,27Q323
LUCERO ELEMENTARY SCHOOL,4,2017,Male,27,284.0,14.0,51.9,9.0,33.3,2.0,7.4,2.0,7.4,4.0,14.8,09X311
THE HIGHBRIDGE GREEN SCHOOL,All Grades,2016,Female,183,297.0,46.0,25.1,96.0,52.5,32.0,17.5,9.0,4.9,41.0,22.4,09X361
MS M247 DUAL LANGUAGE MIDDLE SCHOOL,7,2014,Male,27,300.0,5.0,18.5,18.0,66.7,4.0,14.8,0.0,0.0,4.0,14.8,03M247
EAST FORDHAM ACADEMY FOR THE ARTS,7,2015,Male,53,269.0,37.0,69.8,16.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,10X459
PS 032 SAMUEL MILLS SPROLE,5,2013,Female,17,285.0,8.0,47.1,8.0,47.1,0.0,0.0,1.0,5.9,1.0,5.9,15K032
PS 020 PORT RICHMOND,5,2017,Female,32,298.0,10.0,31.3,15.0,46.9,5.0,15.6,2.0,6.3,7.0,21.9,31R020
PS 021 EDWARD HART,3,2013,Female,97,317.0,14.0,14.4,37.0,38.1,37.0,38.1,9.0,9.3,46.0,47.4,25Q021
PS 050 TALFOURD LAWN ELEMENTARY SCHOOL,4,2014,Female,50,309.0,10.0,20.0,17.0,34.0,18.0,36.0,5.0,10.0,23.0,46.0,28Q050
PS 253,All Grades,2013,Female,109,287.0,54.0,49.5,37.0,33.9,16.0,14.7,2.0,1.8,18.0,16.5,27Q253
ACCION ACADEMY,7,2016,Female,18,295.0,7.0,38.9,9.0,50.0,1.0,5.6,1.0,5.6,2.0,11.1,12X341
PS 214 MICHAEL FRIEDSAM,4,2017,Female,59,300.0,17.0,28.8,25.0,42.4,12.0,20.3,5.0,8.5,17.0,28.8,19K214
PS 054 SAMUEL C BARNES,5,2016,Male,14,284.0,8.0,57.1,5.0,35.7,1.0,7.1,0.0,0.0,1.0,7.1,13K054
URBAN INSTITUTE OF MATHEMATICS,7,2015,Female,47,311.0,8.0,17.0,15.0,31.9,21.0,44.7,3.0,6.4,24.0,51.1,08X371
ELIJAH STROUD MIDDLE SCHOOL,8,2013,Female,20,276.0,11.0,55.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,17K353
PS 178 SAINT CLAIR MCKELWAY,4,2013,Male,24,285.0,9.0,37.5,12.0,50.0,2.0,8.3,1.0,4.2,3.0,12.5,23K178
RIVERDALE AVENUE COMMUNITY SCHOOL,3,2014,Male,9,,,,,,,,,,,,23K446
PS 399 STANLEY EUGENE CLARK,5,2014,Female,35,307.0,7.0,20.0,17.0,48.6,7.0,20.0,4.0,11.4,11.0,31.4,17K399
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,6,2014,Female,54,291.0,18.0,33.3,27.0,50.0,9.0,16.7,0.0,0.0,9.0,16.7,08X337
IS 145 JOSEPH PULITZER,6,2017,Male,293,287.0,125.0,42.7,110.0,37.5,35.0,11.9,23.0,7.8,58.0,19.8,30Q145
BRONX GREEN MIDDLE SCHOOL,6,2015,Male,58,276.0,33.0,56.9,23.0,39.7,1.0,1.7,1.0,1.7,2.0,3.4,11X326
MS 51 WILLIAM ALEXANDER,6,2016,Female,205,338.0,12.0,5.9,15.0,7.3,64.0,31.2,114.0,55.6,178.0,86.8,15K051
PS 164 QUEENS VALLEY,4,2015,Male,37,325.0,4.0,10.8,11.0,29.7,9.0,24.3,13.0,35.1,22.0,59.5,25Q164
PS 065 MOTHER HALE ACADEMY,4,2013,Male,35,252.0,29.0,82.9,4.0,11.4,2.0,5.7,0.0,0.0,2.0,5.7,07X065
IS R002 GEORGE L EGBERT,7,2016,Female,140,318.0,18.0,12.9,45.0,32.1,53.0,37.9,24.0,17.1,77.0,55.0,31R002
PS 39 FRANCIS J MURPHY JR,All Grades,2015,Male,131,294.0,48.0,36.6,53.0,40.5,23.0,17.6,7.0,5.3,30.0,22.9,31R039
PS 017 HENRY D WOODWORTH,All Grades,2015,Female,82,303.0,26.0,31.7,27.0,32.9,19.0,23.2,10.0,12.2,29.0,35.4,14K017
PS 11 THOMAS DONGAN SCHOOL,All Grades,2015,Male,57,283.0,26.0,45.6,19.0,33.3,11.0,19.3,1.0,1.8,12.0,21.1,31R011
CHOOL FOR ENVIRONMENTAL CITIZENSHIP,All Grades,2015,Male,92,272.0,59.0,64.1,25.0,27.2,8.0,8.7,0.0,0.0,8.0,8.7,10X386
MS 319  MARIA TERESA,All Grades,2016,Male,217,283.0,107.0,49.3,65.0,30.0,30.0,13.8,15.0,6.9,45.0,20.7,06M319
PS 130 THE PARKSIDE,4,2015,Female,44,312.0,6.0,13.6,21.0,47.7,10.0,22.7,7.0,15.9,17.0,38.6,15K130
PS 046 ALLEY POND,All Grades,2013,Male,141,317.0,28.0,19.9,36.0,25.5,48.0,34.0,29.0,20.6,77.0,54.6,26Q046
PS 100 THE CONEY ISLAND SCHOOL,5,2015,Male,53,312.0,9.0,17.0,16.0,30.2,27.0,50.9,1.0,1.9,28.0,52.8,21K100
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,8,2014,Male,147,291.0,46.0,31.3,74.0,50.3,26.0,17.7,1.0,0.7,27.0,18.4,10X244
PS 094 THE HENRY LONGFELLOW,5,2013,Male,101,282.0,58.0,57.4,25.0,24.8,15.0,14.9,3.0,3.0,18.0,17.8,15K094
PS 175 THE LYNN GROSS DISCOVERY SCHOOL,4,2017,Male,48,322.0,7.0,14.6,11.0,22.9,17.0,35.4,13.0,27.1,30.0,62.5,28Q175
PS 160 WALTER FRANCIS BISHOP,All Grades,2016,Female,140,305.0,30.0,21.4,67.0,47.9,33.0,23.6,10.0,7.1,43.0,30.7,28Q160
CHANNEL VIEW SCHOOL FOR RESEARCH,6,2016,Male,42,297.0,10.0,23.8,25.0,59.5,5.0,11.9,2.0,4.8,7.0,16.7,27Q262
PSIS 266,All Grades,2017,Female,186,329.0,9.0,4.8,41.0,22.0,87.0,46.8,49.0,26.3,136.0,73.1,26Q266
PS 171 PATRICK HENRY,3,2015,Female,34,315.0,6.0,17.6,11.0,32.4,13.0,38.2,4.0,11.8,17.0,50.0,04M171
PS 018 JOHN G WHITTIER,3,2015,Male,48,275.0,35.0,72.9,10.0,20.8,3.0,6.3,0.0,0.0,3.0,6.3,31R018
EAST SIDE MIDDLE SCHOOL,7,2015,Female,71,340.0,0.0,0.0,5.0,7.0,41.0,57.7,25.0,35.2,66.0,93.0,02M114
PS K315,4,2017,Male,48,301.0,12.0,25.0,22.0,45.8,9.0,18.8,5.0,10.4,14.0,29.2,22K315
PS 209 CLEARVIEW GARDENS,All Grades,2015,Female,155,326.0,14.0,9.0,43.0,27.7,59.0,38.1,39.0,25.2,98.0,63.2,25Q209
PS 026 JESSE OWENS,All Grades,2016,Male,39,293.0,13.0,33.3,19.0,48.7,6.0,15.4,1.0,2.6,7.0,17.9,16K026
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,8,2016,Female,82,313.0,9.0,11.0,32.0,39.0,31.0,37.8,10.0,12.2,41.0,50.0,18K366
THE BRONX SCHOOL OF YOUNG LEADERS,6,2014,Female,56,275.0,28.0,50.0,27.0,48.2,1.0,1.8,0.0,0.0,1.0,1.8,10X331
PS 123 SUYDAM,5,2013,Male,70,280.0,40.0,57.1,26.0,37.1,2.0,2.9,2.0,2.9,4.0,5.7,32K123
JONAS BRONCK ACADEMY,8,2016,Male,34,314.0,3.0,8.8,14.0,41.2,14.0,41.2,3.0,8.8,17.0,50.0,10X228
PS 169 SUNSET PARK,All Grades,2016,Female,398,302.0,116.0,29.1,145.0,36.4,110.0,27.6,27.0,6.8,137.0,34.4,15K169
THE HUNTS POINT SCHOOL,8,2014,Male,64,271.0,39.0,60.9,23.0,35.9,2.0,3.1,0.0,0.0,2.0,3.1,08X424
PS 133 WILLIAM A BUTLER,4,2014,Female,11,300.0,3.0,27.3,6.0,54.5,1.0,9.1,1.0,9.1,2.0,18.2,13K133
PS 035 FRANZ SIEGEL,All Grades,2016,Female,161,306.0,37.0,23.0,66.0,41.0,50.0,31.1,8.0,5.0,58.0,36.0,09X035
PS 181 BROOKFIELD,3,2017,Female,21,322.0,5.0,23.8,4.0,19.0,9.0,42.9,3.0,14.3,12.0,57.1,29Q181
PS 243K THE WEEKSVILLE SCHOOL,3,2015,Female,24,290.0,14.0,58.3,6.0,25.0,4.0,16.7,0.0,0.0,4.0,16.7,16K243
PS 177 THE MARLBORO,All Grades,2017,Female,224,310.0,63.0,28.1,61.0,27.2,65.0,29.0,35.0,15.6,100.0,44.6,21K177
PS 001 ALFRED E SMITH,All Grades,2014,Male,115,294.0,46.0,40.0,34.0,29.6,23.0,20.0,12.0,10.4,35.0,30.4,02M001
PS 058,All Grades,2014,Male,99,269.0,67.0,67.7,25.0,25.3,7.0,7.1,0.0,0.0,7.0,7.1,09X058
IS 072 ROCCO LAURIE,8,2015,Male,201,304.0,34.0,16.9,87.0,43.3,60.0,29.9,20.0,10.0,80.0,39.8,31R072
PS 092 HARRY T STEWART SR,All Grades,2015,Male,188,281.0,105.0,55.9,60.0,31.9,21.0,11.2,2.0,1.1,23.0,12.2,30Q092
PS 054 CHARLES W LENG,All Grades,2014,Female,191,316.0,31.0,16.2,69.0,36.1,62.0,32.5,29.0,15.2,91.0,47.6,31R054
PS 163 ARTHUR A SCHOMBURG,4,2015,Female,61,291.0,16.0,26.2,34.0,55.7,8.0,13.1,3.0,4.9,11.0,18.0,09X163
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,7,2013,Male,59,278.0,39.0,66.1,14.0,23.7,6.0,10.2,0.0,0.0,6.0,10.2,18K588
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,6,2016,Male,17,274.0,8.0,47.1,7.0,41.2,1.0,5.9,1.0,5.9,2.0,11.8,18K598
PS 197 JOHN B RUSSWURM,4,2014,Female,28,282.0,17.0,60.7,6.0,21.4,4.0,14.3,1.0,3.6,5.0,17.9,05M197
ALL CITY LEADERSHIP SECONDARY SCHOOL,All Grades,2017,Female,109,343.0,0.0,0.0,6.0,5.5,39.0,35.8,64.0,58.7,103.0,94.5,32K554
PAULA HEDBAVNY SCHOOL,All Grades,2017,Male,158,313.0,23.0,14.6,65.0,41.1,46.0,29.1,24.0,15.2,70.0,44.3,06M278
PS 109,5,2017,Female,28,292.0,13.0,46.4,6.0,21.4,6.0,21.4,3.0,10.7,9.0,32.1,22K109
BRONX LATIN,7,2017,Male,47,291.0,21.0,44.7,20.0,42.6,3.0,6.4,3.0,6.4,6.0,12.8,12X267
PS 188 MICHAEL E BERDY,5,2017,Male,31,302.0,11.0,35.5,12.0,38.7,4.0,12.9,4.0,12.9,8.0,25.8,21K188
PS 242  THE YOUNG DIPLOMATS MAGNET ACADEMY,4,2013,Male,16,283.0,9.0,56.3,5.0,31.3,1.0,6.3,1.0,6.3,2.0,12.5,03M242
TAG YOUNG SCHOLARS,All Grades,2016,Male,183,350.0,0.0,0.0,13.0,7.1,58.0,31.7,112.0,61.2,170.0,92.9,04M012
IS 059 SPRINGFIELD GARDENS,8,2017,Female,82,302.0,13.0,15.9,44.0,53.7,22.0,26.8,3.0,3.7,25.0,30.5,29Q059
MOTT HALL II,All Grades,2015,Female,174,324.0,6.0,3.4,50.0,28.7,84.0,48.3,34.0,19.5,118.0,67.8,03M862
PS 132 JUAN PABLO DUARTE,5,2013,Male,49,270.0,38.0,77.6,10.0,20.4,1.0,2.0,0.0,0.0,1.0,2.0,06M132
FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,7,2016,Male,49,281.0,28.0,57.1,16.0,32.7,4.0,8.2,1.0,2.0,5.0,10.2,12X273
PS 171 PETER G VAN ALST,3,2013,Male,45,293.0,17.0,37.8,20.0,44.4,8.0,17.8,0.0,0.0,8.0,17.8,30Q171
PS 235 JANICE MARIE KNIGHT SCHOOL,7,2017,Female,54,346.0,1.0,1.9,1.0,1.9,23.0,42.6,29.0,53.7,52.0,96.3,18K235
PS 059 WILLIAM FLOYD,5,2014,Male,22,273.0,16.0,72.7,2.0,9.1,3.0,13.6,1.0,4.5,4.0,18.2,14K059
QUEST TO LEARN,7,2013,Male,47,305.0,14.0,29.8,20.0,42.6,8.0,17.0,5.0,10.6,13.0,27.7,02M422
PS 238 ANNE SULLIVAN,All Grades,2013,Male,142,285.0,71.0,50.0,54.0,38.0,17.0,12.0,0.0,0.0,17.0,12.0,21K238
PS 055 HENRY M BOEHM,4,2015,Male,41,305.0,5.0,12.2,22.0,53.7,12.0,29.3,2.0,4.9,14.0,34.1,31R055
HAWTREE CREEK MIDDLE SCHOOL,8,2016,Female,44,306.0,4.0,9.1,21.0,47.7,18.0,40.9,1.0,2.3,19.0,43.2,27Q297
JHS 008 RICHARD S GROSSLEY,7,2013,Male,107,281.0,59.0,55.1,38.0,35.5,10.0,9.3,0.0,0.0,10.0,9.3,28Q008
PS 171 PATRICK HENRY,6,2015,Male,39,315.0,3.0,7.7,18.0,46.2,11.0,28.2,7.0,17.9,18.0,46.2,04M171
PS 268 EMMA LAZARUS,5,2014,Female,31,300.0,10.0,32.3,13.0,41.9,7.0,22.6,1.0,3.2,8.0,25.8,18K268
PSIS 087 MIDDLE VILLAGE,3,2017,Female,22,336.0,0.0,0.0,7.0,31.8,9.0,40.9,6.0,27.3,15.0,68.2,24Q087
PS 132 RALPH BUNCHE,3,2017,Male,18,305.0,4.0,22.2,7.0,38.9,7.0,38.9,0.0,0.0,7.0,38.9,29Q132
PS 198 ISADOR E IDA STRAUS,3,2014,Male,53,305.0,17.0,32.1,12.0,22.6,21.0,39.6,3.0,5.7,24.0,45.3,02M198
PS 058 THE CARROLL,All Grades,2016,Male,182,331.0,12.0,6.6,36.0,19.8,81.0,44.5,53.0,29.1,134.0,73.6,15K058
BATTERY PARK CITY SCHOOL,3,2013,Female,41,336.0,2.0,4.9,5.0,12.2,29.0,70.7,5.0,12.2,34.0,82.9,02M276
PS 111 JACOB BLACKWELL,6,2013,Male,29,278.0,17.0,58.6,10.0,34.5,2.0,6.9,0.0,0.0,2.0,6.9,30Q111
PS 051 BRONX NEW SCHOOL,All Grades,2016,Male,38,297.0,15.0,39.5,13.0,34.2,7.0,18.4,3.0,7.9,10.0,26.3,10X051
PS 249 THE CATON,4,2016,Female,65,329.0,1.0,1.5,13.0,20.0,35.0,53.8,16.0,24.6,51.0,78.5,17K249
BROOKLYN ARBOR ELEMENTARY SCHOOL,3,2014,Female,37,284.0,19.0,51.4,11.0,29.7,7.0,18.9,0.0,0.0,7.0,18.9,14K414
