school/base.School Name,school/base.School Type,school/base.Total Parent Response Rate (%),school/base.Total Teacher Response Rate (%),school/base.Total Student Response Rate (%),school/base.class,DBN
The Urban Assembly School for the Urban Environment,MS,21,89,61.0,False,14K330
P.S. 091 Bronx,ES,87,73,,True,10X091
P.S. 184m Shuang Wen,ES/MS,65,68,100.0,True,01M184
MOTT HALL COMMUNITY SCHOOL,MS,49,86,97.0,True,08X467
Middle School 322,MS,100,95,95.0,False,06M322
Expeditionary Learning School for Community Leaders,HS,50,95,84.0,False,21K572
P.S. 021 Edward Hart,ES,100,100,,False,25Q021
P.S. 054 Samuel C. Barnes,ES,39,96,,False,13K054
I.S. 230,MS,76,87,95.0,True,30Q230
Achievement First Apollo Charter School,ECC,40,93,,False,84K774
P.S. 046 Edward C. Blum,ES,86,97,,False,13K046
P.S. 091 The Albany Avenue School,ES,80,98,,True,17K091
P.S. 199 Jessie Isador Straus,ES,37,34,,False,03M199
Clara Barton High School,HS,13,85,81.0,True,17K600
Excelsior Preparatory High School,HS,23,96,89.0,True,29Q265
P.S. 004 Duke Ellington,ES,32,85,,False,06M004
Mott Haven Village Preparatory High School,HS,31,100,84.0,True,07X473
Bedford Stuyvesant New Beginnings Charter School,ES,67,80,,False,84K782
P.S. 153 Homecrest,ES,100,93,,False,21K153
P.S. 246 Poe Center,ES,47,82,,False,10X246
P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,ECC,100,100,,False,20K264
Young Women's Leadership School of Brooklyn,MS/HS,73,100,91.0,False,14K614
Bushwick School for Social Justice,HS,49,91,84.0,False,32K549
Brooklyn Preparatory High School,HS,27,85,71.0,True,14K488
P.S. 162 John Golden,ES,71,83,,False,26Q162
P.S. 163 Flushing Heights,ES,75,89,,False,25Q163
KIPP STAR College Prep Charter School,ES/MS,48,65,81.0,False,84M726
Girls Preparatory Charter School of the Bronx,ES,82,92,,False,84X487
P.S. 291,ES,100,95,,False,10X291
University Neighborhood High School,HS,26,86,79.0,True,01M448
P.S. 075,ES,77,96,,True,08X075
Evergreen Middle School for Urban Exploration,MS,40,100,89.0,True,32K562
Bronx Leadership Academy II High School,HS,26,69,60.0,True,07X527
P.S. 170,ECC,98,96,,False,09X170
High School for Violin and Dance,HS,44,96,67.0,True,09X543
Manhattan Center for Science and Mathematics,HS,43,91,90.0,True,04M435
P.S. 235 Lenox School,ES/MS,32,39,97.0,False,18K235
Flushing High School,HS,18,68,69.0,True,25Q460
I.S. 204 Oliver W. Holmes,MS,60,100,97.0,True,30Q204
J.H.S. 227 Edward B. Shallow,MS,45,95,93.0,True,20K227
Bronx Preparatory Charter School,MS/HS,51,90,84.0,True,84X703
N.Y.C. Lab School for Collaborative Studies,HS,33,68,91.0,False,02M412
P.S. 205 Clarion,ES,84,80,,True,20K205
J.H.S. 014 Shell Bank,MS,22,85,93.0,True,22K014
P.S. 251 Paerdegat,ES,31,78,,True,22K251
Preparatory Academy for Writers: A College Board School,MS/HS,7,87,75.0,False,29Q283
P.S. 133 William A. Butler,ES,77,93,,False,13K133
P.S. Q255,D75,50,66,67.0,False,75Q255
P.S. 164 Caesar Rodney,ES,100,100,,False,20K164
P.S. 163 Alfred E. Smith,ES,38,82,,False,03M163
P.S. K315,ES,59,98,,False,22K315
P.S. 045 Horace E. Greene,ES/MS,79,93,100.0,False,32K045
Icahn Charter School,ES/MS,77,100,100.0,False,84X717
P.S. 146,ES,58,100,,False,15K146
P.S. 112 Bronxwood,ES,57,100,,False,11X112
Satellite East Middle School,MS,64,100,92.0,True,13K301
PS/MS 200 - The Pomonok School & STAR Academy,ES/MS,38,80,94.0,True,25Q200
I.S. 027 Anning S. Prall,MS,56,100,98.0,True,31R027
Francis Lewis High School,HS,26,76,84.0,False,26Q430
P.S. X037 - Multiple Intelligence School,ES/MS,46,98,96.0,False,10X037
High School for Energy and Technology,HS,70,100,95.0,False,10X565
P.S. 014 Fairview,ES,22,59,,False,24Q014
P.S./I.S. 323,ES/MS,81,97,98.0,False,23K323
New Voices School of Academic & Creative Arts,MS,48,79,95.0,False,15K443
"The Marie Curie School for Medicine, Nursing, and Health Professions",HS,14,88,66.0,True,10X237
P.S. 061 Francisco Oller,ES,41,63,,False,12X061
P.S. 078,ES,51,67,,False,30Q078
ROADS Charter School II,HS,13,100,39.0,False,84X200
I.S. 73 - The Frank Sansivieri Intermediate School,MS,59,59,95.0,True,24Q073
Magnet School for Science & Technology,ES,56,94,,False,15K154
Urban Assembly Gateway School for Technology,HS,40,100,92.0,False,02M507
P.S. 110 The Monitor,ES,93,100,,False,14K110
P.S. 197 - The Kings Highway Academy,ES,72,91,,False,22K197
P.S. 308 Clara Cardwell,ES/MS,37,95,98.0,True,16K308
PS 527 - East Side School for Social Action,ECC,95,100,,False,02M527
Frederick Douglass Academy V. Middle School,MS,78,100,97.0,False,12X273
Bronx Academy of Promise Charter School,ES,76,100,98.0,False,84X419
P.S. 067 Mohegan School,ES,47,55,,True,12X067
P.S. 152 Evergreen,ES,19,58,,False,08X152
J.H.S. 143 Eleanor Roosevelt,MS,86,95,98.0,True,06M143
East Bronx Academy for the Future,MS/HS,15,51,49.0,True,12X271
EAST BROOKLYN COMMUNITY HIGH SCHOOL,HST,40,82,65.0,False,18K673
P.S. 028 The Warren Prep Academy,ES,65,91,,True,16K028
Middle School for Academic and Social Excellence,MS,14,88,90.0,True,17K334
P.S. 111 Adolph S. Ochs,ES/MS,22,33,93.0,True,02M111
New Dorp High School,HS,30,99,86.0,True,31R440
P.S. 105 The Blythebourne,ES,100,92,,False,20K105
P.S. 399 Stanley Eugene Clark,ES,35,76,,False,17K399
"Magnet School of Math, Science and Design Technology",ES,51,78,,False,15K010
The Active Learning Elementary School,ECC,73,100,,False,25Q244
Bronx Charter School for the Arts,ES,37,58,,False,84X730
The STAR Academy – P.S.63,ES,70,100,,False,01M063
The Christa McAuliffe School\I.S. 187,MS,64,81,100.0,False,20K187
P.S. 106 Edward Everett Hale,ES,61,78,,False,32K106
J.H.S. 052 Inwood,MS,63,78,98.0,False,06M052
Success Academy Charter School - Harlem 5,ECC,38,79,,False,84M482
Hellenic Classical Charter School,ES/MS,75,100,99.0,False,84K362
"Urban Assembly Academy for History and Citizenship for Young Men, The",HS,25,67,72.0,False,09X239
P.S. 186 Dr. Irving A Gladstone,ES,95,97,,True,20K186
School of Science & Technology,ES,60,86,,False,22K152
Upper School @ P.S. 25,MS,40,90,90.0,True,16K534
P.S. Q224,D75,65,89,94.0,False,75Q224
P.S. 001 Courtlandt School,ES,85,89,,False,07X001
P.S. 052 Queens,ES,48,95,,False,29Q052
J.H.S. 151 Lou Gehrig,MS,55,100,94.0,True,07X151
P.S. 084 Lillian Weber,ES,55,78,,False,03M084
P.S. 068 Cambridge,ES,68,90,,False,24Q068
P.S. 201 The Discovery School for Inquiry and Research,ES,40,98,,True,25Q201
P.S. 097 Bronx,ES,49,71,,False,11X097
P.S. 126 Jacob August Riis,ES/MS,45,85,96.0,False,02M126
P.S. 034 John Harvard,ES,25,84,,True,29Q034
Benjamin Banneker Academy,HS,23,67,82.0,True,13K670
"School of Business, Finance and Entrepreneurship",MS,86,88,96.0,True,16K385
P.S. 178 Saint Clair Mckelway,ES/MS,83,83,89.0,True,23K178
P.S. 199 Maurice A. Fitzgerald,ES,81,99,,False,24Q199
"Bronx School for Law, Government and Justice",MS/HS,44,91,87.0,True,09X505
Franklin K. Lane Campus YABC,YABC,65,69,79.0,False,19K501
Performance Conservatory High School,HS,61,100,86.0,True,12X262
Banana Kelly High School,HS,60,65,82.0,True,08X530
Jonas Bronck Academy,MS,69,81,96.0,False,10X228
South Bronx Preparatory: A College Board School,MS/HS,69,80,97.0,True,07X221
Neighborhood School,ES,62,96,,False,01M363
P.S. 008 Robert Fulton,ES,53,57,96.0,True,13K008
P.S. 011 William T. Harris,ES,55,89,,False,02M011
P.S. 66,ES/MS,44,94,96.0,True,18K066
P.S. 243K- The Weeksville School,ES,28,88,,True,16K243
Queens Transition Center,D75,27,58,82.0,True,75Q752
Jane Addams High School for Academic Careers,HS,6,58,60.0,True,08X650
Brooklyn Generation School,HS,32,100,86.0,True,18K566
School for Environmental Citizenship,ES,88,98,,False,10X386
PROGRESS High School for Professional Careers,HS,33,74,56.0,True,14K474
Kingsborough Early College School,MS/HS,52,100,89.0,False,21K468
P.S. 120 Queens,ES,76,98,,True,25Q120
Thurgood Marshall Academy Lower School,ES,74,80,,False,05M318
Frederick Douglass Academy VII High School,HS,46,100,88.0,True,23K514
P.S. 107 John W. Kimball,ES,87,81,,False,15K107
P.S. 046 Edgar Allan Poe,ES,63,92,,False,10X046
P.S. 165 Robert E. Simon,ES/MS,67,85,90.0,True,03M165
The Fresh Creek School,ECC,41,100,,False,19K325
Pathways in Technology Early College High School (P-Tech),HS,29,100,83.0,False,17K122
WATERSIDE SCHOOL FOR LEADERSHIP,MS,62,100,90.0,False,27Q318
Bronx Park Middle School,MS,77,100,98.0,False,11X556
P.S. 009 Teunis G. Bergen,ES,69,91,,False,13K009
P.S. 370,D75,39,76,47.0,False,75K370
P.S. 078 Anne Hutchinson,ES,71,93,,True,11X078
New York Center for Autism Charter School,ES/MS,93,93,,False,84M337
"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,53,71,97.0,True,01M345
High School for Dual Language and Asian Studies,HS,47,54,93.0,False,02M545
P.S. 174 William Sidney Mount,ES,67,63,,True,28Q174
P.S. 097 Forest Park,ES,61,78,,False,27Q097
South Bronx Charter School for International Cultures and the Arts,ES,86,100,,False,84X309
Arts & Media Preparatory Academy,HS,20,64,67.0,False,18K589
Cypress Hills Collegiate Preparatory School,HS,28,96,79.0,True,19K659
Family Life Academy Charter School II,ECC,9,62,,False,84X233
Mott Hall II,MS,87,68,98.0,False,03M862
P.S. 012 James B. Colgate,ES,85,100,,False,24Q012
P.S. 112 Lefferts Park,ES,100,97,,False,20K112
New World Preparatory Charter School,MS,56,92,97.0,False,84R073
P.S. 016 John J. Driscoll,ES,44,73,,True,31R016
Bronx Green Middle School,MS,66,100,89.0,False,11X326
P.S. 452,ECC,76,100,,False,03M452
I.S. 528 Bea Fuller Rodgers School,MS,80,89,98.0,False,06M528
P.S. 085 Great Expectations,ES,49,59,,True,10X085
Space Shuttle Columbia School,ES,100,98,,False,31R058
Port Richmond High School,HS,19,58,81.0,True,31R445
P.S. 022 Graniteville,ES,37,58,,True,31R022
Long Island City High School,HS,24,63,73.0,True,30Q450
Kingsbridge International High School,HS,66,96,93.0,False,10X268
The Equality Charter School,MS,80,100,97.0,False,84X488
Liberation Diploma Plus,HST,88,89,94.0,False,21K728
Young Women's Leadership School of the Bronx,MS,72,100,100.0,False,09X568
P.S. 185 - The Early Childhood Discovery and Design Magnet School,ECC,100,100,,False,03M185
P.S. 133 Queens,ES,57,88,,False,26Q133
P.S. 029 Queens,ES,66,81,,True,25Q029
University Neighborhood Middle School,MS,91,100,99.0,False,01M332
J.H.S. 078 Roy H. Mann,MS,69,99,97.0,True,22K078
International Leadership Charter High School,HS,55,91,56.0,True,84X347
Bronx High School for Law and Community Service,HS,45,100,91.0,True,10X439
Fannie Lou Hamer Middle School,MS,19,100,84.0,False,12X286
P.S. 212,ES,85,83,,False,30Q212
Fort Hamilton High School,HS,43,66,72.0,True,20K490
P.S. 023 Richmondtown,ES,73,85,,False,31R023
P.S. 306 Ethan Allen,ES/MS,25,78,94.0,True,19K306
Brooklyn Dreams Charter School,ES,15,0,,True,84K791
M.S. 319 - Maria Teresa,MS,97,89,98.0,False,06M319
P.S. 372 -The Children's School,ES,36,61,,False,15K418
I.S. R002 George L. Egbert,MS,60,65,96.0,True,31R002
Central Park East II,ES,72,90,,False,04M964
Lower East Side Preparatory High School,HST,64,100,96.0,False,01M515
P.S. K721 - Brooklyn Occupational Training Center,D75,27,88,100.0,False,75K721
Bronx Collegiate Academy,HS,42,97,80.0,False,09X227
Academy of the City Charter School,ECC,40,94,,False,84Q359
P.S. 136 Roy Wilkins,ES,94,100,,False,29Q136
P.S. 092 Mary McLeod Bethune,ES,100,100,,False,05M092
P.S. 040 Augustus Saint-Gaudens,ES,41,63,,False,02M040
P.S. 297 Abraham Stockton,ES,79,100,,True,14K297
P.S. 215 Morris H. Weiss,ES,59,91,,False,21K215
I.S. 238 - Susan B. Anthony Academy,MS,27,52,61.0,True,29Q238
SHERIDAN ACADEMY FOR YOUNG LEADERS,ES,84,78,,True,09X457
P.S. 055 Henry M. Boehm,ES,87,91,,True,31R055
Tech International Charter School,MS,100,90,100.0,True,84X258
P.S. 020 Clinton Hill,ES,69,100,,False,13K020
Community Roots Charter School,ES,80,80,88.0,False,84K536
P.S. 129 Twin Parks Upper,MS,61,95,91.0,False,12X129
Susan E. Wagner High School,HS,45,97,84.0,True,31R460
P.S. 242 Leonard P. Stavisky Early Childhood School,ECC,64,94,,False,25Q242
P.S. 102 Bayview,ES/MS,40,100,98.0,False,24Q102
Humanities & Arts Magnet High School,HS,53,86,85.0,True,29Q498
P.S. 014 Cornelius Vanderbilt,ES,56,54,,True,31R014
P.S. 253,ES,82,94,,False,27Q253
Explore Exceed Charter School,ECC,78,100,,False,84K333
New Horizons School,MS,39,56,89.0,True,15K442
P.S. 208 Alain L. Locke,ES,88,100,,True,03M208
P.S. 290 Juan Morel Campos,ES,31,70,,False,19K290
Queens Vocational and Technical High School,HS,18,89,92.0,True,24Q600
P.S. 026 Jesse Owens,ES,68,95,,False,16K026
P.S. 046 Albert V. Maniscalco,ES,81,92,,False,31R046
Academy of Hospitality and Tourism,HS,26,72,84.0,True,17K408
P.S. 268 Emma Lazarus,ES,66,81,,False,18K268
P.S. 149 Sojourner Truth,ES/MS,53,73,90.0,True,03M149
Teaching Firms of America-Professional Preparatory Charter School,ECC,66,84,,False,84K406
Theatre Arts Production Company School,MS/HS,38,66,74.0,True,10X225
MOTT HALL BRIDGES ACADEMY,MS,70,81,82.0,False,23K671
P.S. 186 Castlewood,ES,80,85,,False,26Q186
Inwood Academy for Leadership Charter School,MS,81,100,98.0,False,84M478
Legacy School for Integrated Studies,HS,5,73,57.0,True,02M429
I.S. 227 Louis Armstrong,MS,81,77,92.0,False,30Q227
I.S. 061 William A Morris,MS,50,96,96.0,True,31R061
P.S. 160 Walt Disney,ES,27,100,,False,11X160
P.S. 373 - Brooklyn Transition Center,D75,31,58,97.0,True,75K373
P.S. 019 Marino Jeantet,ES,82,86,,False,24Q019
P.S. 150,ES,53,92,,False,02M150
"P.S. 145, The Bloomingdale School",ES,53,78,,True,03M145
School for Tourism and Hospitality,HS,71,80,88.0,True,08X559
VOICE Charter School of New York,ES,71,90,,False,84Q304
P.S. 171 Patrick Henry,ES/MS,100,96,98.0,False,04M171
KIPP Washington Heights Middle School,MS,96,83,,False,84M068
Brownsville Collaborative Middle School,MS,76,100,99.0,False,23K363
Bushwick Leaders High School for Academic Excellence,HS,27,63,68.0,True,32K556
P.S. 137 John L. Bernstein,ES,74,79,,True,01M137
J.H.S. 259 William Mckinley,MS,69,99,90.0,False,20K259
Rochdale Early Advantage Charter School,ECC,93,100,,False,84Q342
Abraham Lincoln High School,HS,17,92,74.0,True,21K410
I.S. 313 School of Leadership Development,MS,34,60,86.0,True,09X313
Teachers College Community School,ECC,82,100,,False,05M517
P.S. 048 William Wordsworth,ES,71,93,,True,28Q048
Paul Robeson High School,HS,9,50,53.0,True,17K625
J.H.S. 291 Roland Hayes,MS,67,100,92.0,True,32K291
W.E.B. Dubois Academic High School,HST,30,100,75.0,False,17K489
New Hope Academy Charter School,ES,73,56,,False,84K797
High School for Contemporary Arts,HS,23,70,51.0,True,11X544
Alfred E. Smith Career and Technical Education High School,HS,42,72,87.0,True,07X600
Believe Northside Charter High School,HS,21,100,95.0,False,84K693
P.S. 048 P.O. Michael J. Buczek,ES,62,77,,False,06M048
John Adams High School,HS,11,81,61.0,True,27Q480
P.S. 152 Gwendoline N. Alleyne School,ES,48,43,100.0,False,30Q152
P.S. 087 William Sherman,ES,40,45,,True,03M087
Bronx Leadership Academy High School,HS,32,86,79.0,True,09X525
P.S. 134 George F. Bristow,ES,67,98,,False,12X134
Dr. Richard Izquierdo Health and Science Charter School,MS,72,100,97.0,True,84X482
The Cultural Arts Academy at Spring Creek Charter School,ECC,82,100,,False,84K792
CRESTON ACADEMY,MS,100,100,96.0,False,10X447
Middle School of Marketing and Legal Studies,MS,70,100,85.0,True,18K598
Thomas C. Giordano Middle School 45,MS,21,36,94.0,True,10X045
P.S. X188,D75,38,79,88.0,True,75X188
P.S. 290,ECC,89,100,,False,24Q290
J.H.S. 054 Booker T. Washington,MS,68,84,97.0,False,03M054
Icahn Charter School 6,ECC,86,100,,False,84X133
Westchester Square Academy,HS,29,100,65.0,False,08X558
P.S. 260 Breuckelen,ES,93,70,,False,19K260
Ocean Hill Collegiate Charter School,MS,77,100,96.0,False,84K777
The School of Science and Applied Learning,ES,51,90,,False,12X300
P.S. 033 Edward M. Funk,ES,64,68,,False,29Q033
Bronx High School of Business,HS,5,100,91.0,True,09X412
J.H.S. 190 Russell Sage,MS,42,90,97.0,True,28Q190
Edward A. Reynolds West Side High School,HST,12,93,46.0,False,03M505
I.S. 061 Leonardo Da Vinci,MS,69,59,96.0,True,24Q061
World Journalism Preparatory: A College Board School,MS/HS,32,78,88.0,True,25Q285
Christopher Columbus High School,HS,5,78,76.0,True,11X415
Life Sciences Secondary School,MS/HS,15,62,48.0,True,02M655
P.S. 319,ECC,100,92,,False,14K319
W. H. Maxwell Career and Technical Education High School,HS,75,98,82.0,False,19K660
P.S. 050 Vito Marcantonio,ES/MS,34,89,92.0,True,04M050
"School for Human Rights, The",MS/HS,59,100,97.0,False,17K531
PS/MS 278-Paula Hedbavny School,ES/MS,93,100,100.0,False,06M278
Hamilton Heights School,ES,77,76,,True,06M368
Williamsburg Collegiate Charter School,MS,82,97,97.0,False,84K355
Bronx Arena High School,HST,4,81,38.0,False,08X537
Union Square Academy for Health Sciences,HS,57,100,87.0,False,02M533
P.S. 184 Flushing Manor,ES,89,94,,False,25Q184
P.S. 102 Jacques Cartier,ES,87,97,,False,04M102
P.S. 003 The Margaret Gioiosa School,ES,89,100,,False,31R003
Boys and Girls High School,HS,14,71,35.0,False,16K455
Columbia Secondary School,MS/HS,26,57,76.0,True,05M362
P.S. 166 Henry Gradstein,ES,53,68,,False,30Q166
Manhattan Charter School,ES,96,100,,False,84M320
Imagine Me Leadership Charter School,ECC,36,29,,True,84K785
P.S. 087 Middle Village,ES/MS,39,42,92.0,False,24Q087
P.S. 092 Harry T. Stewart Sr.,ES,86,62,,False,30Q092
Urban Assembly Academy of Civic Engagement,MS,39,64,87.0,False,08X366
P.S. K077,D75,54,42,93.0,False,75K077
P.S. 138 Brooklyn,ES/MS,56,69,90.0,False,17K138
Central Park East I,ES,70,93,,False,04M497
P.S. 150 Charles James Fox,ES,70,91,,False,12X150
P.S. 019 Asher Levy,ES,96,97,,False,01M019
Washington Irving Yabc,YABC,12,76,63.0,False,02M473
Dr. Susan S. McKinney Secondary School of the Arts,MS/HS,24,62,70.0,True,13K265
Success Academy Charter School - Harlem 2,ES,27,50,,False,84M384
P.S. 214 Michael Friedsam,ES,71,67,,False,19K214
All City Leadership Secondary School,MS/HS,38,86,91.0,False,32K554
Collaborative Arts Middle School,MS,47,78,97.0,True,29Q355
EAGLE ACADEMY FOR YOUNG MEN III,MS,45,61,96.0,True,29Q327
P.S. 145 Andrew Jackson,ES,78,95,,True,32K145
P.S. 183 Dr. Richard R. Green,ES/MS,53,91,97.0,False,27Q183
P.S. 168,D75,36,58,62.0,True,75X168
I.S. 232,MS,90,94,97.0,False,09X232
Tottenville High School,HS,27,92,85.0,False,31R455
Teachers Preparatory High School,MS/HS,40,71,81.0,True,23K697
J.H.S. 216 George J. Ryan,MS,41,86,98.0,True,26Q216
Fahari Academy Charter School,MS,75,100,94.0,True,84K726
I.S. 231 Magnetech 2000,MS,27,81,92.0,True,29Q231
Urban Assembly School for Wildlife Conservation,MS/HS,30,84,95.0,False,12X372
Roads Charter School I,HS,12,7,45.0,False,84K395
P.S. 221 The North Hills School,ES,78,91,,False,26Q221
P.S. K811 Connie Lekas School,D75,37,76,95.0,False,75K811
J.H.S. 162 Lola Rodriguez De Tio,MS,51,95,91.0,True,07X162
School of Performing Arts,MS,66,91,84.0,True,12X217
P.S. 148 Queens,ES,70,87,,False,30Q148
P.S. 026 The Carteret School,ES,81,100,,False,31R026
"Brooklyn Community High School of Communication, Arts and Media",HS,30,89,94.0,True,13K412
PS/IS 116 William C. Hughley,ES/MS,49,100,94.0,False,29Q116
P.S. 105 The Bay School,ES/MS,44,90,97.0,False,27Q105
FDNY High School for Fire and Life Safety,HS,38,96,80.0,True,19K502
Linden Tree Elementary School,ECC,95,88,,False,11X567
P.S. 057 Crescent,ES,67,100,,False,12X057
"Queens High School for Information, Research, and Technology",HS,51,90,79.0,True,27Q302
P.S. 251 Queens,ECC,61,96,,False,29Q251
CAMBRIA HEIGHTS ACADEMY,HS,72,100,95.0,False,29Q326
P.S. 173 Fresh Meadows,ES,89,98,,False,26Q173
John W. Lavelle Preparatory Charter School,MS/HS,67,97,99.0,False,84R067
P.S. 205 Alexander Graham Bell,ES,56,81,,False,26Q205
P.S. 048 William C. Wilcox,ES,73,100,,False,31R048
P.S. 015 Jackie Robinson,ES,75,83,,False,29Q015
P.S. 086 The Irvington,ES,91,100,,False,32K086
York Early College Academy,MS/HS,57,100,98.0,False,28Q284
East Harlem Scholars Academy Charter School,ECC,75,100,,False,84M518
Harlem Children's Zone Promise Academy 1 Charter School,ES/MS/HS,67,87,90.0,True,84M284
Bedford Stuyvesant Collegiate Charter School,MS,46,100,98.0,False,84K648
P.S. 295,ES,82,97,,False,15K295
P.S. 211,ES/MS,86,88,98.0,False,12X211
P.S. 229 Dyker,ES/MS,72,87,97.0,False,20K229
Crotona International High School,HS,24,92,91.0,False,10X524
Bronx Little School,ES,63,84,,False,12X691
P.S. 106 Parkchester,ES,77,100,,False,11X106
P.S. 073 Thomas S. Boyland,ES/MS,87,84,96.0,True,23K073
P.S. 045 Clarence Witherspoon,ES,73,97,100.0,True,27Q045
High School for Arts and Business,HS,29,100,78.0,False,24Q550
Bronx Dance Academy School,MS,81,100,99.0,True,10X308
High School of Sports Management,HS,26,100,91.0,True,21K348
P.S. 396,ES,64,97,,False,10X396
I.S. 025 Adrien Block,MS,70,98,98.0,True,25Q025
P.S. 257 John F. Hylan,ES,69,100,,False,14K257
Brooklyn Ascend Charter School,ES,40,90,100.0,True,84K652
Albert Shanker School for Visual and Performing Arts,MS,12,74,89.0,False,30Q126
P.S. 024 Spuyten Duyvil,ES,45,54,,True,10X024
N.Y.C. Museum School,HS,19,52,99.0,True,02M414
PS 503: The School of Discovery,ES,81,90,,False,20K503
P.S. 016 Wakefield,ES,34,100,,True,11X016
P.S./M.S 042 R. Vernam,ES/MS,53,92,94.0,True,27Q042
John Ericsson Middle School 126,MS,98,88,98.0,False,14K126
P.S. 249 The Caton,ES,93,98,,False,17K249
P.S. X010,D75,44,68,88.0,False,75X010
P.S. 032 The Gifford School,ES,87,95,,False,31R032
Brooklyn School for Music & Theatre,HS,40,100,81.0,True,17K548
P.S. M169 - Robert F. Kennedy,D75,74,78,97.0,False,75M169
P.S. 128 Bensonhurst,ES,81,89,,False,21K128
P.S. 155 William Paca,ES,79,97,,True,04M155
The Hunts Point School,MS,55,85,89.0,True,08X424
P.S. 261 Philip Livingston,ES,46,72,,False,15K261
The School of Integrated Learning,MS,84,100,97.0,False,17K354
Stevenson Yabc,YABC,43,84,69.0,False,08X507
Lyons Community School,MS/HS,26,98,75.0,True,14K586
Achievement First Endeavor Charter School,ES/MS,56,77,95.0,False,84K508
P.S. 098 The Douglaston School,ES,53,100,,False,26Q098
P.S. 971,ECC,91,76,,False,20K971
E.S.M.T- I.S. 190,MS,83,61,97.0,True,12X190
Uncommon Charter HS 2,HS,73,100,94.0,False,84K979
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),MS,87,53,86.0,False,11X462
Essence School,MS,36,83,96.0,True,19K311
P.S. K753 - School for Career Development,D75,82,70,80.0,False,75K753
Downtown Brooklyn Yabc,YABC,11,100,58.0,False,13K657
P.S. 003 The Bedford Village,ES,71,95,,False,13K003
Landmark High School,HS,46,100,69.0,True,02M419
Secondary School for Law,MS/HS,43,97,90.0,True,15K462
THE RICHARD H. HUNGERFORD SCHOOL,D75,67,85,100.0,False,75R721
Blueprint Middle School,MS,49,71,95.0,False,08X562
Riverdale / Kingsbridge Academy (Middle School / High School 141),MS/HS,37,87,87.0,True,10X141
P.S. 052 Sheepshead Bay,ES,64,98,,True,22K052
P.S. 329 Surfside,ES,92,63,,True,21K329
High School for Innovation in Advertising and Media,HS,20,85,64.0,True,18K617
P.S. 039 Henry Bristow,ES,65,100,,False,15K039
P.S. 083 Luis Munoz Rivera,ES,73,100,,False,04M083
Manhattan Comprehensive Night and Day High School,HST,19,86,78.0,False,02M575
Mark Twain I.S. 239 for the Gifted & Talented,MS,86,97,99.0,False,21K239
47 The American Sign Language and English Secondary School,HS,40,90,95.0,False,02M047
New Utrecht High School,HS,49,86,75.0,True,20K445
P.S. 123 Mahalia Jackson,ES/MS,32,62,74.0,True,05M123
P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,ECC,62,83,,True,31R074
Pablo Neruda Academy for Architecture and World Studies,HS,44,97,86.0,True,08X305
M.S. 328 - Manhattan Middle School for Scientific Inquiry,MS,84,100,87.0,False,06M328
P.S. 064 Pura Belpre,ES,42,63,,True,09X064
Herbert H. Lehman Yabc,YABC,90,100,79.0,False,08X408
Cornerstone Academy for Social Action,ES,65,87,,False,11X189
Concord High School,HST,45,100,82.0,False,31R470
I.S. 125 Thom J. McCann Woodside,MS,60,94,96.0,False,24Q125
P.S. 217 Colonel David Marcus School,ES,58,62,,False,22K217
CSI High School for International Studies,HS,61,91,95.0,False,31R047
P.S. 214,ES/MS,67,94,100.0,True,12X214
P.S. 81Q Jean Paul Richter,ES,96,100,,False,24Q081
QUEENS METROPOLITAN HIGH SCHOOL,HS,23,81,89.0,True,28Q686
Bronx School of Law and Finance,HS,24,92,66.0,True,10X284
M.S. 260 Clinton School Writers & Artists,MS,40,100,94.0,False,02M260
"Technology, Arts, and Sciences Studio",MS,39,100,92.0,False,01M301
Grover Cleveland High School,HS,10,87,53.0,True,24Q485
John Dewey High School,HS,17,85,40.0,True,21K540
P.S. 056 Norwood Heights,ES,88,100,,False,10X056
Millennium Art Academy,HS,21,85,71.0,True,08X312
Manhattan / Hunter Science High School,HS,30,93,87.0,False,03M541
Williamsburg Preparatory School,HS,32,96,83.0,False,14K561
Coalition School for Social Change,HS,16,93,73.0,True,04M409
P.S. 169 Sunset Park,ES,64,76,,False,15K169
P.S. 139 Alexine A. Fenty,ES,60,86,,True,22K139
Erasmus Yabc,YABC,77,100,84.0,False,17K467
Hostos-Lincoln Academy of Science,MS/HS,14,69,88.0,True,07X500
M.S. 571,MS,45,33,93.0,True,13K571
George Washington Yabc,YABC,23,50,78.0,False,06M457
P.S. 310,ECC,88,89,,False,20K310
P.S. 65 - The Raymond York Elementary School,ES,77,95,,False,27Q065
I.S. 034 Tottenville,MS,99,100,100.0,False,31R034
Urban Science Academy,MS,42,94,96.0,True,09X325
Harriet Tubman Charter School,ES/MS,92,73,95.0,False,84X706
Millennium Brooklyn HS,HS,39,100,96.0,False,15K684
P.S. 152 Dyckman Valley,ES,80,67,,True,06M152
P.S. 163 Bath Beach,ES/MS,43,47,98.0,False,20K163
P.S. 096 Joseph Lanzetta,ES/MS,57,80,92.0,True,04M096
STEM Institute of Manhattan,ES,66,82,,True,03M241
