Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2015-16 Adopted Budget
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2016-17 Adopted Budget
Bureau of Street Services,86LVL5,Bureau of Street Services,Pavement Preservation,86SLURRY,Number of Lane Miles Resurfaced and Slurry Sealed,2012-13 Actuals
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2015-16 Adopted Budget
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITS,Number of Audit Recommendations,2013-14 Actuals
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2015-16 Actuals
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2014-15 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2014-15 Actuals
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2013-14 Actuals
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2015-16 Actuals
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2016-17 Adopted Budget
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Clean Water,82SEWER,Sewer Miles Cleaned,2012-13 Actuals
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94GRANTS,Number of Projects Successful in Securing Grant Funding,2012-13 Actuals
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2016-17 Adopted Budget
Information Technology Agency,32LVL5,Information Technology Agency,Cable Television,32CH35PROG,Hours of Channel 35 Programming Produced,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Commercial Inspection and Licensing,08PLUMBINSPECT,Percent of Plumbing Inspections Completed in 24 Hours,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2016-17 Adopted Budget
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Selection,66EXAM,Percent of Exams Completed in 150 Days,2015-16 Actuals
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2014-15 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2014-15 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Adult Workforce Development,22ADULTJOBS,Number of WIA-Funded Adults Placed in Jobs,2013-14 Actuals
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2013-14 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Environmental Quality,82CLOSEOUT,Average Number of Days to Close Out a Service Request,2016-17 Adopted Budget
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2012-13 Actuals
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2016-17 Adopted Budget
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Funding Program,47NCMERS,Percentage of NCs that Submit Timely and Accurate MERs,2014-15 Actuals
Finance,39LVL5,Finance,Tax and Permit,39AUDIT,Percent of Accounts Audited,2014-15 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2012-13 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2016-17 Adopted Budget
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2012-13 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Proprietary Analysis,10CONREVTIME,Average Length of Time to Complete Contract Review,2017-18 Adopted
Fire,38LVL5,Fire,Training,38TRAINING,Recruit Class Retention Rate,2018-19 Proposed
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2015-16 Actuals
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2013-14 Actuals
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2013-14 Actuals
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2015-16 Adopted Budget
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2015-16 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2013-14 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2012-13 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2016-17 Adopted Budget
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2017-18 Adopted
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2014-15 Actuals
Transportation,94LVL5,Transportation,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals,2012-13 Actuals
Transportation,94LVL5,Transportation,Sustainable Transportation,94BIKE,Number of Trips per Bike per Day,2016-17 Adopted Budget
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2012-13 Actuals
Finance,39LVL5,Finance,Revenue Management,39LIEN,Percent of Lien Cases Solved,2013-14 Actuals
Finance,39LVL5,Finance,Treasury Services,39TREASURY,Percent of Treasury Management Requests Resolved in One Day,2014-15 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Systems Development and Support,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Crossing Guard Services,94GUARDS,Number of Guards Assigned,2015-16 Actuals
City Planning,68LVL5,City Planning,Historic Resources,68CERTIFICATE,Percent of Certificate Cases Completed within 75 Days,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Recreational Programming,88SPORTS,Number of Youth and Adult Sports Program Registrations,2015-16 Actuals
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2016-17 Adopted Budget
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Construction,86DESIGNBUILD,Value of Design-Build Projects Completed,2018-19 Proposed
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2016-17 Adopted Budget
Finance,39LVL5,Finance,Treasury Services,39TREASURY,Percent of Treasury Management Requests Resolved in One Day,2013-14 Actuals
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2015-16 Actuals
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2013-14 Actuals
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2015-16 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2016-17 Adopted Budget
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2015-16 Adopted Budget
Personnel,66LVL5,Personnel,Workers' Compensation and Safety,66WCCOST,Amount of Monthly Workers' Compensation Costs Avoided,2013-14 Actuals
Fire,38LVL5,Fire,Arson Investigation and Counter-Terrorism,38INVESTIGATION,Percentage Convictions in Arson Cases,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2013-14 Actuals
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2013-14 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2018-19 Proposed
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2015-16 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,City Services,88SNLPARTICIPANTS,Number of Summer Night Lights Participants,2014-15 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2015-16 Actuals
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2014-15 Actuals
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2012-13 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2016-17 Adopted Budget
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Employee Relations Compensation and Benefits,10PAYGRADE,Average Length of Time to Review Pay Grade Advancements,2018-19 Proposed
Zoo,87LVL5,Zoo,Education,87ENGAGE,"Percent of ""Excellent"" Rating for Visitor Engagement",2015-16 Actuals
Finance,39LVL5,Finance,Customer Service,39CALLS,Percent of Call Center Calls Answered,2014-15 Actuals
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2012-13 Actuals
Finance,39LVL5,Finance,LATAX System Support,39LATAX,Number of Renewals Processed in LATAX,2015-16 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2015-16 Adopted Budget
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2014-15 Actuals
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2017-18 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Management Services,10IFAPPS,Percent of Submitted Innovation Fund Applications Reviewed,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2014-15 Actuals
City Planning,68LVL5,City Planning,Geographic Project Planning,68CASES,Annual Number of Cases Completed,2013-14 Actuals
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FINSYSSUPP,Number of Documents Generated in FMS,2016-17 Adopted Budget
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2014-15 Actuals
Disability,65LVL5,Disability,ADA Compliance,65SLICART,Percentage of SLI and CART Requests Filled,2016-17 Adopted Budget
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2015-16 Adopted Budget
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86PERMIT,Number of Permits and Notices Issued,2012-13 Actuals
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITS,Number of Audit Recommendations,2012-13 Actuals
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Distributed Systems and Operation,32DATACENTER,Percent of Data Center Servers Virtualized,2015-16 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2017-18 Adopted
Disability,65LVL5,Disability,ADA Compliance,65SLICART,Percentage of SLI and CART Requests Filled,2014-15 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2015-16 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2013-14 Actuals
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTRAVEL,Average Travel Time to EMS Incident,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2014-15 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2015-16 Adopted Budget
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2015-16 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Multi-family Residential Code Enforcement,43SCEPUNIT,Systematic Code Enforcement Program (SCEP) Units Inspected,2012-13 Actuals
Disability,65LVL5,Disability,ADA Compliance,65SLICART,Percentage of SLI and CART Requests Filled,2015-16 Actuals
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2012-13 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Distributed Systems and Operation,32DATACENTER,Percent of Data Center Servers Virtualized,2015-16 Adopted Budget
General Services,40LVL5,General Services,Real Estate Services,40ASSETMGMT,Asset Management System Implementation Tasks Completed,2018-19 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2013-14 Actuals
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FINSYSSUPP,Number of Documents Generated in FMS,2014-15 Actuals
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2013-14 Actuals
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2018-19 Proposed
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2013-14 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2013-14 Actuals
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2015-16 Actuals
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2013-14 Actuals
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2014-15 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2015-16 Adopted Budget
Information Technology Agency,32LVL5,Information Technology Agency,Network Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2016-17 Adopted Budget
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2015-16 Actuals
City Planning,68LVL5,City Planning,Citywide Planning,68ELEMENT,Number of State Mandated Elements Less Than Eight Years Old,2016-17 Adopted Budget
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2015-16 Actuals
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2015-16 Actuals
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2016-17 Adopted Budget
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Services,2013-14 Actuals
Transportation,94LVL5,Transportation,Sustainable Transportation,94BIKE,Number of Trips per Bike per Day,2015-16 Actuals
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2012-13 Actuals
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2016-17 Adopted Budget
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2012-13 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2015-16 Adopted Budget
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2013-14 Actuals
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2013-14 Actuals
Disability,65LVL5,Disability,Community Affairs and Outreach,65OUTREACH,Percentage of Resource Center Inquiries Filled,2014-15 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2013-14 Actuals
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2012-13 Actuals
Fire,38LVL5,Fire,"Procurement, Maintenance and Repair",38FLEET,Fleet Availability Rate,2016-17 Adopted Budget
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2014-15 Actuals
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2012-13 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Management Services,10IFAPPS,Percent of Submitted Innovation Fund Applications Reviewed,2017-18 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Management Services,10IFAPPS,Percent of Submitted Innovation Fund Applications Reviewed,2017-18 Adopted
General Services,40LVL5,General Services,Building Maintenance,40ENERGYAUDITS,Number of Energy Audits Completed,2018-19 Adopted
Cannabis Regulation,13LVL5,Cannabis Regulation,Regulations and Licensing,13CANNABISLICENSES,Number of Cannabis Businesses Licensed,2018-19 Proposed
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2018-19 Proposed
Transportation,94LVL5,Transportation,Crossing Guard Services,94GUARDS,Number of Guards Assigned,2018-19 Proposed
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2018-19 Proposed
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2018-19 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2017-18 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2017-18 Adopted
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2017-18 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2017-18 Adopted
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2018-19 Adopted
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITREPORTS,Number of Audit Reports,2018-19 Proposed
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2017-18 Adopted
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2017-18 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2018-19 Proposed
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2018-19 Proposed
Finance,39LVL5,Finance,Tax and Permit,39LIABILITY,Percent of Audits with Liability Adjustments,2018-19 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2017-18 Adopted
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2017-18 Adopted
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2017-18 Adopted
Controller,26LVL5,Controller,Citywide Payroll Administration,26PAYSUPP,Percent of PaySR Problem Tickets Resolved,2017-18 Adopted
Controller,26LVL5,Controller,Citywide Payroll Administration,26PAYSUPP,Percent of PaySR Problem Tickets Resolved,2017-18 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Administrative Support,47ELCAN,Number of Candidates for Neighborhood Council Elections,2018-19 Proposed
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2017-18 Adopted
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2017-18 Adopted
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2018-19 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2018-19 Adopted
Zoo,87LVL5,Zoo,"Planning, Development and Construction",87CONSTRUCTION,Number of Construction Work Orders Completed,2018-19 Adopted
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2018-19 Adopted
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2018-19 Proposed
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Programs,2017-18 Adopted
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Programs,2017-18 Adopted
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2018-19 Proposed
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2018-19 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2017-18 Adopted
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2017-18 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Maintaining Streets,86POTHOLE,Average Number of Working Days to Repair Potholes,2018-19 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Capital Projects and Planning,88WALKABLEPARK,Additional Residents Served by Park within Walking Distance,2018-19 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2017-18 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2017-18 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86INSPECTION,Average Number of Days to Inspect Obstruction Requests,2018-19 Adopted
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2018-19 Adopted
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2017-18 Adopted
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2017-18 Adopted
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2018-19 Adopted
Finance,39LVL5,Finance,Customer Support,39CALLSANSWERED,Average Speed of Calls Answered (minutes),2018-19 Adopted
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2018-19 Proposed
Zoo,87LVL5,Zoo,Education,87ENGAGE,"Percent of ""Excellent"" Rating for Visitor Engagement",2018-19 Proposed
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2018-19 Adopted
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2017-18 Adopted
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2017-18 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Griffith Observatory,88GRIFFITH,Number of Griffith Observatory Visitors,2018-19 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Land Maintenance,88PARKSMAINTAINED,Number of Parks Maintained,2017-18 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Land Maintenance,88PARKSMAINTAINED,Number of Parks Maintained,2017-18 Adopted
Zoo,87LVL5,Zoo,Custodial Services,87CLEAN,"Percent of ""Excellent"" Rating For Facility Cleanliness",2017-18 Adopted
Zoo,87LVL5,Zoo,Custodial Services,87CLEAN,"Percent of ""Excellent"" Rating For Facility Cleanliness",2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2018-19 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2017-18 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2017-18 Adopted
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2018-19 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2017-18 Adopted
