Department Name,Program Name,Source Fund Name,Account Code,Account Name,Budget
Personnel,Liaison Services,Community Development Trust Fund (Sch. 8),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Rent Stabilization Trust Fund (Sch. 23),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Rent Stabilization Trust Fund (Sch. 23),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Arts and Cultural Facilities & Services Fund (Sch. 24),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Solid Waste Resources Revenue Fund (Sch. 2),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Fire,Fire Prevention,General Fund,RESSG,Civilian Resolution Authority Positions,2020-21 Proposed Budget
Personnel,Liaison Services,Stormwater Pollution Abatement Fund (Sch. 7),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Police,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Measure R Local Return Fund (Sch. 49),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Proposition C Anti-Gridlock Transit Fund (Sch. 27),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,HOME Investment Partnership Program Fund (Sch. 9),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Workforce Innovation and Opportunity Act Fund (Sch. 22),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Cannabis Regulation Special Revenue Fund (Sch. 33),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Sewer Operations & Maintenance Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Personnel,Liaison Services,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Personnel,General Administration and Support,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Personnel,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,General Fund,POSCOMM,Commissioner Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Community Development Trust Fund (Sch. 8),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Planning Long-Range Planning Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Citywide Planning,Municipal Housing Finance Fund (Sch. 48),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Community Planning,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Community Planning,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Community Planning,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Community Planning,Planning Long-Range Planning Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Community Planning,City Planning System Development Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Historic Resources,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Historic Resources,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Historic Resources,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Historic Resources,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
City Planning,Development Services,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Development Services,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Neighborhood Initiatives and Transit Oriented Planning,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Neighborhood Initiatives and Transit Oriented Planning,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Neighborhood Initiatives and Transit Oriented Planning,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Neighborhood Initiatives and Transit Oriented Planning,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Geographic Project Planning,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Geographic Project Planning,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Geographic Project Planning,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Geographic Project Planning,Warner Center Mobility Trust Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Major Projects and Project Plan Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Major Projects and Project Plan Support,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Major Projects and Project Plan Support,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,Major Projects and Project Plan Support,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Technology Support,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Technology Support,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,Technology Support,City Planning System Development Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,Planning Long-Range Planning Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,City Planning System Development Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
City Planning,General Administration and Support,Warner Center Mobility Trust Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Field Forces,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Police,Field Forces,General Fund,POSCOMM,Commissioner Positions,2019-20 Adopted Budget
Police,Field Forces,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Field Forces,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Field Forces,Local Public Safety Fund (Sch. 17),POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Investigation,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Police,Specialized Investigation,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Fire,Fire Prevention,General Fund,RESSW,Sworn Resolution Authority Positions,2020-21 Proposed Budget
Police,Specialized Investigation,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Investigation,General Fund,RESSW,Sworn Resolution Authority Positions,2019-20 Adopted Budget
Police,Custody of Persons and Property,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Custody of Persons and Property,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Traffic Control,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Traffic Control,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,General Fund,RESSW,Sworn Resolution Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Specialized Enforcement and Protection,Sewer Operations & Maintenance Fund (Sch. 14),POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Personnel Training and Support,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Police,Personnel Training and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Personnel Training and Support,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Departmental Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Departmental Support,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,Technology Support,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Police,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Technology Support,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Police,General Administration and Support,General Fund,RESSW,Sworn Resolution Authority Positions,2019-20 Adopted Budget
Police,Internal Integrity and Standards Enforcement,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Police,Internal Integrity and Standards Enforcement,General Fund,POSSW,Sworn Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Office of Community Beautification,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Project Restore,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Street Lighting Maintenance Assessment Fund (Sch. 19),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Citywide Recycling Trust Fund (Sch. 32),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Road Maintenance and Rehabilitation Program Special (Sch. 5),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Sewer Operations & Maintenance Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Accounting,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Street Lighting Maintenance Assessment Fund (Sch. 19),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Street Lighting Maintenance Assessment Fund (Sch. 19),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Citywide Recycling Trust Fund (Sch. 32),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Sewer Operations & Maintenance Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Board and Board Secretariat,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Petroleum and Natural Gas Administration and Safety,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Financial Systems,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Financial Systems,Street Lighting Maintenance Assessment Fund (Sch. 19),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Financial Systems,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Board of Public Works,Public Works Financial Systems,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,General Fund,POSHH,Hiring Hall Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Street Lighting Maintenance Assessment Fund (Sch. 19),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Proposition A Local Transit Assistance Fund (Sch. 26),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Proposition C Anti-Gridlock Transit Fund (Sch. 27),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Construction Inspection,Sewer Capital Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,Contract Compliance,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Contract Administration,General Administration and Support,Sewer Capital Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Clean Water Infrastructure,Sewer Capital Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Development Services and Permits,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Development Services and Permits,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Development Services and Permits,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Development Services and Permits,Street Lighting Maintenance Assessment Fund (Sch. 19),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Development Services and Permits,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,General Fund,POSHH,Hiring Hall Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Street Damage Restoration Fee Fund (Sch. 47),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Measure R Local Return Fund (Sch. 49),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Proposition C Anti-Gridlock Transit Fund (Sch. 27),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Mobility,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,Telecommunications Development Account (Sch. 20),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,Stormwater Pollution Abatement Fund (Sch. 7),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,Mobile Source Air Pollution Reduction Fund (Sch. 10),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Public Buildings and Open Spaces,Sewer Capital Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Sidewalks and Complete Streets,Sidewalk Repair Fund (Sch. 51),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Sidewalks and Complete Streets,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,Sidewalks and Complete Streets,Measure M Local Return Fund (Sch. 52),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,Special Gas Tax Improvement Fund (Sch. 5),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,Special Gas Tax Improvement Fund (Sch. 5),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,Sewer Capital Fund (Sch. 14),POSAN,As Needed Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Engineering,General Administration and Support,Sewer Capital Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,Stormwater Pollution Abatement Fund (Sch. 7),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,Measure W Local Return Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,Measure W Local Return Fund (Sch. 7),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Watershed Protection,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Stormwater Pollution Abatement Fund (Sch. 7),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Sewer Operations & Maintenance Fund (Sch. 14),POSHH,Hiring Hall Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Sewer Operations & Maintenance Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Clean Water,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Solid Resources,General Fund,POSAN,As Needed Positions,2019-20 Adopted Budget
Bureau of Sanitation,Solid Resources,Citywide Recycling Trust Fund (Sch. 32),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Solid Resources,Citywide Recycling Trust Fund (Sch. 32),RESSG,Civilian Resolution Authority Positions,2019-20 Adopted Budget
Fire,Emergency Medical Service,General Fund,POSSG,Civilian Regular Authority Positions,2020-21 Proposed Budget
Bureau of Sanitation,Solid Resources,Central Recycling Transfer Station Fund (Sch. 45),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Solid Resources,Los Angeles Regional Agency Trust Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,2019-20 Adopted Budget
Bureau of Sanitation,Solid Resources,Solid Waste Resources Revenue Fund (Sch. 2),POSHH,Hiring Hall Positions,2019-20 Adopted Budget
