all/school_gender.csv.DBN,all/school_gender.csv.chool Name,all/school_gender.csv.Grade,all/school_gender.csv.Year,all/school_gender.csv.Category,all/school_gender.csv.Number Tested,all/school_gender.csv.Mean Scale Score,all/school_gender.csv.Level1_N,all/school_gender.csv.Level1_%,all/school_gender.csv.Level2_N,all/school_gender.csv.Level2_%,all/school_gender.csv.Level3_N,all/school_gender.csv.Level3_%,all/school_gender.csv.Level4_N,all/school_gender.csv.Level4_%,all/school_gender.csv.Level3+4_N,all/school_gender.csv.Level3+4_%
28Q140,PS 140 EDWARD K ELLINGTON,5,2013,Male,44,275.0,32.0,72.7,8.0,18.2,4.0,9.1,0.0,0.0,4.0,9.1
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,7,2014,Female,93,284.0,43.0,46.2,44.0,47.3,6.0,6.5,0.0,0.0,6.0,6.5
09X325,URBAN SCIENCE ACADEMY,All Grades,2013,Female,175,274.0,110.0,62.9,56.0,32.0,7.0,4.0,2.0,1.1,9.0,5.1
10X020,PSMS 20 POGEORGE J WERDANN III,3,2014,Male,70,279.0,43.0,61.4,21.0,30.0,6.0,8.6,0.0,0.0,6.0,8.6
10X280,PSMS 280 MOSHOLU PARKWAY,All Grades,2015,Female,284,298.0,91.0,32.0,114.0,40.1,69.0,24.3,10.0,3.5,79.0,27.8
26Q158,MS 158 MARIE CURIE,8,2013,Female,168,321.0,23.0,13.7,44.0,26.2,56.0,33.3,45.0,26.8,101.0,60.1
04M096,PS 096 JOSEPH LANZETTA,5,2014,Male,28,278.0,19.0,67.9,4.0,14.3,4.0,14.3,1.0,3.6,5.0,17.9
18K114,PS 114 RYDER ELEMENTARY,All Grades,2013,Female,177,289.0,84.0,47.5,52.0,29.4,33.0,18.6,8.0,4.5,41.0,23.2
03M009,PS 009 SARAH ANDERSON,3,2014,Male,52,327.0,4.0,7.7,12.0,23.1,27.0,51.9,9.0,17.3,36.0,69.2
31R029,PS 029 BARDWELL,3,2017,Female,40,321.0,4.0,10.0,11.0,27.5,20.0,50.0,5.0,12.5,25.0,62.5
16K267,MS 267 MATH SCIENCE & TECHNOLOGY,6,2017,Male,17,296.0,5.0,29.4,5.0,29.4,6.0,35.3,1.0,5.9,7.0,41.2
31R061,IS 061 WILLIAM A MORRIS,7,2016,Male,177,290.0,74.0,41.8,65.0,36.7,31.0,17.5,7.0,4.0,38.0,21.5
08X062,PS 062 INOCENSIO CASANOVA,All Grades,2016,Female,154,300.0,45.0,29.2,66.0,42.9,36.0,23.4,7.0,4.5,43.0,27.9
25Q209,PS 209 CLEARVIEW GARDENS,5,2016,Female,47,323.0,7.0,14.9,11.0,23.4,17.0,36.2,12.0,25.5,29.0,61.7
22K109,PS 109,All Grades,2015,Male,193,282.0,97.0,50.3,74.0,38.3,20.0,10.4,2.0,1.0,22.0,11.4
26Q067,JHS 067 LOUIS PASTEUR,7,2017,Male,152,330.0,15.0,9.9,32.0,21.1,50.0,32.9,55.0,36.2,105.0,69.1
19K065,PS 065,3,2016,Female,44,315.0,8.0,18.2,15.0,34.1,16.0,36.4,5.0,11.4,21.0,47.7
04M171,PS 171 PATRICK HENRY,All Grades,2016,Male,230,317.0,27.0,11.7,76.0,33.0,91.0,39.6,36.0,15.7,127.0,55.2
26Q188,PS 188 KINGSBURY,5,2015,Female,40,341.0,1.0,2.5,8.0,20.0,13.0,32.5,18.0,45.0,31.0,77.5
32K384,PS IS 384 FRANCES E CARTER,4,2016,Male,24,293.0,10.0,41.7,8.0,33.3,5.0,20.8,1.0,4.2,6.0,25.0
02M116,PS 116 MARY LINDLEY MURRAY,5,2014,Female,67,328.0,8.0,11.9,12.0,17.9,27.0,40.3,20.0,29.9,47.0,70.1
21K209,PS 209 MARGARET MEAD,3,2017,Female,36,311.0,8.0,22.2,13.0,36.1,13.0,36.1,2.0,5.6,15.0,41.7
30Q011,PS 011 KATHRYN PHELAN,3,2016,Female,98,314.0,19.0,19.4,34.0,34.7,37.0,37.8,8.0,8.2,45.0,45.9
28Q140,PS 140 EDWARD K ELLINGTON,3,2016,Male,28,288.0,11.0,39.3,12.0,42.9,5.0,17.9,0.0,0.0,5.0,17.9
23K298,PS 298 DR BETTY SHABAZZ,3,2015,Female,14,270.0,10.0,71.4,4.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0
30Q151,PS 151 MARY D CARTER,3,2017,Male,31,300.0,9.0,29.0,16.0,51.6,6.0,19.4,0.0,0.0,6.0,19.4
19K311,ESSENCE SCHOOL,All Grades,2015,Female,54,265.0,39.0,72.2,13.0,24.1,2.0,3.7,0.0,0.0,2.0,3.7
26Q158,MS 158 MARIE CURIE,7,2017,Male,192,325.0,19.0,9.9,46.0,24.0,78.0,40.6,49.0,25.5,127.0,66.1
10X390,MS 390,6,2014,Female,56,274.0,30.0,53.6,22.0,39.3,4.0,7.1,0.0,0.0,4.0,7.1
31R027,IS 027 ANNING S PRALL,All Grades,2015,Male,558,294.0,203.0,36.4,205.0,36.7,106.0,19.0,44.0,7.9,150.0,26.9
16K335,PS 335 GRANVILLE T WOODS,5,2016,Female,32,294.0,12.0,37.5,14.0,43.8,4.0,12.5,2.0,6.3,6.0,18.8
31R027,IS 027 ANNING S PRALL,8,2015,Female,189,304.0,40.0,21.2,77.0,40.7,54.0,28.6,18.0,9.5,72.0,38.1
12X150,PS 150 CHARLES JAMES FOX,All Grades,2016,Male,201,286.0,100.0,49.8,64.0,31.8,31.0,15.4,6.0,3.0,37.0,18.4
15K295,PS 295,4,2013,Male,20,306.0,6.0,30.0,7.0,35.0,5.0,25.0,2.0,10.0,7.0,35.0
09X323,BRONX WRITING ACADEMY,8,2016,Female,78,294.0,24.0,30.8,31.0,39.7,19.0,24.4,4.0,5.1,23.0,29.5
09X199,PS 199X  THE SHAKESPEARE SCHOOL,3,2015,Male,72,274.0,50.0,69.4,12.0,16.7,9.0,12.5,1.0,1.4,10.0,13.9
30Q076,PS 076 WILLIAM HALLET,3,2016,Male,33,303.0,8.0,24.2,14.0,42.4,9.0,27.3,2.0,6.1,11.0,33.3
26Q205,PS 205 ALEXANDER GRAHAM BELL,5,2014,Female,18,343.0,0.0,0.0,3.0,16.7,5.0,27.8,10.0,55.6,15.0,83.3
25Q022,PS 022 THOMAS JEFFERSON,All Grades,2015,Female,171,314.0,29.0,17.0,62.0,36.3,56.0,32.7,24.0,14.0,80.0,46.8
04M108,PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,All Grades,2015,Female,226,293.0,79.0,35.0,104.0,46.0,40.0,17.7,3.0,1.3,43.0,19.0
06M189,PS 189,3,2017,Male,65,291.0,25.0,38.5,27.0,41.5,13.0,20.0,0.0,0.0,13.0,20.0
27Q096,PS 096,5,2015,Female,25,320.0,3.0,12.0,10.0,40.0,5.0,20.0,7.0,28.0,12.0,48.0
18K208,PS 208 ELSA EBELING,5,2015,Male,28,289.0,14.0,50.0,10.0,35.7,4.0,14.3,0.0,0.0,4.0,14.3
12X092,PS 092 BRONX,4,2013,Female,41,269.0,27.0,65.9,11.0,26.8,3.0,7.3,0.0,0.0,3.0,7.3
07X005,PS 5 PORT MORRIS,All Grades,2017,Female,211,291.0,79.0,37.4,85.0,40.3,37.0,17.5,10.0,4.7,47.0,22.3
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,5,2017,Male,20,286.0,13.0,65.0,4.0,20.0,1.0,5.0,2.0,10.0,3.0,15.0
17K061,MS 061 DR GLADSTONE H ATWELL,8,2016,Male,109,296.0,37.0,33.9,43.0,39.4,23.0,21.1,6.0,5.5,29.0,26.6
20K163,PS 163 BATH BEACH,3,2014,Female,44,300.0,14.0,31.8,14.0,31.8,15.0,34.1,1.0,2.3,16.0,36.4
01M064,PS 064 ROBERT SIMON,5,2015,Female,19,285.0,11.0,57.9,7.0,36.8,1.0,5.3,0.0,0.0,1.0,5.3
01M188,PS 188 THE ISLAND SCHOOL,5,2017,Male,20,273.0,11.0,55.0,8.0,40.0,1.0,5.0,0.0,0.0,1.0,5.0
01M378,CHOOL FOR GLOBAL LEADERS,All Grades,2015,Female,91,295.0,27.0,29.7,43.0,47.3,18.0,19.8,3.0,3.3,21.0,23.1
30Q149,PS 149 CHRISTA MCAULIFFE,5,2016,Male,124,292.0,53.0,42.7,42.0,33.9,20.0,16.1,9.0,7.3,29.0,23.4
14K250,PS 250 GEORGE H LINDSAY,5,2017,Male,45,288.0,22.0,48.9,14.0,31.1,7.0,15.6,2.0,4.4,9.0,20.0
27Q232,PS 232 LINDENWOOD,All Grades,2017,Female,350,325.0,29.0,8.3,92.0,26.3,139.0,39.7,90.0,25.7,229.0,65.4
15K015,PS 015 PATRICK F DALY,3,2013,Female,17,272.0,11.0,64.7,6.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0
22K207,PS 207 ELIZABETH G LEARY,All Grades,2017,Female,367,325.0,25.0,6.8,120.0,32.7,127.0,34.6,95.0,25.9,222.0,60.5
10X059,PS 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,3,2014,Female,43,274.0,29.0,67.4,10.0,23.3,4.0,9.3,0.0,0.0,4.0,9.3
31R055,PS 055 HENRY M BOEHM,3,2014,Female,50,316.0,11.0,22.0,13.0,26.0,23.0,46.0,3.0,6.0,26.0,52.0
32K291,JHS 291 ROLAND HAYES,8,2015,Male,80,278.0,45.0,56.3,25.0,31.3,8.0,10.0,2.0,2.5,10.0,12.5
11X019,PS 019 JUDITH K WEISS,4,2014,Male,24,294.0,6.0,25.0,16.0,66.7,2.0,8.3,0.0,0.0,2.0,8.3
20K030,PSIS 30 MARY WHITE OVINGTON,6,2015,Female,63,310.0,11.0,17.5,23.0,36.5,16.0,25.4,13.0,20.6,29.0,46.0
02M033,PS 033 CHELSEA PREP,5,2016,Male,48,323.0,10.0,20.8,11.0,22.9,8.0,16.7,19.0,39.6,27.0,56.3
21K226,PS 226 ALFRED DE BMASON,5,2016,Female,42,314.0,6.0,14.3,18.0,42.9,10.0,23.8,8.0,19.0,18.0,42.9
17K006,NORMA ADAMS CLEMONS ACADEMY,5,2016,Female,48,298.0,18.0,37.5,19.0,39.6,6.0,12.5,5.0,10.4,11.0,22.9
19K158,PS 158 WARWICK,3,2017,Female,37,304.0,15.0,40.5,9.0,24.3,10.0,27.0,3.0,8.1,13.0,35.1
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIES,7,2015,Male,44,303.0,11.0,25.0,15.0,34.1,16.0,36.4,2.0,4.5,18.0,40.9
06M319,MS 319  MARIA TERESA,7,2017,Female,67,303.0,12.0,17.9,39.0,58.2,14.0,20.9,2.0,3.0,16.0,23.9
10X306,PS 306,5,2016,Female,51,284.0,25.0,49.0,20.0,39.2,5.0,9.8,1.0,2.0,6.0,11.8
07X065,PS 065 MOTHER HALE ACADEMY,3,2015,Male,30,269.0,19.0,63.3,7.0,23.3,4.0,13.3,0.0,0.0,4.0,13.3
06M098,PS 098 SHORAC KAPPOCK,5,2016,Male,31,272.0,17.0,54.8,11.0,35.5,2.0,6.5,1.0,3.2,3.0,9.7
08X107,PS 107,3,2015,Female,30,293.0,12.0,40.0,13.0,43.3,5.0,16.7,0.0,0.0,5.0,16.7
19K290,PS 290 JUAN MOREL CAMPOS,4,2015,Female,41,308.0,7.0,17.1,19.0,46.3,10.0,24.4,5.0,12.2,15.0,36.6
29Q295,PSIS 295,3,2017,Male,28,312.0,4.0,14.3,12.0,42.9,11.0,39.3,1.0,3.6,12.0,42.9
12X150,PS 150 CHARLES JAMES FOX,All Grades,2013,Female,195,289.0,97.0,49.7,69.0,35.4,23.0,11.8,6.0,3.1,29.0,14.9
12X190,ESMT IS 190,All Grades,2016,Female,109,300.0,23.0,21.1,57.0,52.3,23.0,21.1,6.0,5.5,29.0,26.6
29Q134,PS 134 HOLLIS,3,2014,Male,39,288.0,17.0,43.6,15.0,38.5,7.0,17.9,0.0,0.0,7.0,17.9
27Q053,MS 053 BRIAN PICCOLO,6,2014,Female,42,268.0,30.0,71.4,11.0,26.2,1.0,2.4,0.0,0.0,1.0,2.4
05M200,PS 200 THE JAMES MCCUNE SMITH SCHOOL,All Grades,2017,Female,97,288.0,40.0,41.2,42.0,43.3,11.0,11.3,4.0,4.1,15.0,15.5
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,7,2013,Female,115,321.0,9.0,7.8,44.0,38.3,46.0,40.0,16.0,13.9,62.0,53.9
21K281,IS 281 JOSEPH B CAVALLARO,8,2017,Male,190,299.0,52.0,27.4,64.0,33.7,59.0,31.1,15.0,7.9,74.0,38.9
21K225,PS K225  THE EILEEN E ZAGLIN,4,2017,Male,61,284.0,31.0,50.8,15.0,24.6,11.0,18.0,4.0,6.6,15.0,24.6
28Q161,PS 161 ARTHUR ASHE SCHOOL,5,2016,Male,42,304.0,9.0,21.4,19.0,45.2,10.0,23.8,4.0,9.5,14.0,33.3
04M083,PS 083 LUIS MUNOZ RIVERA,5,2015,Female,33,308.0,9.0,27.3,12.0,36.4,8.0,24.2,4.0,12.1,12.0,36.4
20K104,PSIS 104 THE FORT HAMILTON SCHOOL,4,2017,Female,58,332.0,4.0,6.9,15.0,25.9,17.0,29.3,22.0,37.9,39.0,67.2
02M051,PS 051 ELIAS HOWE,3,2015,Female,24,286.0,12.0,50.0,8.0,33.3,3.0,12.5,1.0,4.2,4.0,16.7
23K522,MOTT HALL IV,7,2015,Female,27,298.0,8.0,29.6,13.0,48.1,6.0,22.2,0.0,0.0,6.0,22.2
20K062,JHS 062 DITMAS,7,2015,Female,172,288.0,77.0,44.8,60.0,34.9,33.0,19.2,2.0,1.2,35.0,20.3
21K253,PS 253,5,2015,Male,62,292.0,28.0,45.2,18.0,29.0,13.0,21.0,3.0,4.8,16.0,25.8
21K209,PS 209 MARGARET MEAD,All Grades,2015,Male,188,298.0,58.0,30.9,80.0,42.6,35.0,18.6,15.0,8.0,50.0,26.6
21K253,PS 253,5,2014,Female,55,311.0,11.0,20.0,25.0,45.5,13.0,23.6,6.0,10.9,19.0,34.5
16K026,PS 026 JESSE OWENS,All Grades,2014,Male,44,290.0,20.0,45.5,16.0,36.4,7.0,15.9,1.0,2.3,8.0,18.2
05M129,PS 129 JOHN H FINLEY,All Grades,2013,Female,167,288.0,82.0,49.1,56.0,33.5,21.0,12.6,8.0,4.8,29.0,17.4
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,All Grades,2016,Female,134,299.0,50.0,37.3,44.0,32.8,30.0,22.4,10.0,7.5,40.0,29.9
25Q165,PS 165 EDITH K BERGTRAUM,3,2014,Male,54,298.0,21.0,38.9,11.0,20.4,18.0,33.3,4.0,7.4,22.0,40.7
31R029,PS 029 BARDWELL,5,2016,Male,59,323.0,11.0,18.6,12.0,20.3,22.0,37.3,14.0,23.7,36.0,61.0
22K236,PS 236 MILL BASIN,All Grades,2016,Male,119,326.0,12.0,10.1,28.0,23.5,48.0,40.3,31.0,26.1,79.0,66.4
08X125,JHS 125 HENRY HUDSON,6,2016,Female,40,286.0,15.0,37.5,16.0,40.0,7.0,17.5,2.0,5.0,9.0,22.5
28Q099,PS 099 KEW GARDENS,3,2017,Male,64,307.0,13.0,20.3,25.0,39.1,23.0,35.9,3.0,4.7,26.0,40.6
27Q146,PS 146 HOWARD BEACH,4,2014,Female,57,303.0,14.0,24.6,25.0,43.9,15.0,26.3,3.0,5.3,18.0,31.6
31R058,PACE SHUTTLE COLUMBIA SCHOOL,4,2014,Female,55,310.0,11.0,20.0,18.0,32.7,22.0,40.0,4.0,7.3,26.0,47.3
08X062,PS 062 INOCENSIO CASANOVA,3,2017,Female,40,305.0,5.0,12.5,26.0,65.0,9.0,22.5,0.0,0.0,9.0,22.5
01M142,PS 142 AMALIA CASTRO,3,2017,Male,19,308.0,3.0,15.8,10.0,52.6,6.0,31.6,0.0,0.0,6.0,31.6
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,All Grades,2014,Female,124,292.0,48.0,38.7,54.0,43.5,18.0,14.5,4.0,3.2,22.0,17.7
10X246,PS 246 POE CENTER,3,2015,Male,61,271.0,48.0,78.7,9.0,14.8,4.0,6.6,0.0,0.0,4.0,6.6
19K218,JHS 218 JAMES P SINNOTT,6,2016,Female,46,269.0,27.0,58.7,16.0,34.8,1.0,2.2,2.0,4.3,3.0,6.5
24Q877,THE 51 AVENUE ACADEMY  THE PATH TO ACADEMIC EXCELLENCE,4,2014,Female,139,306.0,25.0,18.0,66.0,47.5,35.0,25.2,13.0,9.4,48.0,34.5
08X302,MS 302 LUISA DESSUS CRUZ,7,2013,Male,110,274.0,68.0,61.8,32.0,29.1,9.0,8.2,1.0,0.9,10.0,9.1
31R061,IS 061 WILLIAM A MORRIS,7,2015,Male,165,283.0,84.0,50.9,52.0,31.5,25.0,15.2,4.0,2.4,29.0,17.6
01M140,PS 140 NATHAN STRAUS,4,2013,Female,13,290.0,5.0,38.5,6.0,46.2,1.0,7.7,1.0,7.7,2.0,15.4
22K255,PS 255 BARBARA REING SCHOOL,4,2014,Female,63,311.0,11.0,17.5,23.0,36.5,14.0,22.2,15.0,23.8,29.0,46.0
21K329,PS 329 SURFSIDE,3,2014,Male,43,271.0,32.0,74.4,8.0,18.6,2.0,4.7,1.0,2.3,3.0,7.0
19K214,PS 214 MICHAEL FRIEDSAM,5,2013,Male,77,293.0,33.0,42.9,24.0,31.2,18.0,23.4,2.0,2.6,20.0,26.0
06M052,JHS 052 INWOOD,7,2017,Female,44,303.0,10.0,22.7,19.0,43.2,13.0,29.5,2.0,4.5,15.0,34.1
08X071,PS 071 ROSE E SCALA,6,2016,Male,89,302.0,20.0,22.5,42.0,47.2,17.0,19.1,10.0,11.2,27.0,30.3
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,4,2015,Male,23,266.0,16.0,69.6,6.0,26.1,0.0,0.0,1.0,4.3,1.0,4.3
02M290,PS 290 MANHATTAN NEW SCHOOL,5,2015,Female,67,335.0,2.0,3.0,8.0,11.9,26.0,38.8,31.0,46.3,57.0,85.1
21K098,IS 98 BAY ACADEMY,7,2017,Female,262,348.0,2.0,0.8,18.0,6.9,94.0,35.9,148.0,56.5,242.0,92.4
21K212,PS 212 LADY DEBORAH MOODY,4,2017,Female,52,324.0,6.0,11.5,12.0,23.1,17.0,32.7,17.0,32.7,34.0,65.4
12X273,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,All Grades,2014,Female,102,285.0,45.0,44.1,48.0,47.1,7.0,6.9,2.0,2.0,9.0,8.8
30Q212,PS 212,All Grades,2013,Male,179,305.0,53.0,29.6,75.0,41.9,36.0,20.1,15.0,8.4,51.0,28.5
11X127,JHS 127 THE CASTLE HILL,8,2015,Male,118,289.0,43.0,36.4,49.0,41.5,23.0,19.5,3.0,2.5,26.0,22.0
01M539,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,4,2014,Male,50,346.0,0.0,0.0,4.0,8.0,16.0,32.0,30.0,60.0,46.0,92.0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,8,2017,Male,24,294.0,9.0,37.5,7.0,29.2,6.0,25.0,2.0,8.3,8.0,33.3
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,3,2014,Male,15,347.0,0.0,0.0,0.0,0.0,12.0,80.0,3.0,20.0,15.0,100.0
31R018,PS 018 JOHN G WHITTIER,5,2013,Male,49,268.0,33.0,67.3,14.0,28.6,2.0,4.1,0.0,0.0,2.0,4.1
08X119,THE DR EMMETT W BASSETT SCHOOL,4,2014,Female,78,293.0,31.0,39.7,31.0,39.7,12.0,15.4,4.0,5.1,16.0,20.5
11X068,PS 068 BRONX,5,2013,Male,66,280.0,40.0,60.6,22.0,33.3,3.0,4.5,1.0,1.5,4.0,6.1
22K269,PS 269 NOSTRAND,4,2013,Female,70,282.0,31.0,44.3,31.0,44.3,6.0,8.6,2.0,2.9,8.0,11.4
20K180,THE SEEALL ACADEMY,5,2014,Female,44,312.0,8.0,18.2,19.0,43.2,13.0,29.5,4.0,9.1,17.0,38.6
12X211,PS 211,8,2014,Male,41,261.0,30.0,73.2,7.0,17.1,3.0,7.3,1.0,2.4,4.0,9.8
10X051,PS 051 BRONX NEW SCHOOL,3,2016,Female,10,315.0,2.0,20.0,4.0,40.0,3.0,30.0,1.0,10.0,4.0,40.0
07X223,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,8,2015,Male,43,299.0,7.0,16.3,25.0,58.1,10.0,23.3,1.0,2.3,11.0,25.6
28Q161,PS 161 ARTHUR ASHE SCHOOL,All Grades,2015,Female,137,319.0,15.0,10.9,51.0,37.2,55.0,40.1,16.0,11.7,71.0,51.8
02M003,PS 003 CHARRETTE SCHOOL,5,2014,Female,56,326.0,6.0,10.7,17.0,30.4,13.0,23.2,20.0,35.7,33.0,58.9
31R861,TATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,All Grades,2013,Female,217,311.0,33.0,15.2,97.0,44.7,63.0,29.0,24.0,11.1,87.0,40.1
11X089,PS 089 BRONX,All Grades,2014,Male,454,281.0,224.0,49.3,178.0,39.2,45.0,9.9,7.0,1.5,52.0,11.5
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,All Grades,2014,Female,107,324.0,6.0,5.6,37.0,34.6,40.0,37.4,24.0,22.4,64.0,59.8
17K221,PS 221 TOUSSAINT L OUVERTURE,All Grades,2014,Male,113,284.0,58.0,51.3,36.0,31.9,16.0,14.2,3.0,2.7,19.0,16.8
12X267,BRONX LATIN,6,2014,Male,50,285.0,19.0,38.0,26.0,52.0,5.0,10.0,0.0,0.0,5.0,10.0
29Q270,THE GORDON PARKS SCHOOL,3,2013,Female,46,304.0,13.0,28.3,21.0,45.7,10.0,21.7,2.0,4.3,12.0,26.1
12X316,KAPPA III,6,2015,Female,62,294.0,20.0,32.3,30.0,48.4,9.0,14.5,3.0,4.8,12.0,19.4
27Q114,PSMS 114 BELLE HARBOR,All Grades,2014,Female,188,320.0,18.0,9.6,61.0,32.4,77.0,41.0,32.0,17.0,109.0,58.0
11X097,PS 097 BRONX,5,2017,Female,46,307.0,12.0,26.1,16.0,34.8,13.0,28.3,5.0,10.9,18.0,39.1
06M366,WASHINGTON HEIGHTS ACADEMY,7,2016,Male,20,311.0,1.0,5.0,12.0,60.0,6.0,30.0,1.0,5.0,7.0,35.0
16K021,PS 021 CRISPUS ATTUCKS,5,2013,Female,45,307.0,12.0,26.7,18.0,40.0,12.0,26.7,3.0,6.7,15.0,33.3
20K227,JHS 227 EDWARD B SHALLOW,7,2015,Female,197,293.0,79.0,40.1,78.0,39.6,30.0,15.2,10.0,5.1,40.0,20.3
12X242,MOTT HALL V,7,2017,Male,50,285.0,24.0,48.0,21.0,42.0,5.0,10.0,0.0,0.0,5.0,10.0
01M539,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,All Grades,2016,Male,328,345.0,1.0,0.3,26.0,7.9,127.0,38.7,174.0,53.0,301.0,91.8
31R031,PS 031 WILLIAM T DAVIS,3,2017,Female,29,294.0,11.0,37.9,13.0,44.8,4.0,13.8,1.0,3.4,5.0,17.2
08X075,PS 75 SCHOOL OF RESEARCH AND DISCOVERY,3,2014,Male,48,289.0,20.0,41.7,19.0,39.6,9.0,18.8,0.0,0.0,9.0,18.8
16K308,PS 308 CLARA CARDWELL,3,2015,Male,17,264.0,15.0,88.2,2.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0
09X163,PS 163 ARTHUR A SCHOMBURG,5,2013,Male,44,275.0,30.0,68.2,12.0,27.3,2.0,4.5,0.0,0.0,2.0,4.5
05M514,NEW DESIGN MIDDLE SCHOOL,8,2014,Male,46,281.0,20.0,43.5,22.0,47.8,3.0,6.5,1.0,2.2,4.0,8.7
28Q101,PS 101 SCHOOL IN THE GARDENS,3,2015,Female,44,335.0,2.0,4.5,10.0,22.7,21.0,47.7,11.0,25.0,32.0,72.7
29Q134,PS 134 HOLLIS,3,2013,Female,48,292.0,19.0,39.6,18.0,37.5,11.0,22.9,0.0,0.0,11.0,22.9
27Q210,JHS 210 ELIZABETH BLACKWELL,All Grades,2014,Male,978,294.0,291.0,29.8,453.0,46.3,176.0,18.0,58.0,5.9,234.0,23.9
22K234,JHS 234 ARTHUR W CUNNINGHAM,6,2014,Female,291,319.0,29.0,10.0,116.0,39.9,57.0,19.6,89.0,30.6,146.0,50.2
17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,8,2016,Male,17,264.0,14.0,82.4,3.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0
05M362,COLUMBIA SECONDARY SCHOOL,All Grades,2015,Female,130,337.0,1.0,0.8,20.0,15.4,56.0,43.1,53.0,40.8,109.0,83.8
23K137,PSIS 137 RACHEL JEAN MITCHELL,8,2016,Male,10,283.0,5.0,50.0,3.0,30.0,2.0,20.0,0.0,0.0,2.0,20.0
02M077,PS 77 LOWER LAB SCHOOL,5,2016,Female,31,363.0,0.0,0.0,0.0,0.0,3.0,9.7,28.0,90.3,31.0,100.0
26Q178,PS IS 178 HOLLISWOOD,7,2017,Female,24,332.0,1.0,4.2,3.0,12.5,15.0,62.5,5.0,20.8,20.0,83.3
24Q068,PS 068 CAMBRIDGE,All Grades,2016,Male,194,301.0,69.0,35.6,58.0,29.9,52.0,26.8,15.0,7.7,67.0,34.5
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,All Grades,2016,Male,366,297.0,104.0,28.4,161.0,44.0,79.0,21.6,22.0,6.0,101.0,27.6
28Q054,PS 054 HILLSIDE,4,2017,Male,42,298.0,14.0,33.3,11.0,26.2,16.0,38.1,1.0,2.4,17.0,40.5
18K135,PS 135 SHELDON A BROOKNER,5,2015,Female,49,299.0,17.0,34.7,18.0,36.7,11.0,22.4,3.0,6.1,14.0,28.6
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,6,2015,Male,148,288.0,57.0,38.5,73.0,49.3,12.0,8.1,6.0,4.1,18.0,12.2
28Q121,PS 121 QUEENS,All Grades,2013,Male,205,306.0,51.0,24.9,82.0,40.0,62.0,30.2,10.0,4.9,72.0,35.1
27Q254,PS 254  THE ROSA PARKS SCHOOL,5,2017,Female,41,321.0,5.0,12.2,13.0,31.7,14.0,34.1,9.0,22.0,23.0,56.1
19K273,PS 273 WORTMAN,3,2017,Male,16,296.0,6.0,37.5,7.0,43.8,3.0,18.8,0.0,0.0,3.0,18.8
07X031,PSMS 031 THE WILLIAM LLOYD GARRISON,7,2016,Male,42,270.0,33.0,78.6,4.0,9.5,4.0,9.5,1.0,2.4,5.0,11.9
27Q047,PS 047 CHRIS GALAS,3,2014,Male,13,317.0,1.0,7.7,5.0,38.5,7.0,53.8,0.0,0.0,7.0,53.8
09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,5,2013,Female,38,302.0,9.0,23.7,22.0,57.9,4.0,10.5,3.0,7.9,7.0,18.4
10X315,PS 315 LAB SCHOOL,5,2017,Male,11,313.0,3.0,27.3,3.0,27.3,3.0,27.3,2.0,18.2,5.0,45.5
13K054,PS 054 SAMUEL C BARNES,4,2014,Male,19,279.0,10.0,52.6,8.0,42.1,1.0,5.3,0.0,0.0,1.0,5.3
23K327,PS 327 DR ROSE B ENGLISH,5,2014,Male,29,284.0,13.0,44.8,13.0,44.8,2.0,6.9,1.0,3.4,3.0,10.3
07X385,PERFORMANCE SCHOOL,5,2016,Male,31,269.0,24.0,77.4,7.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
