all/school_pe.Borough,all/school_pe.Admin District,all/school_pe.Geographical District,all/school_pe.Location Code,all/school_pe.DBN,all/school_pe.School Level ,all/school_pe.Student Enrollment,all/school_pe.Full Time Licensed PE Teachers,all/school_pe.F Status PE Teachers*,all/school_pe.Itinerant PE Teachers*,all/school_pe.Sum of F Status and Itinerant*,all/school_pe.Total Part Time and Full Time PE Teachers*,all/school_pe.Shared PE teachers with another school*,all/school_pe.Ratio of Full Time Licensed PE Teachers to Students*
Brooklyn,14,14,K250,14K250,Elementary                         ,505,1,0,0,0,1,0,1:505
Queens,28,28,Q328,28Q328,High School                        ,426,1,0,0,0,1,0,1:426
Staten Island,31,31,R038,31R038,Elementary                         ,339,0,0,0,0,0,0,0
Manhattan,2,2,M896,02M896,Junior High-Intermediate-Middle    ,380,1,0,0,0,1,0,1:380
Bronx,10,10,X228,10X228,Junior High-Intermediate-Middle    ,266,1,0,0,0,1,0,1:266
Brooklyn,19,19,K311,19K311,Junior High-Intermediate-Middle    ,102,1,0,0,0,1,0,1:102
Queens,25,25,Q029,25Q029,Elementary                         ,639,1,0,0,0,1,0,1:639
Brooklyn,14,14,K582,14K582,Junior High-Intermediate-Middle    ,254,1,0,0,0,1,0,1:254
Staten Island,31,31,R042,31R042,Elementary                         ,951,0,0,0,0,0,0,0
Brooklyn,18,18,K066,18K066,K-8                                ,772,1,1,0,1,2,0,1:772
Brooklyn,14,14,K454,14K454,High School                        ,210,1,0,0,0,1,0,1:210
Bronx,10,10,X439,10X439,High School                        ,318,2,0,0,0,2,1,1:159
Manhattan,3,3,M404,03M404,High School                        ,112,1,0,0,0,1,0,1:112
Brooklyn,75,19,K004,75K004,Elementary                         ,299,8,0,0,0,8,0,1:37
Brooklyn,13,13,K527,13K527,Secondary School                   ,451,3,0,0,0,3,0,1:150
Staten Island,31,31,R445,31R445,High School                        ,1415,6,0,0,0,6,0,1:236
Queens,24,24,Q028,24Q028,Early Childhood                    ,495,1,0,0,0,1,0,1:495
Queens,24,24,Q744,24Q744,High School                        ,152,1,0,0,0,1,0,1:152
Brooklyn,21,21,K329,21K329,Elementary                         ,366,0,0,0,0,0,0,0
Bronx,75,12,X186,75X186,K-12 All Grades                    ,618,5,0,0,0,5,0,1:124
Manhattan,1,1,M134,01M134,Elementary                         ,302,1,0,0,0,1,0,1:302
Brooklyn,20,20,K310,20K310,Elementary                         ,404,0,0,0,0,0,0,0
Brooklyn,13,13,K009,13K009,Elementary                         ,751,0,0,0,0,0,0,0
Queens,26,26,Q435,26Q435,High School                        ,1108,7,0,0,0,7,0,1:158
Bronx,8,8,X138,08X138,Elementary                         ,640,1,0,0,0,1,0,1:640
Brooklyn,20,20,K180,20K180,K-8                                ,1107,1,0,0,0,1,0,1:1107
Brooklyn,15,15,K529,15K529,High School                        ,145,1,0,0,0,1,0,1:145
Brooklyn,14,14,K488,14K488,High School                        ,507,2,0,0,0,2,0,1:254
Bronx,7,7,X473,07X473,High School                        ,356,2,0,0,0,2,0,1:178
Queens,24,24,Q073,24Q073,Junior High-Intermediate-Middle    ,2005,6,0,0,0,6,0,1:334
Brooklyn,20,20,K187,20K187,Junior High-Intermediate-Middle    ,889,3,0,0,0,3,0,1:296
Brooklyn,20,20,K030,20K030,K-8                                ,767,3,0,0,0,3,0,1:256
Queens,26,26,Q186,26Q186,Elementary                         ,353,1,0,0,0,1,0,1:353
Queens,25,25,Q240,25Q240,High School                        ,530,2,0,0,0,2,0,1:265
Manhattan,6,6,M098,06M098,Elementary                         ,435,0,0,0,0,0,0,0
Brooklyn,21,21,K100,21K100,Elementary                         ,703,0,0,0,0,0,0,0
Queens,27,27,Q090,27Q090,Elementary                         ,781,0,0,0,0,0,0,0
Bronx,8,8,X333,08X333,Elementary                         ,368,0,0,0,0,0,0,0
Queens,29,29,Q095,29Q095,Elementary                         ,1405,1,0,0,0,1,0,1:1405
Bronx,9,9,X128,09X128,Junior High-Intermediate-Middle    ,360,1,0,0,0,1,0,1:360
Manhattan,2,2,M630,02M630,High School                        ,1388,5,0,0,0,5,0,1:278
Bronx,10,10,X360,10X360,Elementary                         ,425,0,0,0,0,0,0,0
Queens,26,26,Q046,26Q046,Elementary                         ,568,1,0,0,0,1,0,1:568
Manhattan,5,5,M157,05M157,High School                        ,226,1,0,0,0,1,0,1:226
Queens,25,25,Q250,25Q250,Junior High-Intermediate-Middle    ,375,2,0,0,0,2,0,1:188
Queens,75,24,Q721,75Q721,High School                        ,457,4,0,0,0,4,0,1:114
Bronx,9,9,X313,09X313,Junior High-Intermediate-Middle    ,284,1,0,0,0,1,0,1:284
Bronx,10,10,X390,10X390,Junior High-Intermediate-Middle    ,491,1,0,0,0,1,0,1:491
Queens,27,27,Q297,27Q297,Junior High-Intermediate-Middle    ,388,2,0,0,0,2,0,1:194
Manhattan,5,5,M123,05M123,K-8                                ,426,1,0,0,0,1,0,1:426
Brooklyn,23,23,K644,23K644,Secondary School                   ,605,1,0,0,0,1,0,1:605
Manhattan,5,5,M129,05M129,K-8                                ,386,1,0,0,0,1,0,1:386
Queens,29,29,Q131,29Q131,Elementary                         ,838,1,0,0,0,1,0,1:838
Queens,29,29,Q268,29Q268,K-8                                ,594,1,0,0,0,1,0,1:594
Manhattan,4,4,M406,04M406,Junior High-Intermediate-Middle    ,128,1,0,0,0,1,0,1:128
Brooklyn,18,18,K563,18K563,High School                        ,681,4,1,0,1,5,0,1:170
Manhattan,2,2,M305,02M305,High School                        ,287,2,0,0,0,2,0,1:144
Manhattan,3,3,M075,03M075,Elementary                         ,552,1,0,0,0,1,0,1:552
Brooklyn,16,16,K669,16K669,High School                        ,142,1,0,0,0,1,0,1:142
Brooklyn,21,21,K468,21K468,Secondary School                   ,628,2,0,0,0,2,0,1:314
Queens,30,30,Q230,30Q230,Junior High-Intermediate-Middle    ,1278,4,0,0,0,4,0,1:320
Brooklyn,13,13,K046,13K046,Elementary                         ,261,0,0,0,0,0,0,0
Queens,26,26,Q221,26Q221,Elementary                         ,595,1,0,0,0,1,0,1:595
Bronx,11,11,X068,11X068,Elementary                         ,665,1,0,0,0,1,0,1:665
Manhattan,2,2,M177,02M177,Junior High-Intermediate-Middle    ,204,1,0,0,0,1,0,1:204
Manhattan,2,2,M560,02M560,High School                        ,446,0,0,0,0,0,0,0
Queens,25,25,Q185,25Q185,Junior High-Intermediate-Middle    ,1473,4,0,0,0,4,0,1:368
Brooklyn,19,19,K504,19K504,High School                        ,238,1,0,0,0,1,0,1:238
Queens,30,30,Q227,30Q227,Junior High-Intermediate-Middle    ,1558,3,0,0,0,3,0,1:519
Brooklyn,17,17,K092,17K092,Elementary                         ,402,0,0,0,0,0,0,0
Bronx,9,9,X088,09X088,Early Childhood                    ,155,1,0,0,0,1,0,1:155
Bronx,8,8,X305,08X305,High School                        ,271,1,0,0,0,1,0,1:271
Bronx,10,10,X264,10X264,High School                        ,418,2,0,0,0,2,0,1:209
Queens,28,28,Q312,28Q312,Elementary                         ,106,0,0,0,0,0,0,0
Bronx,10,10,X244,10X244,Junior High-Intermediate-Middle    ,693,4,0,0,0,4,0,1:173
Queens,30,30,Q204,30Q204,Junior High-Intermediate-Middle    ,480,3,0,0,0,3,0,1:160
Bronx,8,8,X075,08X075,Elementary                         ,549,1,0,0,0,1,0,1:549
Queens,30,30,Q148,30Q148,Elementary                         ,857,1,0,0,0,1,0,1:857
Bronx,8,8,X448,08X448,Junior High-Intermediate-Middle    ,368,1,0,0,0,1,0,1:368
Brooklyn,21,21,K344,21K344,High School                        ,547,3,0,0,0,3,0,1:182
Brooklyn,18,18,K598,18K598,Junior High-Intermediate-Middle    ,152,1,0,0,0,1,0,1:152
Brooklyn,17,17,K189,17K189,K-8                                ,1001,1,0,0,0,1,0,1:1001
Staten Island,31,31,R450,31R450,High School                        ,2347,10,0,0,0,10,0,1:235
Bronx,10,10,X033,10X033,Elementary                         ,853,3,0,0,0,3,0,1:284
Queens,24,24,Q068,24Q068,Elementary                         ,613,0,0,0,0,0,0,0
Bronx,12,12,X463,12X463,Elementary                         ,241,0,0,0,0,0,0,0
Manhattan,3,3,M307,03M307,High School                        ,382,1,0,0,0,1,0,1:382
Manhattan,2,2,M047,02M047,High School                        ,173,2,0,0,0,2,0,1:87
Brooklyn,14,14,K059,14K059,Elementary                         ,273,0,0,0,0,0,0,0
Manhattan,2,2,M393,02M393,High School                        ,421,2,0,0,0,2,1,1:211
Brooklyn,75,13,K140,75K140,K-8                                ,256,4,0,0,0,4,0,1:64
Brooklyn,18,18,K219,18K219,Elementary                         ,434,0,0,0,0,0,0,0
Brooklyn,23,23,K041,23K041,K-8                                ,439,1,0,0,0,1,0,1:439
Brooklyn,23,23,K327,23K327,K-8                                ,344,2,0,0,0,2,0,1:172
Manhattan,75,5,M138,75M138,K-12 All Grades                    ,526,2,0,0,0,2,0,1:263
Bronx,10,10,X225,10X225,Secondary School                   ,583,3,0,0,0,3,0,1:194
Bronx,7,7,X600,07X600,High School                        ,422,2,0,0,0,2,0,1:211
Manhattan,1,1,M839,01M839,Junior High-Intermediate-Middle    ,367,1,0,0,0,1,0,1:367
Brooklyn,22,22,K251,22K251,Elementary                         ,487,0,0,0,0,0,0,0
Staten Island,31,31,R011,31R011,Elementary                         ,250,1,0,0,0,1,0,1:250
Brooklyn,19,19,K662,19K662,Junior High-Intermediate-Middle    ,430,2,0,0,0,2,0,1:215
Manhattan,3,3,M258,03M258,Junior High-Intermediate-Middle    ,211,1,0,0,0,1,0,1:211
Brooklyn,19,19,K190,19K190,Elementary                         ,133,0,0,0,0,0,0,0
Bronx,10,10,X118,10X118,Junior High-Intermediate-Middle    ,1108,3,0,0,0,3,0,1:369
Brooklyn,20,20,K048,20K048,Elementary                         ,547,1,0,0,0,1,0,1:547
Brooklyn,21,21,K620,21K620,High School                        ,469,3,0,0,0,3,0,1:156
Bronx,11,11,X288,11X288,High School                        ,593,3,0,0,0,3,0,1:198
Brooklyn,15,15,K032,15K032,Elementary                         ,463,1,0,0,0,1,0,1:463
Bronx,12,12,X521,12X521,High School                        ,376,2,0,0,0,2,0,1:188
Manhattan,5,5,M175,05M175,Elementary                         ,269,1,0,0,0,1,0,1:269
Brooklyn,14,14,K474,14K474,High School                        ,776,6,0,0,0,6,1,1:129
Queens,25,25,Q163,25Q163,Elementary                         ,646,1,0,0,0,1,0,1:646
Queens,28,28,Q080,28Q080,Elementary                         ,456,0,0,0,0,0,0,0
Brooklyn,19,19,K507,19K507,High School                        ,416,2,0,0,0,2,0,1:208
Manhattan,2,2,M432,02M432,High School                        ,286,1,0,0,0,1,0,1:286
Bronx,11,11,X112,11X112,Elementary                         ,319,1,0,0,0,1,0,1:319
Brooklyn,18,18,K578,18K578,High School                        ,127,1,0,0,0,1,0,1:127
Brooklyn,19,19,K677,19K677,Elementary                         ,478,1,0,0,0,1,0,1:478
Brooklyn,22,22,K203,22K203,Elementary                         ,688,0,0,0,0,0,0,0
Brooklyn,23,23,K137,23K137,K-8                                ,252,1,0,0,0,1,0,1:252
Brooklyn,18,18,K366,18K366,Junior High-Intermediate-Middle    ,420,1,0,0,0,1,0,1:420
Queens,28,28,Q687,28Q687,High School                        ,458,2,0,0,0,2,0,1:229
Brooklyn,17,17,K528,17K528,High School                        ,185,1,0,0,0,1,0,1:185
Brooklyn,14,14,K478,14K478,High School                        ,844,3,0,0,0,3,1,1:281
Brooklyn,14,14,K120,14K120,Elementary                         ,375,1,0,0,0,1,0,1:375
Bronx,9,9,X413,09X413,Secondary School                   ,399,3,0,0,0,3,0,1:133
Manhattan,6,6,M152,06M152,Elementary                         ,524,0,0,0,0,0,0,0
Manhattan,2,2,M296,02M296,High School                        ,365,2,0,0,0,2,0,1:183
Bronx,9,9,X327,09X327,Secondary School                   ,695,2,0,1,1,3,1,1:348
Bronx,8,8,X562,08X562,Junior High-Intermediate-Middle    ,320,2,0,0,0,2,0,1:160
Manhattan,3,3,M403,03M403,High School                        ,392,2,0,0,0,2,0,1:196
Brooklyn,22,22,K152,22K152,Elementary                         ,734,0,0,0,0,0,0,0
Queens,29,29,Q498,29Q498,High School                        ,422,2,0,0,0,2,0,1:211
Queens,24,24,Q077,24Q077,Junior High-Intermediate-Middle    ,983,3,0,0,0,3,0,1:328
Queens,25,25,Q020,25Q020,Elementary                         ,1184,1,0,0,0,1,0,1:1184
Bronx,11,11,X418,11X418,High School                        ,433,2,0,0,0,2,0,1:217
Manhattan,2,2,M217,02M217,K-8                                ,527,1,0,0,0,1,0,1:527
Brooklyn,18,18,K135,18K135,Elementary                         ,553,0,0,0,0,0,0,0
Queens,25,25,Q244,25Q244,Early Childhood                    ,410,0,0,0,0,0,0,0
Staten Island,31,31,R065,31R065,Elementary                         ,385,0,0,0,0,0,0,0
Manhattan,6,6,M311,06M311,K-8                                ,418,2,0,0,0,2,0,1:209
Manhattan,2,2,M041,02M041,Elementary                         ,650,0,0,0,0,0,0,0
Bronx,12,12,X684,12X684,High School                        ,419,2,0,0,0,2,0,1:210
Staten Island,31,31,R001,31R001,Elementary                         ,453,1,0,0,0,1,0,1:453
Staten Island,31,31,R054,31R054,Elementary                         ,688,0,0,0,0,0,0,0
Brooklyn,20,20,K223,20K223,Junior High-Intermediate-Middle    ,975,3,0,0,0,3,0,1:325
Brooklyn,14,14,K577,14K577,Junior High-Intermediate-Middle    ,501,2,0,0,0,2,0,1:251
Manhattan,4,4,M007,04M007,K-8                                ,333,1,0,0,0,1,0,1:333
Brooklyn,19,19,K290,19K290,Elementary                         ,487,1,0,0,0,1,0,1:487
Bronx,9,9,X449,09X449,Elementary                         ,406,1,0,0,0,1,0,1:406
Brooklyn,13,13,K093,13K093,Elementary                         ,239,0,0,0,0,0,0,0
Brooklyn,15,15,K130,15K130,Elementary                         ,713,0,0,0,0,0,0,0
Staten Island,31,31,R002,31R002,Junior High-Intermediate-Middle    ,838,2,0,0,0,2,0,1:419
Brooklyn,14,14,K380,14K380,Elementary                         ,527,1,0,0,0,1,0,1:527
Bronx,9,9,X117,09X117,Junior High-Intermediate-Middle    ,539,1,0,0,0,1,0,1:539
Brooklyn,23,23,K647,23K647,High School                        ,138,1,0,0,0,1,0,1:138
Brooklyn,17,17,K138,17K138,K-8                                ,535,1,0,0,0,1,0,1:535
Bronx,12,12,X047,12X047,Elementary                         ,1065,0,0,0,0,0,0,0
Manhattan,2,2,M459,02M459,High School                        ,309,1,0,0,0,1,0,1:309
Bronx,9,9,X163,09X163,Elementary                         ,477,1,0,0,0,1,0,1:477
Brooklyn,32,32,K151,32K151,Elementary                         ,288,0,0,0,0,0,0,0
Brooklyn,20,20,K186,20K186,Elementary                         ,971,0,0,0,0,0,0,0
Bronx,11,11,X513,11X513,High School                        ,364,2,0,0,0,2,0,1:182
Brooklyn,32,32,K347,32K347,Junior High-Intermediate-Middle    ,286,1,0,0,0,1,0,1:286
Manhattan,2,2,M392,02M392,High School                        ,403,2,0,0,0,2,0,1:202
Brooklyn,17,17,K489,17K489,High School                        ,68,1,0,0,0,1,0,1:68
Queens,26,26,Q162,26Q162,Elementary                         ,661,1,0,0,0,1,0,1:661
Brooklyn,32,32,K299,32K299,Elementary                         ,257,1,0,0,0,1,0,1:257
Brooklyn,15,15,K051,15K051,Junior High-Intermediate-Middle    ,1117,2,0,0,0,2,0,1:559
Bronx,10,10,X213,10X213,High School                        ,359,2,0,0,0,2,0,1:180
Manhattan,1,1,M188,01M188,K-8                                ,374,1,0,0,0,1,0,1:374
Bronx,9,9,X004,09X004,K-8                                ,472,2,0,0,0,2,0,1:236
Manhattan,6,6,M328,06M328,Junior High-Intermediate-Middle    ,224,1,0,0,0,1,0,1:224
Brooklyn,22,22,K361,22K361,Early Childhood                    ,375,0,0,0,0,0,0,0
Brooklyn,13,13,K412,13K412,High School                        ,383,1,0,0,0,1,0,1:383
Queens,28,28,Q099,28Q099,Elementary                         ,787,0,0,0,0,0,0,0
Staten Island,31,31,R062,31R062,Elementary                         ,121,0,0,0,0,0,0,0
Brooklyn,13,13,K351,13K351,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136
Brooklyn,17,17,K531,17K531,Secondary School                   ,336,2,0,0,0,2,0,1:168
Manhattan,3,3,M191,03M191,K-8                                ,333,1,0,0,0,1,0,1:333
Brooklyn,18,18,K617,18K617,High School                        ,258,2,0,0,0,2,0,1:129
Staten Island,31,31,R004,31R004,Elementary                         ,689,0,0,0,0,0,0,0
Manhattan,6,6,M052,06M052,Junior High-Intermediate-Middle    ,316,2,0,0,0,2,0,1:158
Bronx,7,7,X548,07X548,High School                        ,497,3,0,0,0,3,0,1:166
Staten Island,31,31,R068,31R068,Elementary                         ,54,0,0,0,0,0,1,0
Brooklyn,22,22,K119,22K119,Elementary                         ,388,0,0,0,0,0,0,0
Bronx,10,10,X308,10X308,Junior High-Intermediate-Middle    ,268,1,0,0,0,1,0,1:268
Brooklyn,21,21,K228,21K228,Junior High-Intermediate-Middle    ,1371,5,0,0,0,5,0,1:274
Brooklyn,15,15,K261,15K261,Elementary                         ,720,1,0,0,0,1,0,1:720
Queens,30,30,Q070,30Q070,Elementary                         ,774,0,0,0,0,0,0,0
Brooklyn,15,15,K131,15K131,Elementary                         ,960,1,0,0,0,1,0,1:960
Queens,25,26,Q130,25Q130,Early Childhood                    ,303,0,0,0,0,0,0,0
Staten Island,75,31,R373,75R373,K-8                                ,482,2,0,0,0,2,0,1:241
Bronx,10,10,X342,10X342,Secondary School                   ,487,4,0,0,0,4,0,1:122
Manhattan,1,1,M458,01M458,High School                        ,104,1,0,0,0,1,0,1:104
Bronx,8,8,X131,08X131,Junior High-Intermediate-Middle    ,448,2,0,0,0,2,0,1:224
Queens,29,29,Q037,29Q037,Elementary                         ,434,1,0,0,0,1,0,1:434
Bronx,8,8,X014,08X014,Elementary                         ,554,1,0,0,0,1,0,1:554
Bronx,9,9,X252,09X252,High School                        ,356,1,0,0,0,1,0,1:356
Bronx,10,10,X024,10X024,Elementary                         ,937,2,0,0,0,2,0,1:469
Manhattan,4,4,M555,04M555,High School                        ,468,1,0,0,0,1,0,1:468
Brooklyn,19,19,K171,19K171,Junior High-Intermediate-Middle    ,426,1,0,0,0,1,0,1:426
Queens,27,27,Q308,27Q308,High School                        ,598,3,0,0,0,3,0,1:199
Brooklyn,21,21,K215,21K215,Elementary                         ,815,2,0,0,0,2,0,1:408
Brooklyn,75,21,K721,75K721,High School                        ,471,5,0,0,0,5,0,1:94
Manhattan,2,2,M399,02M399,High School                        ,382,3,0,0,0,3,0,1:127
Brooklyn,21,21,K199,21K199,Elementary                         ,472,1,0,0,0,1,0,1:472
Brooklyn,22,22,K535,22K535,High School                        ,1014,4,0,0,0,4,0,1:254
Brooklyn,23,23,K518,23K518,Junior High-Intermediate-Middle    ,197,1,0,0,0,1,0,1:197
Brooklyn,13,13,K499,13K499,High School                        ,219,2,0,0,0,2,0,1:110
Queens,30,30,Q300,30Q300,K-8                                ,365,1,0,0,0,1,0,1:365
Brooklyn,21,21,K095,21K095,K-8                                ,884,1,0,0,0,1,0,1:884
Manhattan,3,3,M149,03M149,K-8                                ,219,1,0,0,0,1,0,1:219
Brooklyn,23,23,K664,23K664,Junior High-Intermediate-Middle    ,88,1,0,0,0,1,0,1:88
Queens,30,30,Q141,30Q141,Junior High-Intermediate-Middle    ,1092,4,0,0,0,4,0,1:273
Bronx,75,11,X723,75X723,K-12 All Grades                    ,382,1,0,0,0,1,0,1:382
Brooklyn,15,15,K698,15K698,High School                        ,143,1,0,0,0,1,0,1:143
Bronx,11,11,X194,11X194,K-8                                ,1279,4,0,0,0,4,0,1:320
Brooklyn,13,13,K670,13K670,High School                        ,836,3,0,0,0,3,0,1:279
Queens,28,28,Q358,28Q358,Junior High-Intermediate-Middle    ,257,0,0,0,0,0,0,0
Bronx,10,10,X086,10X086,Elementary                         ,1597,2,0,0,0,2,0,1:799
Bronx,11,11,X087,11X087,Elementary                         ,583,0,0,0,0,0,0,0
Queens,24,24,Q296,24Q296,High School                        ,439,2,0,0,0,2,0,1:220
Queens,24,24,Q087,24Q087,K-8                                ,504,0,0,0,0,0,0,0
Brooklyn,16,16,K243,16K243,Elementary                         ,202,1,0,0,0,1,0,1:202
Bronx,10,10,X291,10X291,Elementary                         ,635,0,0,0,0,0,0,0
Bronx,12,12,X242,12X242,Secondary School                   ,647,2,0,0,0,2,0,1:324
Queens,25,25,Q193,25Q193,Elementary                         ,488,1,0,0,0,1,0,1:488
Queens,30,30,Q258,30Q258,High School                        ,428,3,0,0,0,3,0,1:143
Queens,24,24,Q520,24Q520,High School                        ,473,1,0,0,0,1,0,1:473
Brooklyn,15,15,K821,15K821,Junior High-Intermediate-Middle    ,491,2,0,0,0,2,0,1:246
Manhattan,2,2,M489,02M489,High School                        ,723,2,0,0,0,2,0,1:362
Brooklyn,14,14,K586,14K586,Secondary School                   ,472,1,0,0,0,1,0,1:472
Brooklyn,23,23,K184,23K184,K-8                                ,451,0,0,0,0,0,0,0
Brooklyn,17,17,K221,17K221,Elementary                         ,308,0,0,0,0,0,0,0
Manhattan,2,2,M519,02M519,High School                        ,476,1,0,0,0,1,0,1:476
Bronx,12,12,X511,12X511,High School                        ,352,2,0,0,0,2,0,1:176
Brooklyn,32,32,K116,32K116,Elementary                         ,438,1,0,0,0,1,0,1:438
Bronx,12,12,X251,12X251,High School                        ,304,2,0,0,0,2,0,1:152
Bronx,8,8,X312,08X312,High School                        ,403,2,0,0,0,2,0,1:202
Manhattan,6,6,M187,06M187,K-8                                ,788,1,0,0,0,1,0,1:788
Bronx,12,12,X480,12X480,High School                        ,138,1,0,0,0,1,0,1:138
Brooklyn,19,19,K510,19K510,High School                        ,221,1,0,0,0,1,0,1:221
Brooklyn,17,17,K091,17K091,Elementary                         ,271,2,0,0,0,2,0,1:136
Brooklyn,17,17,K751,17K751,High School                        ,356,1,0,1,1,2,1,1:356
Manhattan,2,2,M116,02M116,Elementary                         ,509,1,0,0,0,1,0,1:509
Queens,29,26,Q208,29Q208,K-8                                ,720,3,0,0,0,3,0,1:240
Brooklyn,20,20,K682,20K682,Elementary                         ,357,1,0,0,0,1,0,1:357
Brooklyn,18,18,K233,18K233,Elementary                         ,403,0,0,0,0,0,0,0
Brooklyn,15,15,K442,15K442,Junior High-Intermediate-Middle    ,206,1,0,0,0,1,0,1:206
Bronx,75,12,X811,75X811,Secondary School                   ,583,3,0,0,0,3,0,1:194
Manhattan,1,1,M063,01M063,Elementary                         ,171,0,0,0,0,0,0,0
Brooklyn,21,21,K121,21K121,K-8                                ,317,1,0,0,0,1,0,1:317
Queens,29,29,Q289,29Q289,Junior High-Intermediate-Middle    ,223,2,0,0,0,2,0,1:112
Manhattan,6,6,M143,06M143,Junior High-Intermediate-Middle    ,298,1,0,0,0,1,0,1:298
Queens,27,27,Q123,27Q123,Elementary                         ,616,0,0,0,0,0,0,0
Staten Island,31,31,R023,31R023,Elementary                         ,480,0,0,0,0,0,0,0
Bronx,9,9,X325,09X325,Junior High-Intermediate-Middle    ,239,1,0,0,0,1,0,1:239
Brooklyn,21,21,K101,21K101,Elementary                         ,866,0,0,0,0,0,0,0
Brooklyn,23,23,K155,23K155,K-8                                ,368,0,0,0,0,0,0,0
Brooklyn,17,17,K352,17K352,Junior High-Intermediate-Middle    ,161,1,0,0,0,1,0,1:161
Queens,30,30,Q286,30Q286,Secondary School                   ,548,1,0,0,0,1,0,1:548
Bronx,7,7,X030,07X030,Elementary                         ,510,1,0,0,0,1,0,1:510
Queens,29,29,Q326,29Q326,High School                        ,326,2,0,0,0,2,0,1:163
Bronx,7,7,X162,07X162,Junior High-Intermediate-Middle    ,362,1,0,0,0,1,0,1:362
Manhattan,3,3,M076,03M076,K-8                                ,440,1,0,0,0,1,0,1:440
Queens,24,24,Q455,24Q455,High School                        ,1733,8,0,0,0,8,0,1:217
Queens,26,26,Q115,26Q115,Elementary                         ,646,0,0,0,0,0,0,0
Bronx,11,11,X169,11X169,Elementary                         ,360,0,0,0,0,0,0,0
Manhattan,2,2,M131,02M131,Junior High-Intermediate-Middle    ,439,1,0,0,0,1,0,1:439
Queens,27,27,Q063,27Q063,Elementary                         ,1230,0,0,0,0,0,0,0
Brooklyn,14,14,K318,14K318,Junior High-Intermediate-Middle    ,1337,3,0,0,0,3,0,1:446
Brooklyn,17,17,K249,17K249,Elementary                         ,837,1,0,0,0,1,0,1:837
Queens,24,24,Q071,24Q071,Elementary                         ,727,2,0,0,0,2,0,1:364
Queens,25,25,Q079,25Q079,Elementary                         ,1030,1,0,0,0,1,0,1:1030
Bronx,10,10,X015,10X015,K-8                                ,488,1,0,0,0,1,0,1:488
Brooklyn,20,20,K192,20K192,K-8                                ,628,1,0,0,0,1,0,1:628
Bronx,12,12,X478,12X478,High School                        ,302,2,0,0,0,2,0,1:151
Bronx,9,9,X028,09X028,Elementary                         ,670,0,0,0,0,0,0,0
Bronx,10,10,X284,10X284,High School                        ,347,1,0,0,0,1,0,1:347
Bronx,7,7,X296,07X296,Junior High-Intermediate-Middle    ,273,1,0,0,0,1,0,1:273
Manhattan,1,1,M378,01M378,Junior High-Intermediate-Middle    ,275,2,0,0,0,2,0,1:138
Brooklyn,13,13,K301,13K301,Junior High-Intermediate-Middle    ,104,1,0,0,0,1,0,1:104
Manhattan,2,2,M040,02M040,Elementary                         ,609,0,0,0,0,0,0,0
Brooklyn,18,18,K763,18K763,Junior High-Intermediate-Middle    ,222,1,0,0,0,1,0,1:222
Brooklyn,17,17,K181,17K181,K-8                                ,722,2,0,0,0,2,0,1:361
Queens,30,30,Q361,30Q361,Elementary                         ,130,0,0,0,0,0,0,0
Bronx,9,9,X073,09X073,Elementary                         ,652,1,0,0,0,1,0,1:652
Brooklyn,19,19,K292,19K292,Junior High-Intermediate-Middle    ,533,2,0,0,0,2,0,1:267
Bronx,10,10,X437,10X437,High School                        ,357,1,0,0,0,1,1,1:357
Brooklyn,15,15,K118,15K118,Elementary                         ,213,0,0,0,0,0,0,0
Brooklyn,22,22,K278,22K278,Junior High-Intermediate-Middle    ,1009,5,0,0,0,5,0,1:202
Queens,25,25,Q499,25Q499,K-8                                ,456,1,0,0,0,1,0,1:456
Manhattan,5,5,M369,05M369,High School                        ,311,0,0,0,0,0,0,0
Queens,24,24,Q119,24Q119,K-8                                ,1196,3,0,0,0,3,0,1:399
Brooklyn,15,15,K592,15K592,High School                        ,243,2,1,0,1,3,0,1:122
Bronx,10,10,X094,10X094,Elementary                         ,1196,1,0,0,0,1,0,1:1196
Manhattan,3,3,M163,03M163,Elementary                         ,526,0,0,0,0,0,0,0
Brooklyn,20,20,K160,20K160,Elementary                         ,1252,0,0,0,0,0,0,0
Brooklyn,17,17,K533,17K533,Secondary School                   ,197,2,0,0,0,2,0,1:99
Bronx,12,12,X150,12X150,Elementary                         ,825,0,0,0,0,0,0,0
Brooklyn,13,13,K305,13K305,Elementary                         ,122,0,0,0,0,0,0,0
Bronx,11,11,X121,11X121,Elementary                         ,869,0,0,0,0,0,0,0
Brooklyn,32,32,K123,32K123,Elementary                         ,616,0,0,0,0,0,0,0
Manhattan,1,1,M363,01M363,Elementary                         ,280,1,0,0,0,1,0,1:280
Manhattan,2,2,M543,02M543,High School                        ,385,1,0,1,1,2,1,1:385
Queens,75,24,Q075,75Q075,K-8                                ,457,7,0,0,0,7,0,1:65
Brooklyn,19,19,K364,19K364,Junior High-Intermediate-Middle    ,306,2,0,0,0,2,0,1:153
Brooklyn,20,20,K247,20K247,Elementary                         ,826,1,0,0,0,1,0,1:826
Manhattan,75,3,M811,75M811,K-8                                ,311,3,0,0,0,3,0,1:104
Manhattan,3,3,M862,03M862,Junior High-Intermediate-Middle    ,337,0,0,0,0,0,0,0
Queens,24,24,Q290,24Q290,Elementary                         ,502,1,0,0,0,1,0,1:502
